FileNumber,Role,Skills,Education
27980446.pdf,"ACCOUNTANT
","
Microsoft Office Excel, Outlook and Word, SAGE 100, Ramp (WMS software) and 
Syspro (ERP program)
Experience
Company Name
 
City
 
, 
State
 
Accountant
 
04/2011
 
to 
05/2017
Performed general accounting functions, journal entries, reconciliations and accruals.
Completed monthly assigned account analysis (compared to budget and prior periods) and reconciliations as well.
Participated in monthly, quarterly and annual financial closing processes.
Participated in the annual budget process.
Researched and approved all credit memos and debit memos to be issued (returns, damages, mispicks and price discrepancies).
Implemented and oversaw RGA spreadsheet for returns used by customer service, accounting and upper management.
Initiated and tracked claim process with carriers for damages.
Built relationships with other departments including logistics, planning, customer service and sales.
Participated in identifying and executing the company's business process improvement efforts and assisted management with special
assignments and projects.
Assisted in preparation of bank audits and annual external audit.
Maintained full accounting functions of 3 subsidiaries 
Inventory.
Approved all inventory transactions for all four warehouses.
Only employee who could process any inventory transactions; such as, adjustments and transfers for NJ warehouse.
Other three warehouses need approval from me prior to making any adjustments to their inventory.
Processed daily receipt of goods for corporate headquarters and our three 3 PL locations in GA, TX and NV.
Monthly inventory reconciliation of all 4 warehouses including researching and addressing discrepancies.
Initiated cycle count requests and reconciliation for all 4 warehouses.
Organized and managed the year-end physical inventory count, analysis, and reconciliation at onsite warehouse.
Analyzed and reconciled the physical inventory data from our other three 3 PL locations.
Company Name
 
City
 
, 
State
 
Inventory Control Manager
 
01/2008
 
to 
01/2010
Became an expert user and handled rollout and training of a new ERP system (Syspro).
Trouble shot the new systems which propelled efficiency gains and significant time- and cost-savings.
Handled the purchasing and receiving of raw and semi-finished material, tools, supplies and any 
services necessary for manufacturing.
Post take over, rebuilt trust with vendors / suppliers, repairing damaged relationships by ensuring timely, correct payments for all
goods/services received saving the company in late fees and COD costs.
Continuously renegotiated payment terms with suppliers/vendors resulting in improved cash flow and helped to facilitate the company's
return to profitability.
Updated computer files to ensure the accuracy of inventory levels.
Processed "," and Training
B.S
 
:
 
Business Administration Accounting
 
Montclair State College
 
Business Administration Accounting"
14491649.pdf,"ACCOUNTANT
","
account reconciliations, Accounting, accruals, ad, AS 400, balance sheet, balance sheets, budgets, budget, controller, Corporate Finance, ERP,
Finance, financial, financial reports, financial reporting, Financial Statements, fixed assets, forms, general ledger, Image, inventory, JD Edwards,
ledger, Director, macros, materials, Microsoft Access, Microsoft Excel, Office, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word,
month end close, Operations 
Management, pivot tables, Progress, QuickBooks, reporting, Requirement, research, SAGE FAS, sales, SAP, tax,
year-end","2008
 
Keller Graduate School of Management
 
ï¼​ 
City
 
, 
State
 
Master of Business Administration
 
Accounting
 
GPA: 
GPA: 3.67
 
Accounting GPA:
3.67
2006
 
DeVry University
 
ï¼​ 
City
 
, 
State
 
Bachelor of Science
 
Technical Management Accounting
 
GPA: 
GPA: 3.66 Cum Laude, and Dean's List
Technical Management Accounting GPA: 3.66 Cum Laude, and Dean's List
"
11759079.pdf,"SENIOR ACCOUNTANT
","
accounting, balance sheet, budgets, client, clients, derivatives, drafting, equity, financial, financial accounting, financial statements, fixed assets,
Funds, Government, Information Technology, inventory, investments, ledger, MA, Microsoft Excel, natural, page, payables, processes,
programming, Real Estate, research, sales, scheme, telephone, writing skills
Additional Information
COMMUNITY SERVICE, CERTIFICATIONS AND AWARDS Fulton County CASA Board of Directors Member, Treasurer. 
Planfund raisers, review budget and financial statements, and supervise CASA staff in not-for-profit organization that trains volunteers to mentor
children being pulled from their homes through the Fulton County court system for abuse and neglect. CPA, Hold an active Georgia license
and scored between 87 and 93 out of a possible 99 on each of the four sections of the CPA exam. CFE, Certified Fraud Examiner, which
requires passing four exams and two years ","
EMORY UNIVERSITY, Goizueta Business School
 
5 2007
 
Bachelor of Business Administration
 
: 
Accounting
 
City
 
, 
State
 
GPA: 
GPA: 3.63/4.0
GPA: 3.77/4.0
 
Accounting GPA: 3.63/4.0 GPA: 3.77/4.0
Interests
Fulton County CASA Board of Directors Member, Treasurer. 
Plan fund raisers, review budget and financial statements, and supervise CASA
staff in not-for-profit organization that trains volunteers to mentor children being pulled from their homes through the Fulton County court system
for abuse and neglect. 
CPA, Hold an active Georgia license and scored between 87 and 93 out of a possible 99 on each of the four sections of the
CPA exam. CFE, Certified Fraud Examiner, which
"
24799301.pdf,"ACCOUNTANT
","
accounting, CPA, local area net"," and Training
1974
B.S
 
: 
Business Administration Accounting
 
University of Cincinnati
 
ï¼​ 
City
 
, 
State
 
Business Administration Accounting
Interests
Annapolis Amblers Walking Club, President &Trailmaster, Maryland Volkssport Assn, President, Chesapeake Civil War Roundtable.
"
18635654.pdf,"GENERAL ACCOUNTANT
","
accounting, Accountant, Arabic, Balance Sheet, bank reconciliations, com, resolve customer complaints, Customer Service, databases, delivery,E-mail, English, expense reports, Financial, Financial and accounting, financial statements, forms, general ledger, Lecturer, excel, office, Microsoft
word, Page, pricing, QuickBooks, telephone, phone, ","
May 2010
Trained as Accountant in Walid Hamdy Hashem office for Account solution from Jan
 
Alexandria University
Personal Information
Full Name: Hassan Aly Aboulela Marital Status: Single. Military Status: Exempted
Languages
Arabic mother tongue. Good in both written and spoken English.
"
10674770.pdf,"STAFF ACCOUNTANT
","
accounting, accounts payable, Accounts Receivable, ADP, advertising, AR, balance sheet, balance, bank reconciliations, benefits, billing, billings,
book keeping, budget, cash flow projections, cash flow, controller, Credit, clients, data collection, delivery, documentation, email, Finance,
financial, financial reporting, financial statements, fixed assets, General Ledger, inventory, job costing, ledger, legal, materials, meetings, Microsoft
Access, Microsoft Excel, Excel, Microsoft Word, negotiating, DBA, Payables, payroll, Peachtree, processes, coding, purchasing, Express, Quick
Books, QuickBooks, Research, Sage, Sales, Spreadsheet, Tax, software support, valuation, year-end
Additional Information
Activities: Alpha Sigma Phi: Officer and Chair positions 
January 2006- May 2010 Vice President Social Chair Greek Week Delegate
Livestrong Foundation: Bike-a-thon","
Bachelor of Science
 
: 
Accounting
 
, 
May 2010
 
University of North Carolina
 
ï¼​ 
City
 
, 
State
 
Accounting
Bachelor of Science
 
: 
Business Administration Finance
 
, 
May 2010
 
Business Administration Finance
"
62809577.pdf,"PROJECT ACCOUNTANT
","Timberline Accounting software, Foundation Accounting software, Spectrum, JD Edwards, Ebuilder,
Microsoft Office applications,
General ledger accounting aptitude
Strong communication skills
Effective time management
Accounts receivable ","Accounting
 
1997
 
Santa Barbara Business College
 
Accounting
Interests
Nevada Notary Public 
References available upon request.
Additional Information
Nevada Notary Public 
References available upon request.
"
39115899.pdf,"ACCOUNTANT
","
Accounting, approach, AS400, auditing, bank reconciliations, competitive, contracts, CRM, clientele, clients, customer satisfaction, customer
services, customer service, data analysis, database, financial statements, French, Fluent in French, functional, inventory management, Access III,
Microsoft Excel II, Microsoft Office, Microsoft Word, pricing, processes, Speaking, quality, QuickBooks, reconciling, SAP, SQL, strategic,
travel arrangements", 
24817041.pdf,"ACCOUNTANT
Interests
Buffalo Creek Golf Club, Rockwall, TX 
May 2012-August 2012 *Maintain golf carts and driving range
","
account reconciliations, accounting system, accounts payable, process payroll, spreadsheets
Additional Information
Buffalo Creek Golf Club, Rockwall, TX 
May 2012-August 2012 Maintain golf carts and driving range Activities/Achievements President's
Gold Scholarship Awarded 7,500/year for exemplary academic performance in high school and maintaining 3.0 cumulative GPA in
undergrad Zeta Zigga Zamma (20012 - 2015) Mission Trips (2003, 2005, 2006, 2011) Bonaire (2003,2005) - Vacation Bible School
helper Santa Gertrudis, Mexico (2006) - Building houses, testimony Victory Ranch; Eastover, South Carolina (2011) - Prepping location
for Army retreat, shared testimony with army men"," and Training
Texas A&M Commerce
December 2017
Masters of Science
 
: 
Accounting
 
Baylor University
 
Accounting GPA: 3.58
August 2015
Bachelor of Business Administration
 
: 
Accounting
 
Accounting GPA: 3.0 GPA: 3.28
"
10554236.pdf,"ACCOUNTANT
","
Accounting; General Accounting; Accounts Payable; Program Management.","
Northern Maine Community College
 
1994
 
Associate
 
: 
Accounting
 
City
 
, 
State
 
, 
USA
Emphasis in Business
1994
 
Associates
 
: 
Accounting
 
City
 
, 
State
 
, 
USA
 
GPA: 
GPA: 3.41
Accounting GPA: 3.41 174 Hours, Quarter
Attended Husson College, major Accounting 78 semester hours toward Bachelors degree.
"
