FileNumber,Role,Skills,Education
46772262.pdf,PRACTICUM ,"
I am confident in my ability to navigate computers, communicate effectively, value team","
Master of Science
 
, 
Nursing
 
2017
 
University of St. Francis
 
ï¼​ 
City
 
, 
State
 
Family Nurse Practitioner
Bachelor of Science
 
, 
Nursing
 
2014
 
University of St Francis
 
ï¼​ 
City
 
, 
State
 
Nursing
Associate of Applied Science
 
, 
Nursing
 
2010
 
Richland Community College
 
ï¼​ 
City
 
, 
State
 
Registered Nurse
Practical Nurse
 
, 
Nursing
 
2005
 
Richland Community College
 
ï¼​ 
City
 
, 
State
 
Licensed Practical Nurse
"
20544228.pdf,"LEAD PHARMACY TECHNICIAN ADVOCATE - SUPERVISOR
","
streamline, basic, budget, business development, Maintain calendar, Case Management, charts, communication skills, customer service, data entry,
documentation, fast, filing, insurance, inventory, inventory control, leadership, Director, managing, marketing, office equipment, Assist patients,
Pharmacy Technician, profit, quality, receiving, record keeping, retail, safety, sales, scheduling, seminars, staff development, strategic planning,
supervision, technician, phones, translator, written","
Bachelors
 
: 
Behavior Science
 
, 
March 2015
 
Bellevue University
 
ï¼​ 
City
 
, 
State
 
Behavior Science
National Pharmacy Technician Certification (PTCB) 
2012-Present *Certification for Nebraska Pharmacy Technician
 
: 
General Studies
 
, 
2012
Metro Community College
 
ï¼​ 
City
 
, 
State
 
General Studies
"
15727656.pdf,"TRANSITIONAL HOUSING ADVOCATE
","
Peer counseling, customer service, database, documentation, Internet Applications, Excel, e-mail, office, Outlook, Power Point, Publisher,
Microsoft Word, Personnel, policies, presentations, safety, transportation
Experience
Transitional Housing Advocate
 
09/2013
 
ï¼​ 
Current
 
Company Name
 
City
 
, 
State
Provide case management (goal planning, safety planning, resources, regular home visits)
Identify barriers to housing to prevent homelessness
Provide on-going ","
Associate of Science
 
:
 
Truckee Community College
 
- 
Psychology
 
City
 
, 
State
1995
 
Associate of Arts
 
:
 
Southwester Polytechnic Institute
 
- 
General Studies
 
City
 
, 
State
Interests
Currently serve as a volunteer for the Sexual Assault Response Team (SART), provide support to victims in crisis, document vital information
related to assault, and make appropriate referrals available victims.
Additional Information
Currently serve as a volunteer for the Sexual Assault Response Team (SART), provide support to victims in crisis, document vital
information related to assault, and make appropriate referrals available victims.
"
49475708.pdf,"CUSTOMER ADVOCATE
","
calculators, cash registers, closing, cooking, credit, funds, Inventory, Issue receipts, mark, money, windows, nice, paint, policies, quality, Maintain
records, safety, sales, tables, team "," and Training
High School Diploma
 
Jun 2014
 
ELDORADO HIGH SCHOOL
 
- 
City
 
, 
State
diploma
"
28871170.pdf,"ORGANIZER AND CAPACITY BUILDING STRATEGIST
","
agency, attorney, business plans, consultant, client, clients, detail oriented, grant proposals, legal, materials, organizing, policies, press releases,
problem solving skills, research, strategy, strategic, technical assistance, training programs, "," Advocate
 
01/2009
 
to 
01/2011
 
Company Name
 
City
 
, 
State
Researched client issues and manage legal correspondence.
Completed outreach and training on disability and special education rights.
Wrote media releases for organization events and training.
Strategized positive outcomes with attorneys and staff.
Community Organizer/Founder
 
01/2000
 
to 
01/2011
 
Company Name
 
City
 
, 
State
Wrote grant proposals, business plans, and press releases Presented strategic plan and goals to a variety of audiences Organized
constituents around special education, environmental and health issues Collaborated with 85+ local community leaders and organizations
Designed and taught advocacy "
20400279.pdf,"CUSTOMER SERVICE ADVOCATE
","
Computer literate, telephone skills, creative problem solving, resolving cash receipt discrepancies. 
Strong communication skills, careful and active
listener, 
customer satisfaction training, excellent customer service skills with monthly training and development on coaching to achieve higher levels
of sales. Detail-oriented, merchandising seminars in fashion, inventory. 
MS Office proficient, Microsoft word, Microsoft outlook, Writing letters
and memos. 
Personnel training on policies and processes, Time management involving scheduling and payroll . Professional and friendly.","
High School Diploma
 
: 
General-Business Communications
 
, 
1983
 
William Penn Vo-tech 
Harrisburg
 
- 
State
 
, 
USA
 
General-Business
Communications
Morgan State University
 
- 
City
 
, 
State
 
, 
USA
"
17911230.pdf,"CORPORATE FACILITATOR, PERFORMANCE COACH AND DEVELOPER
","
approach, automation, balance, catalog, Coach, Coaching, conflict resolution, corporate training, creativity, client, direction, Educator, forms,
instructor, leadership, materials, Mentoring, profit, Program design, quality control, Strategic, stress management, Structured, training programs,
unique, "," and Training
Foundations of Motivational Interviewing I & II Motivational Interviewing, Mid-Atlantic ATTC 
2012 Dale Carnegie Multi-Certified Facilitator (5),
Dale Carnegie - Chicago, IL 
2004 to 2011 Intrinsic CoachÂ® Development, Intrinsic Solutions International 
2010 WellCert - Certified Wellness
Program Manager (CWPM)
 
: 
2007
 
Chapman Institute
 
ï¼​ 
City
 
, 
State
Certified "
23427369.pdf,"CUSTOMER SERVICE ADVOCATE
","
Certificate received on June 22, 2000.
Attendance in Tenn-care in-service May 2003, January 2004, March 2004, July 2005, August 2005 for BCBS pre-certs.
Working knowledge in Excel and with CPT coding, Completion of Administrative Assistants Conference September 2008.
Skills
Scheduling, Strong verbal skills, Excellent written skills, ICD-9 and CPT coding","
Bachelor of Science
 
: 
Health Care Administration 
with Concentration in Management
 
, 
1991
 
University of Phoenix
 
ï¼​ 
City
 
, 
State
Health Care Administration ,still in progress will graduate June 2016
High School Diploma
 
: 
Psychology 
, 
1990
 
Belmont University
 
ï¼​ 
City
 
, 
State
Studies included Statistical Mathematics, Western Civilizations , Majoring in Psychology 
Minor in Sociology
Algebra I & II
 
Stratford High School
 
ï¼​ 
City
 
, 
State
Studies included Algebra I &II and Trigonometry, Geometry and French I &II H
"
28206098.pdf,"CUSTOMER ADVOCATE
","
anatomy, basic, Billing, call center, charts, Interpersonal, CA, customer service, Data entry, decision making, delivery, Documentation, EKG's,
medical terminology, Monitors, organizational skills, Paralegal, Assist patients, PATIENT CARE, Phlebotomy, positioning, Coding, range of
motion, research, Safety, SAN, Collect specimens, TECHNICIAN, telephone, phone, Answer phones, typing, take Vital Signs, recording vital
signs, weighing, written, written communication skillsProfessional and friendlyCareful and active listenerStrong public speakerMulti-tasking","al Background
Patient Care
 
, 
10/2000
 
Maric College
 
ï¼​ 
City
 
, 
State
 
, 
USA
 
GPA: 
GPA: 3.0 GPA: 3.5
GPA: 3.0 GPA: 3.5
Cum Laude"
97405769.pdf,"CUSTOMER SERVICE ADVOCATE
","
Superb sales "," and Training
1983
High School Diploma
 
: 
General-Business 
William Penn Vo-tech 
ï¼​ 
City
 
, 
State
 
, 
USA
 
General-Business
Communications
 
Morgan State University
 
ï¼​ 
City
 
, 
State
 
, 
USA
 
1984 - 1985
"
20324037.pdf,"FULFILLMENT ADVOCATE
","
Customer Service
Self Starter
Team player
Analytics
Additional Information","
2008
Diplomado
 
: 
Cost Accounting
 
University of Guadalajara
 
ï¼​ 
City
 
, 
State
 
, 
Mexico
2004
Bachelors Degree
 
: 
International Business
 
University of Guadalajara
 
ï¼​ 
City
 
, 
State
 
, 
Mexico
Personal Information
Languages
English 
90%
Portugues 60%"
95714702.pdf,"QUALITY ASSURANCE ADVOCATE
","
administrative, Army, auditing, benefits, billing, billing system, Cable, contracts, credit, client, clients, customer 
service, data entry, database,
features, filing, finance, focus, forms, human resources management, inventory, marketing strategies, mentoring, order entry, personnel, policies,
pricing, problem solving, processes, Quality, receiving, recording, sales, servers, speech, staff training, supervisor, phone, trend, troubleshooting,
video
Additional Information
ACTIVITIES 
ITT Technical Institute, Gamma Beta Phi Honor Society 
NCCU, Iota Tau Chapter of Phi Beta Lambda, INC","
Bachelor of Science
 
: 
Business Administration Computer Information Systems
 
, 
May 2013
 
North Carolina Central University
 
ï¼​ 
City
 
, 
State
Business Administration Computer Information Systems
Master of Science Administration of Justice
 
: 
Law Enforcement Organizations
 
, 
March 2016
 
University of Phoenix
 
ï¼​ 
City
 
, 
State
 
Law
Enforcement Organizations
Associate of Applied Science
 
: 
Computer Net"
53169257.pdf,"DISABILITY ADVOCATE
","
administrative, C, Community Health, clients, direction, logistics, meetings, mentor, Works, Needs Assessment, processes, public relations,quantitative analysis, simulation, treatment plans"," and Training
East Stroudsburg University
 
2016
 
Bachelor of Science
 
: 
Public Health Health Services Administration Public Health, Health Studies department
City
 
, 
State
 
, 
United States
 
GPA: 
Dean's List and Honor Roll Academic Achievement Award Beneficiary. Currently, 107 credits and needing 13
more GPA: 3.72
 
Public Health Health Services Administration Dean's List and Honor Roll Academic Achievement Award Beneficiary. Currently,
107 credits and needing 13 
more GPA: 3.72 Public Health, Health Studies department
Community College of Philadelphia
 
2015
 
Associate of Science
 
: 
Social/Behavioral Science Health Services
 
City
 
, 
State
 
, 
United States
 
GPA:
International Honor Society. Four term recipient of Dean's List, Academic 
Achievement Award and Honor Roll. Graduated with High Honors
GPA: 3.73
 
Social/Behavioral Science International Honor Society. Four term recipient of Dean's List, Academic 
Achievement Award and Honor
Roll. Graduated with High Honors GPA: 3.73 Health Services
"
29415426.pdf,"CLIENT ADVOCATE / ESCALATION SPECIALIST
","
Strong clerical, management, and administrative skills
Microsoft Office
Customer service","
Bachelor of Arts
 
, 
Political Science Pre-Law
 
2017
 
University of New Orleans
 
- 
City
 
, 
State
Classes are online and will not interfere with "
89508407.pdf,"DONOR ADVOCATE
","
Detail-oriented
Effective time management
Strong written and oral communication skills
Strategic thinker
Goal-oriented
Relationship building
CRM Experience
Salesforce software
Work History
Donor Advocate
 
, 
08/2017
 
to 
03/2020
 
Company Name
 
â€“ 
City
 
, 
State
 
Responsible for cultivating relationships and managing giving goals of 300 donors
Created individualized communication plans and giving goals for each donor as a benchmark marketing strategy
Ensured donors were properly acknowledged, personally thanked, and updated on the impact of their gifts
Worked with internal departments to secure appropriate project information and created offers and proposals that were used to secure gifts
Executed a specific plan to retain and upgrade donors
Used CRM systems, including Salesforce
Team Leader for the Children of the World Choir
 
, 
07/2016
 
to 
06/2017
 
Company Name
 
â€“ 
City
 
, 
State
 
Led a team of 19 individuals including 13 children from the Philippines, Nepal, Honduras and Uganda during a 10-month tour across the
United States
Directed multiple concerts per week for the International Children's Choir
Routinely coordinated concert details venues
Built ","
Bachelor of Science
 
: 
Special and Elementary Education
 
, 
2011
 
Liberty University
 
- 
City
 
, 
State
 
"
28111403.pdf,PRESIDENT/CHIEF ,"
Executive Level, Operations, Proposals,Â Coaching, Teaching,Â Quality Control, Corrective Action, Human Resources, Strategic Planning,
Finance","
B.A.
 
, 
Psychology
 
1995
 
Bethany College
 
ï¼​ 
City
 
, 
State
 
, 
US
 
âž¢ Bethany College, Bethany, West Virginia âž¢ B.A. 1995-Psychology
M.S.
 
, 
Human Services Management
 
2001
 
Franklin University
 
ï¼​ 
City
 
, 
State
 
, 
US
 
âž¢ Franklin University, Columbus, Ohio âž¢ M.S. 2001-
Human Services Management
"
31242382.pdf,"CONSUMER SERVICES ADVOCATE
","
Cash handling
Shipping and receiving
Careful and active listener
Multi-tasking
Professional and friendly","al Background
Associate of Science
 
: 
Computer Science
 
Southern University
 
ï¼​ 
City
 
, 
State
Continuing education in Computer Science
High School Diploma
 
: 
Dance
 
Alabama State University
 
ï¼​ 
City
 
, 
State
Continuing education in Dance and Computer Science
Student body government representative
High School Diploma
 
: 
Dance
 
, 
2008
 
Alabama School of Fine Arts
 
ï¼​ 
City
 
, 
State
Student body government representative
3.7 GPA
"
24410405.pdf,"SENIOR MEMBER ADVOCATE
","
DOMS applications, AS/400, Microsoft applications, outlook, Lync
Connentions
People Soft
Phone Etiquette
Customer Relationship Management
Client relations specialist
Conflict resolution techniques
Meticulous attention to detail
Focused on customer satisfaction
Skilled multi-tasker
oracle / ciboodle / microsoft / linux software
proficiency
Deadline-oriented
Skills
account management, Administrative Assistant, Analyst, Microsoft applications, AS/400, A/s 400, Communication Skills, Computer applications,
Cooking, Customer Relationship Management, customer service, customer care, Data Entry, DOS, English, filing, Government, inventory,
LANGUAGES, Materials, Microsoft Excel, Excel, Microsoft Office, Microsoft Outlook, outlook, People Soft, presentation skills, Procurement,
Public Speaking, sales, San, scheduling, Security Clearance, phone skills, Phone Etiquette","
Bachelor's Degree
 
, 
Business and Managerial Economics, Human Services
 
May 2012
 
University of Phoenix
 
ï¼​ 
City
 
, 
State
 
Business and
Managerial Economics, Human Services
Associate Degree
 
, 
Human Services, Business and Managerial Economics
 
May 2002
 
IVY Tech State College
 
ï¼​ 
City
 
, 
State
 
Human Services,
Business and Managerial Economics
Bachelor's Degree
 
January 2002
 
The Culinary Institute of America
Master's Degree
 
January 2002
 
The Culinary Institute of America
January 1995
 
Paul Harding High School
Languages
English Fluent
Highlights
70+ Wpm
Public Speaking
Ability to organize and establish filing systems
Data Entry
Administrative Assistant
Communication "
13909762.pdf,"CLIENT RELATIONS ADVOCATE
","
Greet, Telephone Customer Service, Cash, Credit, Sales, Vouchers, Optical, Payments, Training, Inventory, Pricing, Billing, Forecasts, Greeting,
Sales Floor, Stocking, Correspondence, Databases, Filing, Telephones, Painting, Client Relations, Clients, Schedule Appointments, Scheduling,
Switchboard, Cashier, Accounting, Answering, General Office, General Office Duties, Inventory Records, Payroll, Process Payroll, Purchase
Orders, Customer Service, Data Entry, Excel, Microsoft Word, Punctual, Receptionist, Retail Sales, Team Player, Word, Coding, Medical
Coding","al Background
Maric College
 
City
 
, 
State
 
, 
US
 
Certificate
 
: 
Medical Coding and Billing
Medical Coding and Billing Certificate: Medical Coding and Billing Sep 2007 Maric College San Diego, CA (Now Known As Kaplan College)
C. Crawford Senior High School
 
City
 
, 
State
 
, 
US
 
High School Diploma
High School Diploma Jun 2000 Will C. Crawford Senior High School San Diego , CA
San Diego Job Corps
 
City
 
, 
State
 
, 
US
 
Certificate
 
: 
Office Business
Office Business Certificate: Office Business Jun 2002 Job Corps Imperial Beach, CA
South Western College
 
City
 
, 
State
 
, 
US
 
Child Development
South Western College Chula Vista, CA
Certifications
Medical Coding and Billing Certificate, Office Business Certificate, High School Diploma
Languages
Bilingual English/Spanish written and Spoken
"
37348041.pdf,"ADVOCATE
","
Experience
Advocate
 
01/2012
 
to 
Current
 
Company Name
 
City
 
, 
State
NF/SG Healthcare for Homeless Veterans Program Coach, mentor, and develop 100 clients, with resume assistance, career counseling,
complaints, and problems.
Develop, manage and evaluate training and organizational effectiveness strategies; that promote the development of a skilled, high-
performing, motivated "," levels, physical abilities, and career goals.
Serve as internal consultant to all levels of management to identify and resolve issues, such as; employee retention, skill development,
"
17254634.pdf,"OVERNIGHT PHARMACY TECHNICIAN
","
Trained in compounding all intravenous and chemotherapy admixtures.
Extensive training in calculating and compounding pediatric admixtures and chemotherapy.
Skilled in taking on multiple tasks in a fast paced environment.
Knowledge of the processes involved in maintaining a sterile environment for compounding IVs.
Licenses
Certified and Licensed Pharmacy Technician by the State of Illinois
Skill Highlights
Strong decision-making ability
Efficient and accurate
Strong clinical background
Accomplished in pediatrics
Hospital and retail pharmacy "," and Training
Rasmussen College
 
December 2013
 
Associate of Applied Science
 
: 
Pharmacy
 
City
 
, 
State
 
GPA: 
GPA: 3.58 Dean's list awardee: 4 consecutive
quarters.
Two-year Pharmacy Technician program which included both pharmacy based and general education courses.
â€‹
GPA: 3.58 Dean's list awardee: 4 consecutive quarters.
"
