FileNumber,Role,Skills,Education
37201447.pdf,"ADULT EDUCATION INSTRUCTOR
","
Excellent classroom managementÂ 
Experience "," INSTRUCTOR
"
12674256.pdf,"FINANCIAL SALES CONSULTANT
","
Team mediation, Budget Management, Delegation expert with a focus on results and team growth
Additional Information
Experience
Financial Sales Consultant
 
, 
10/2013
 
ï¼​ 
Current
 
Company Name
 
ï¼​ 
City
 
, 
State
Conducted analysis to address customer service score issue which led to an overall increase of Gallup score from a 4.2 to 4.93 in 3 months
.Responsible for basic bank operations such as teller transactions as well as the opening of new accounts in order to hit regional goals
Monitored multiple databases to keep track of product usage amongst all new clients which led to team awareness and knowledge of what
products were not used by clients
Gained the title of Strategic Promotional Captain, due to the creation of stellar promotional campaigns that allowed the branch to see higher
numbers of accounts opened as compared to the last year
Responsible and successful at opening atleast 20 accounts, 4 booked credit cards and 3 qualified investment leads on a monthly basis
Developed relationships with clients that were successful enough to have them take part in our PNC Investment sector, which resulted in
1.25 million dollars of new investable funds
Passed NMLS licensing test which allows a person to broker loans and mortgages as needed by clients
Organized and executed a successful branch outreach event which garnered 72 new accounts over a holiday weekend
Co-Owner/Financial Liaison 
, 
04/2011
 
ï¼​ 
Current
 
Company Name
 
ï¼​ 
City
 
, 
State
â€¢ 
Responsible for contacting investors and presenting farm production reports
â€¢ 
Develop and maintain organization system for average quarterly production growth
â€¢ 
Manage financial records pertaining to accounts receivable and accounts payables
â€¢ 
Successfully led key projects which resulted in the garnering of new business partners
â€¢ 
Responsible for a yearly week long visit of the property to best understand the state of the farm, employees, and any new needs that may have
occurred
â€¢ Developed sustainability action plan to insure the longevity of the business's relationship with it's clients, employees, and immediate community;
this plan included weekly health screenings of employees as well as daily meetings with ground staffs to further the awareness of the ebola outbreak
Management Trainee/Office Manager
 
, 
02/2011
 
ï¼​ 
07/2012
 
Company Name
 
ï¼​ 
City
 
, 
State
Prior to my employment the office had gone 9 months without receiving a satisfactory customer service score, but since being employed the
office has seen a 7 month streak of above satisfactory customer service scores.
Reviewed and provided comments on the adequacy of documents and took necessary steps to cure any deficiencies in record keeping
Personally responsible for increasing average price per rental from $27.04 to $29.32.
Personally responsible for increasing revenue per car from $769.32 in 2011 to $910.32 in 2012 upon 5 month review
Managed a small car prep team and led my region in car cleanliness and customer approval score
Responsible for educating renters on car safety and the importance of limiting financial risk by showing them the importance and benefits of
Enterprise coverage
Led weekly regional conference calls in which goals, promotions,
Night Auditor
 
, 
09/2009
 
ï¼​ 
07/2009
 
Company Name
 
ï¼​ 
City
 
, 
State
â€¢ 
Corrected and organized the total daily revenue for the Hotel Rouge which on average exceeded $25,000 in revenue
â€¢ 
Performed all nightly maintenance and hospitality functions for hotel patrons, with services including but not limited to room service, special
room set ups, and valet servicesâ€¢ 
Setup daily morning refreshment area for all guests which included a continental breakfast and mimosas
â€¢ 
Developed a Lincoln towncar team which had routine pickup and drop offs for the hotel guests, thus limiting wait times and improving
customer service
Auditor (Intern)
 
, 
06/2009
 
ï¼​ 
08/2009
 
Company Name
 
ï¼​ 
City
 
, 
State
Reviewed and audited budgets for over 70 public schools in the as a representative auditor for the state of N.J.; these budgets included the
purchasing of refrigerators, textbooks, school supplies, health and fitness posters, fitness gear for students, heating and cooling systems and
normal monthly safety needs
Approved and ensured the ","
2009
 
Howard University
 
ï¼​ 
City
 
, 
State
 
, 
USA
 
BBA
 
Marketing
"
29968330.pdf,"EXTENSION METHODOLOGIST
","
COMPUTER LITERACY, E-mail, English, government, director, management consulting, Excel, PowerPoint, Microsoft word, policies, progress,
research, SPSS, supervising, supervision, surveys, written"," and practical arenas have made me a versatile, quickly trainable, innovative and result
oriented person capable of "
81042872.pdf,"RESEARCH SCIENTIST
","
C, C++, communication skills, designing, ELISA, GLP, GMP, Mac OS, Excel, MS-Office Suite, PowerPoint, Windows, Word, OS, presenting,
presentations, RT-PCR, statistical analysis, troubleshoot, Validation
Additional Information
Team player 
- Currently part of a team, developing a diagnostic assay to detect a chemotherapy drug at Saladax Biomedical. - Volunteered
for non-profit organizations like National Association of the Blind & National Cancer Rose Day.","
Masters of Science
 
, 
Biotechnology
 
5 2013
 
University of Pennsylvania
 
GPA: 
GPA: 3.83/4.0
 
Biotechnology GPA: 3.83/4.0
Bachelor of Engineering (Honors)
 
, 
Biotechnology
 
Birla Institute of Technology & Science
 
ï¼​ 
City
 
GPA: 
GPA: 9.62/10
 
Biotechnology GPA:
9.62/10
"
20006992.pdf,"FRONT DESK CLERK (FEE BASIS, JOHN D DINGELL VA MEDICAL CENTER)
","
Data Entry, Printers, Clients, Loans, Tax Returns, Clerk, Multiline, Maintenance, Recruiting, Recruitment, Testing, Games, Instructor, Teaching,
Training, Weapons, Cash, Inventory, Pricing, Arranged Meetings, Claims, Front Desk, Linguistics","
Wayne State University
 
2013
 
MBA
 
: 
Linguistics
 
City
 
, 
State
 
, 
US
 
Wayne State University, Detroit, MI; BA in Linguistics, 12/2013
Wayne County Community College District
 
2007
 
Liberal Arts
 
City
 
, 
State
 
, 
US
 
Wayne County Community College District, Detroit, MI, AA in
Liberal Arts, 06/2007
Northcentral University
 
Master in Education
 
: 
English as a Second Language
 
City
 
, 
State
 
, 
USA
Course"
15603319.pdf,"GRADUATE RESEARCH ASSISTANT
","
Data collection, maintain inventory,statistical analysis, prepare sample and Microsoft office","
Master of Science
 
:
 
Entomology - Qualifying
 
2016
 
Florida Agricultural & Mechanical University
 
, 
City
 
, 
State
 
, 
United States
 
Bachelor of Science
 
:
 
Environmental Science
 
2011
 
Knox Community College
 
, 
City
 
, 
Jamaica
Associate of Science
 
:
 
General Agriculture
 
2006
 
College of Agriculture Science and Education
 
, 
City
 
, 
Jamaica
 "
17499196.pdf,"JAMAICA- APICULTURE EXTENSION SPECIALIST
","
Physical Planning and Land Management
Urban and Regional Planning
Land Use Planning
Geographic Information System (GIS)
Strong organizational and planning skills.
Strong leadership qualities with flexibility; Able to ","
Bachelor of Science
 
: 
Urban and Regional Planning
 
University of Technology
 
University of Technology, Jamaica Bachelor of Science (BSc) in
Urban and Regional Planning
High School Diploma
 
Campion College
 
Campion College, Jamaica High School Diploma
Certificate of Education
 
: 
(GCE), Advanced Level Subjects
 
Four General Certificate of Education (GCE), Advanced Level Subjects Seven
Caribbean Examination Council (CXC) Subjects
"
23631188.pdf,"ACCOUNTS PAYABLE AP - (CREDITORS) SUPERVISOR
","
â€¢Audit and process vendor invoices ensuring timely and accurate payments.
â€¢High volume with complex processing
â€¢Investigate and resolve problems associated with processing of invoices
â€¢Handle all vendor correspondence via phone or email
â€¢Receive, research and resolve a variety of routine internal and external inquiries concerning account status, including communicating the
resolution of discrepancies to appropriate persons.
â€¢Manage vendor information and setup.
â€¢Develop, implement and maintain AP systems, procedures and policies.
â€¢Full responsibility for reconciliation of key vendor accounts and travel Credit Card statement.","
Certificate in Practical Accounting
 
: 
Accounting
 
, 
2006
 
Damelin Business School
 
ï¼​ 
City
 
, 
State
 
, 
South Africa
Certificate in Basic Bookkeeping
 
: 
Accounting
 
, 
2006
 
Damelin Business School
 
ï¼​ 
City
 
, 
State
 
, 
South Africa
Certificate in Sectional Title Management
 
: 
Sectional Title Management
 
, 
2011
 
University of Cape Town
 
ï¼​ 
City
 
, 
State
 
, 
South Africa
High School Diploma
Certifications
Computer literate in MS Word, Excel (Advanced) Brilliant Accounting, Quick Books, other accounting software, and MDA (Property
Management Program/System)
Additional Information
Accounts Payable AP - (Creditors) Manager Glendale, CO Authorized to "
16653657.pdf,"QUALITY ASSURANCE ASSOCIATE
","
HPLC, GC, Physical Chemistry, UV/VIS","
2014
Master of Science
 
: 
Chemistry
 
University of North Carolina
 
ï¼​ 
City
 
, 
State
 
, 
US
1996
Bachelor of Science
 
: 
Forensic Science
 
Michigan State University
 
ï¼​ 
City
 
, 
State
 
, 
US
Presentations
Performed a quarterly series of technical presentations to the product development group and regularly presented data at monthly local project
team meetings.
Presented data and formulation recommendations to senior leadership
"
16172429.pdf,"FINANCIAL INSTITUTION EXAMINER
","
accounting, Basic, Bloomberg, C, charts, Credit, credit risk, documentation, senior management, financial, Analyze financial statements, financial
statements, Focus, funds, law, regulatory compliance, meetings, MS Excel, MS Office, PowerPoint, new construction, Oct, pivot tables,
presentations, quality, QuickBooks, repairs, assess risk, Risk Management, Safety, SPSS, Supervision, tax returns, team","
May 2010
 
UNIVERSITY OF MARYLAND, COLLEGE PARKB.S
 
: 
Finance
 
Robert H. Smith School of Business
 
GPA: 
GPA: 3.82
 
Finance GPA: 3.82
B.A
 
: 
Government & Politics
 
School of Behavioral and Social Sciences
 
GPA: 
cum laude 2nd Place Team -Wikler Finance Case Competition
(2008), Dean's Academic Scholar (2010)
 
Government & Politics cum laude 2nd Place Team -Wikler Finance Case Competition (2008), Dean's
Academic Scholar (2010)
"
