FileNumber,Role,Skills,Education
29521434.pdf,"CASHIER
","
Problem Solving
Adaptability
Collaboration
Strong Work Ethic
Time Management
Critical Thinking
Self-Confidence
Handling Pressure
Leadership
Creativity","
2017
Chandler gilbert community college
 
City
 
, 
State
 
, 
USA
 
Associate of Arts
 
: 
Early Childhood Education/English second language
 
Currently Finishing
up First year of college, Majoring inÂ Early Childhood Education/English second language
2015
Adult Education school
 
City
 
, 
State
 
, 
USA
 
GED
 
: 
High school
 
Graduated 2015
"
78273826.pdf,"DIRECTOR OF PRODUCT DEVELOPMENT
","
Adobe Illustrator, Photoshop, Excel, Power Point, Word
Excellent organizational skills. Team player. Works well under pressure.","
Bachelor of Arts
 
: 
Clothing and Textiles. 
Focus in Fashion Design
 
, 
2010
 
California State University
 
- 
City
 
, 
State
 
, 
USA
"
19402977.pdf,"ASSISTANT MANAGER
","
closing, Competitive, client, customer service, delivery, direct sales, English, expense reports, inventory control, market trends, market, meetings,
merchandising, Microsoft Office Suite, office, policies, pricing, receiving, Sales, sales reports, shipping, Spanish, travel arrangements","
2009
Fashion Institute of Design and Merchandising
 
ï¼​ 
City
 
, 
State
2011
San Diego Mesa College
 
ï¼​ 
City
 
, 
State
Languages
Bilingual: English & Spanish
"
30430249.pdf,"SHIPPER-VAULT BULLION
","
Some AS400, Basic Computer, Fax Machine, Hand Trucks, Inside sales, Keeping Inventory levels Managed, Inventory Control, invoicing, Lotus
notes, Merchandising, Exel office, Microsoft Outlook, Windows 7,, Numeric Filing, Organization skills, Packaging, Training New Employees,
Supervisor of 12 Employees, Phone Systems, Printers, Quality Assurance, Receiving, Retail Sales, Routing, 
Scales, Scanners, Shipping, some
UCC knowledge. Preparing Shipping Documents Bills of lading, LTL scheduling.","
1989
 
Diploma
 
:
 
Phoenix Sr. High
 
- 
General Studies
 
City
 
, 
State
 
, 
usa
 
GPA: 
at Phoenix High School 
1985 Sep - 1989 Jun Received Deans Award
GPA: 3.0
3.5 GPA
Receiver of the Dean's Award
Affiliations
Volunteered at the Edgewood Food Bank 2006-2008
Personal Information
I expect dependability from myself. I seek out responsibility and have excellent "
31761591.pdf,"MEMBERSHIP SALES REPRESENTATIVE
","
Mastery of Microsoft Office (Word, Excel, and PowerPoint)
Strong ","
Bachelor of Arts
 
:
 
International Relations
 
1998
 
Mount Holyoke College
 
, 
City
 
, 
State
 
, 
USA
Certificate of Portuguese Studies
 
1997
 
Universidade de Lisboa
 
, 
City
 
, 
Portugal
Technical "
72807293.pdf,"SR. MANAGER
","
Exceptional time management skills
Adaptable
Business and requirements analysis
Experience
10/2008
 
to 
07/2012
Sr. Manager
 
Company Name
 
ï¼​ 
City
 
, 
State
Vendor Management and Product Integrity/Quality Responsibilities include: 
Partnering with Quality Assurance Team, Sourcing Managers,
Buyers, Technical Design and Logistics to ensure packaging and garment labeling meet company requirements.
Worked with vendor base of 200+ to ensure performance standards were in accordance with both FTC and CPSC regulations.
Day-to-day direct communications with vendors and suppliers on all levels and assist with trouble shooting.
Accomplishments: Implemented a new vendor website providing all company policy and procedures as well as ","al tools.
Implemented with the QA team a shared audit tracking report and disposition process.
Implemented a Correction and Chargeback Policy for vendor Non-Compliance resulting in savings of $400k annually.
02/2005
 
to 
10/2008
Sr. Manager
 
Company Name
 
ï¼​ 
City
 
, 
State
Manage the Technical Design Department with a staff of two Managers and six Technical Designers.
Maintained an annual departmental budget, provided daily and weekly productivity stats, streamlined efficiencies and set goals.
Provide further training as needed on systems, guidance, discipline and support to direct reports.
Developed and implemented a Standard Operating Procedure Manual to streamline processes.
09/2000
 
to 
02/2005
Promotional Sales Manager
 
Company Name
 
ï¼​ 
City
 
, 
State
Responsible for all promotional and up sell programs in an inbound call center.
Programs include add-on sales, coordinates, gift certificates and in-house credit card programs.
Manage and maintain an associate incentive budget of $120,000 annually while increasing sales.
Created and implemented numerous successful associate incentive contests driving promotional sales up in each area.
Trained and interacted live with associates on the floor to promote 'can do' attitude to sell.
Increased efficiency in talk time and sales by providing ""Tips of the Week"" on selling and ""Knowing Your Customer"".
10/1998
 
to 
09/2000
Manager of Customer Sales/Support
 
Company Name
 
ï¼​ 
City
 
, 
State
Manage an inbound call center handling both sales and support.
Oversee and managed a staff of 9 Supervisors with a total of 300 associates.
"
56025640.pdf,"LIGHT INDUSTRIAL MAINTENANCE / RESIDENTIAL
","
assembly, cold calling, community relations, Corel software, customer service, delivery, edge, forklift, frame, framing, information technology,
Explorer, Marketing, merchandising, Microcomputers, Microsoft Excel, Excel, Exchange, windows, octagon, Operating System, Outside Sales,
press, Real Estate, Selling, Sales, Scheduling, shipping, staffing, System X, team","
High School Diploma
 
: 
General Studies
 
, 
1996
 
Terre Haute North
 
ï¼​ 
City
 
, 
State
 
, 
United States
Some College courses
 
: 
Information Technology
 
Ivy Tech
 
ï¼​ 
City
 
, 
State
 
, 
United States
Intro to Microcomputers
Microsoft
Interests
Building custom PC's, softball, electronics, running, sports, carpentry, computer software.
"
36136569.pdf,"SR. PROJECT MANAGEMENT ASSOCIATE
","
advertising, Agile, AP, budgets, budget, concept, costing, credit, clientele, Client, Excellent Customer Service, databases, database, drivers, e-
mail, special events, expense reports, fashion, floor plans, functional, inventory, Director, Marketing, meetings, office, Multi-tasking, ordering office
supplies, product development (planning, Press, Product Development, progress, project management, purchase requisitions, purchasing, selling,
Sales, shipping, tear, phone, travel arrangements, video, visual merchandising","
Bachelor of Science Degree
 
: 
Business Management
 
, 
05/2010
 
University of Phoenix
 
Business Management
Merchandising and Design
 
, 
9/07
 
American Intercontinental University
 
- 
City
 
, 
State
 
Merchandising and Design
Business Administration Marketing
 
, 
5/98
 
California State University
 
- 
City
 
, 
State
 
Business Administration Marketing
"
23719943.pdf,"SR. FREELANCE DESIGNER/PRODUCT DEVELOPMENT MANAGER
","
Adobe Creative Suites-Illustrator, Photoshop, Indesign-CC, Microsoft Office- Excel, Word, Power Point, Lotus Notes, Outlook. CAD- Ned
Graphics-Easy Weave, Easy Knit, Coloring and Repeat. 
Working knowledge of U4ia and Kaledo. 
PDM/PLM.
Experience
Sr. Freelance Designer/Product Development Manager
 
07/2012
 
to 
Current
 
Company Name
 
City
 
, 
State
Worked cross functionally while building and maintaining relationships with product development departments.
Execute all product details including construction, detail, color, form, style, fit, graphic application, trim, etc.
Worked directly with clients through out all stages of development to production.
Worked with clients in selling and designing the interior of their homes at BALLARD DESIGNS/POTTERY BARN KIDS.
Developed packaging for multiple apparel /footwear companies with TJX/AVERY DENNISON.
Designed graphic design -t-shirts/pet wear with B POSITIVE PROJECT/PETRAGEOUS DESIGNS.
Designed Children's apparel including sleepwear, sweater sets, rompers, dresses for BABY TOGS/BABY FAIR/ZUTANO.
Sr. Apparel Designer/Product Manager
 
10/2002
 
to 
06/2012
 
Company Name
 
City
 
, 
State
Managed and developed product development process.
Designed art"," and Training
Bachelor of Science
 
: 
Textile Design
 
1992
 
Syracuse University
 
City
 
, 
State
"
27091280.pdf,"SPECIALIST FOR WOMEN'S & CHILDREN'S APPAREL
","
Accounts payable, ADP, balance sheets, Cash handling, cash management, closing, Resolve customer complaints, database, direction, drivers,
English, fashion, fast, floor plans, inventory, leadership skills, Loss prevention, loss prevention, meetings, Merchandising, money, windows, Works,
payroll, pick, policies, quality, Fast learner, receiving, retail, selling, sales, scheduling, Spanish, Store manager, Team player.","
Associate of Applied Science
 
: 
Graphic Arts
 
ROBERT MORRIS COLLEGE
 
ï¼​ 
City
 
, 
State
 
, 
USA
Select 
One
Languages
Fluent in English & Spanish
Personal Information
Always willing to learn more and welcome opportunity to improve myself. Energetic and love to "
