FileNumber,Role,Skills,Education
82140102.pdf,"ADJUSTER
","
Benefits, excellent customer service, customer service, insurance, IQ, mentoring, personnel, police, settlements, phone, valuation, written","
High School Diploma
 
John F. Kennedy High School
 
"
24703983.pdf,"ACCOUNTANT
","
Microsoft Office Outlook
Accomplishments
C?Math.max(0,d+c):c:0;c.
Experience
03/2015
 
to 
07/2017
Accountant
 
Company Name
 
ï¼​ 
City
 
, 
State
Processed daily corporate customer payments using CDK and Rental payments using TSD.
Ran monthly customer statements.
Responded to and followed up on customer inquiries.
Processed daily cash journal entries.
Responsible for running monthly aging reports for the accounts payable department and stores.
10/2004
 
to 
04/2015
Accountant
 
Company Name
 
ï¼​ 
City
 
, 
State
Processed and paid state, city and county tax returns.
Processed yearly property tax returns.
Researched and responded to customer and the sales department inquiries.
Ran monthly customer statements.
Reconciled balance sheet accounts.
Processed monthly journal entries using Agate a specialized software.
Helped with month-end and year-end closings.
Created various requested excel reports.
05/2000
 
to 
04/2004
Accounting Manager
 
Company Name
 
ï¼​ 
City
 
, 
State
Supervised one staff accountant.
Responsible for the timely balancing of two accounting systems.
Managed the reconciliation of all balance sheet accounts.
Processed and paid the monthly state, county and city tax returns.
Accountable for the accounts payable area.
Developed and maintained various Excel spreadsheets.
Implemented and oversaw system enhancements.
02/1989
 
to 
04/2000
Accountant
 
Company Name
 
ï¼​ 
City
 
, 
State
Processed monthly financial statements.
Reconciled all balance sheet accounts.
Processed and paid monthly state, county and city tax returns.
Researched and responded to customer inquiries regarding monthly statements.
Implemented and tested accounting system conversion.
Education and Training
Associate of Applied Science
 
Normandale Community College
 
ï¼​ 
City
 
, 
State
Skills
accountant, accounting systems, accounting system, accounts payable, balance sheet, conversion, financial statements, Excel spreadsheets, excel,
Microsoft Office, Outlook, sales, tax returns, year-end"," and Training
Associate of Applied Science
 
Normandale Community College
 
ï¼​ 
City
 
, 
State
"
22452756.pdf,"SERVICES ENGINEER
","
Agency, consultation, Clients, Data Entry, Engineer, English, Hindi, lathe, Repairs, Sales, Supervision, television, wiring
Additional Information
CURRICULAM 
VITAE ANAND.C 35,11TH cross road Kurubarahalli road, Muneshwara layout Laggere, Bangalore-560058
Personal Details : Name 
: Anand Father Name 
: 
Chikkegowdappa Date of Birth : 23.06.1975 Age 
: 37 Years Marital Status : Married
Passport No 
: F 3905156 I, CHIKKEGOWDAPPA ANAND, hereby confirm that all the above details are true and to the best of my
knowledge. Date 
: - 02-05-2014 
Place: - Bangalore (INDIA) 
[ANAND.C]","
Data Entry - Six Month Course
 
: 
1995
 
KARANATAKA INFOTEK (Regd
 
ï¼​ 
City
 
, 
India
 
PUC 2Nd year
Diploma
 
: 
Computer Applications
 
, 
2002
 
F. B. INTERNATIONAL Computer School
 
ï¼​ 
State
 
, 
India
 
Computer Applications
Personal Information
Name 
: Anand Father Name 
: 
Chikkegowdappa Date of Birth : 23.06.1975 Age 
: 37 Years Marital Status : Married
Interests
ANAND.C # 35,11TH cross road Kurubarahalli road, Muneshwara layout Laggere, Bangalore-560058
Languages
English, Hindi, Kannada, Tamil, Luganda (African Language spoken in Uganda)
"
14455622.pdf,"PROPOSAL COORDINATOR
","
account management, accounting, AD, automobiles, budget, Contract management and administration, contracts, customer relations, Customer
Satisfaction, customer service, delivery, estimating, financial, forecasting, Invoicing, Lockheed-Martin, marketing, mechanical, office, negotiations,
net","
Bachelor of Science
 
Lewis University 
Airframe & Powerplant License
Aviation Maintenance and Management
"
28790806.pdf,"DATASTAGE ETL DEVELOPER
","
Expertise in IBM Datastage (8.5,9.1 and 11.5 versions) to perform ETL & ELT operations on data
Proficiency in Unix Shell Scripting
Proficiency in writing and debugging Â complex SQL
Informatica ETL Support "," and Training
BACHELOR OF TECHNOLOGY
 
2011
 
ANNA UNIVERSITY
 
ï¼​ 
City
 
, 
State
 
, 
INDIA
BUSINESS INTELLIGENCE TRAINING
 
2011
 
TATA CONSULTANCY SERVICES
 
ï¼​ 
City
 
, 
State
 
, 
INDIA
SEPTEMBER 2011 - DECEMBER 2011Â 
This course provides an overview that gives business and information technology "
26341645.pdf,"SR BUSINESS SYSTEMS ANALYST
","
PeopleSoft HCM & Portal, PeopleTools, PeopleSoft Query
SQL, Oracle, Microsoft SQL Server
SharePoint, Windows NT, Windows 2003, Terminal Server
MS Office - Excel, Word, PowerPoint, Project, Publisher, Visio and Access
Rational Tool (SDT, RQM, Clear Case) , Document Management Systems(PDM & Documentum)
Kronos Workforce Central (WFC), Kronos Connect, ADP
Work Experience
SR BUSINESS SYSTEMS ANALYST
 
12/2004
 
to 
Current
 
Company Name
 
City
 
, 
State
Working with several large applications like PeopleSoft(7.5, 8.3 and 8.9 versions), Kronos, ADP PCPW (v.4 and v.5), Nextrak
Working with several relational database applications
Providing Support to specified customer base for HR IS applications in a timely, courteous and "," and Training
Bachelor of Science
 
: 
Management Information Systems
 
2000
 
Northeastern University
 
City
 
, 
State
 
, 
USA
Associate of Science
 
: 
Computer Scientific
 
1998
 
Quincy College
 
City
 
, 
State"
78357954.pdf,"CO-MANAGER
","
billing, call center, cancer, clerical, coaching, customer satisfaction, customer service, direction, fast, instruction, inventory, Team Leader, market,
meetings, Net","
Liberal Arts
 
Kean University
 
Liberal Arts
High School Diploma
 
Hamilton High West
"
15790602.pdf,"DIRECTOR
","
America Online, AOL, Auto Repair, Branding, budget, business development, com, content, contract negotiations, contracts, credit, Database,
delivery, Dell, financial, focus, government, Internet Development, Internet Service Provider, leadership, marketing plans, marketing, market,
Marketing Manager, marketing materials, MBA, Money, office, multimedia, multi-media, pricing, product development, project management,
publications, receiving, retail, RFP, sales, sales/development, sales reporting, Shell, stories, strategy development, telemarketing, web site, writer,
zip","
1984
MASTER'S DEGREE
 
: 
BUSINESS ADMINISTRATION
 
Stetson University
 
ï¼​ 
City
 
, 
State
 
BUSINESS ADMINISTRATION
1981
BACHELOR OF SCIENCE DEGREE
 
: 
Journalism and Business
 
Florida Southern College
 
ï¼​ 
City
 
, 
State
 
Journalism and Business
"
22732234.pdf,"CUSTOMER SERVICE REPRESENTATIVE
","
Able to demonstrate exceptional communication skills, able to maintain effective
and efficient communication within a team environment.
Skillful initiation in organizing and coordinating team meetings to manage and
planned performance adherence.
Exceptional talent for accuracy analyzing, projecting conflict and resolving issues.
Continually providing input or solutions in problem solving on operational issues or
procedures and perform administrative follow-up.
Strong leader with proven development abilities,
capable of clearly presenting ideas, plans and
strategies to all levels of management.
Solid background in setting priorities and
deadlines, adjusting the flow and sequencing of
the "," and Training
Masters of Science
 
:
 
Public Safety/Emergency Management
 
December 2017
 
Capella University
 
, 
City
 
, 
State
 
Public Safety/Emergency
Management
"
25047127.pdf,"CENTRALIZED ADMINISTRATIVE SUPPORT
","
Advanced MS Office Suite knowledge 
(Excel, Word, Outlook, PowerPoint)
Strong aptitude for Microsoft Excel including macros and pivot tables.Excellent Critical Thinking, Decision
Making and Communication Skills
Responsible time manager
Meeting planning
Self-directed
Meticulous attention
to detail
Understands
grammarÂ 
Resourceful
Strong problem
solver
Experience
Centralized Administrative Support
 
Mar 2016
 
to 
Current
 
Company Name
 
ï¼​ 
City
 
, 
State
Scheduling appointments, maintaining calendars, managing email Arrange travel and lodging reservations Arrange meetings to include:
communication preparation, equipment, etc.
Order supplies and equipment for leaders Follow protocol in handling confidential and sensitive information Run dashboard summary
reports for Sales Leader (e.g., territory data reports) Complete Marketplace Compliance process for field marketing promotions for Sales
Leader.
Data Entry Clerk
 
Oct 2015
 
to 
Dec 2015
 
Company Name
 
ï¼​ 
City
 
, 
State
Verified that information in the computer system was up-to-date and accurate.
Identified and resolved system and account issues.Â Â 
Used great attention to details skills to provide quick and accurate labor for a long-term assignment
Maintained data entry requirements by following data program techniques and procedures.
Tutor Counselor
 
Jun 2015
 
to 
Jul 2015
 
Company Name
 
ï¼​ 
City
 
, 
State
Used great attention to details skills to provide quick and accurate labor for a long-term assignmentÂ 
Maintained data entry requirements by following data program techniques and procedures.
Created timeline and goals to complete assignments
Verified that information in the computer system was up-to-date and accurate.
Executive Assistant/Special Events
 
Aug 2006
 
to 
May 2015
 
Company Name
 
ï¼​ 
City
 
, 
State
Responsible for direct customer service, "," and Training
Health Education and General Science
 
2015
 
Jackson State University
 
ï¼​ 
City
 
, 
State
 
Health Education and General Science
"
