FileNumber,Role,Skills,Education
11752500.pdf,"ELECTRICIAN
","
Troubleshooting
Problem Resolution
Avionics Systems
Electrical Components
Aircraft Instruments
Process Change and Implementation
Goal Attainment
Maintenance Management
Project Management
Quality Assurance
Team Leadership and Training
Inspections
Deadline Adherence
Secret Clearance
Collateral Duty Inspector
Schematics
Experience
Electrician
 
February 2017
 
to 
Current
 
Company Name
 
ï¼​ 
City
 
, 
State
Responsible for inspection, testing and maintenance of electrical, electronic and HVAC systems on rolling stock equipment in accordance
with FRA and Amtrak standards and guidelines.
Service Technician
 
February 2016
 
to 
February 2017
 
Company Name
 
ï¼​ 
City
 
, 
State
Repair, recondition, service, and maintain Uninteruptable Power Supply systems and other power systems related components.
Troubleshoot and diagnose malfunctions of the complete power systems.
Electrical Work Center Supervisor/1st Lieutenant Supervisor
 
July 2014
 
to 
February 2016
 
Company Name
 
ï¼​ 
City
 
, 
State
Supervises 13 personnel performing scheduled and unscheduled maintenance on flight control, instrumentation, navigation and electrical
systems on 17 F/A-18C/D/E/F and 3 EA-18G aircraft.Â 
â€‹Supervises 9 Sailors responsible for the daily upkeep of squadron facilities and the stocking, inventory and sales of squadron store
merchandise.
Avionics Division Supervisor/ Indoctrination Supervisor
 
July 2011
 
to 
July 2014
 
Company Name
 
ï¼​ 
City
 
, 
State
Managed the administrative and production efforts of 59 avionics technicians.Â  Performing intermediate level repair ofÂ H-60, H-53, AV-
8,Â UH-1,Â and AH-1 aircraftÂ systems and components.Â 
Responsible for the check in and training of all newly assigned Sailors, receiving all their initial shipboard ","
Bachelor of Science
 
: 
"
24544244.pdf,"PASSENGER SERVICES OFFICER
","
Customer service specialist
Friendly
Calm under pressure
Federal Aviation Administration (FAA) regulations
Cabin technologies
Calm under pressure
Expert problem solver
CPR certification
Multi-line phones
Passion for travel
Work History
Passenger Services Officer
 
11/2013
 
to 
07/2014
 
Company Name
 
â€“ 
City
 
System and Product Training: Complete Systems training: Amadeus Altea Customer Management System
Complete Product Training: Singapore AirlinesÂ 
Passenger baggage handling and flight check-inÂ 
Checked in an average of 60 passengers per check-in
Being a team player by helping colleagues achieve targets and solve problems to meet daily KPIsÂ 
Serving customers in a polite and ","
Bachelor of Applied Science (Aviation)
 
: 
Aviation Business Management
 
Current
 
Royal Melbourne Institute of Technology
 
- 
City
 
GPA: 
GPA: 3.4/4.0
Analytical and conceptual thinking, with a conscientious approach to managing "
28186635.pdf,"POSTAL SUPPORT EMPLOYEE
","
Air Force, Basic, budget, customer service skills, databases, First Aid, government, information technology, inspection, inventory, regulatory
compliance, Logistics, mainframes, materials, Mechanic, Naval, Organizational, Performance Analysis, personnel, Policy Development,
procurement, Program Management, Project Coordination, quality, quality assurance, quality control, quick, reporting, Safety, Technician
Additional Information
AWARDS & HONORS DynCorp 5 Year Achievement Award Navy Unit Commendation Navy Meritorious Unit Commendation NavyAWARDS & HONORS DynCorp 5 Year Achievement Award Navy Unit Commendation Navy Meritorious Unit Commendation Navy
Battle ""E"" Award Iraqi Freedom Medal, Sea Service Medal (3) NATO Medal Global War on Terrorism Medal Kosovo Campaign Medal
Enlisted Aviation Warfare Specialist"," for civilian and military personnel, developing specialized training, regarding OSHA
requirements, and hazard control fundamentals and techniques.
Education
System Organizational Maintenance Technician, Tinker Air Force Base,
 
2004
Aviation Apprenticeship Training, Naval Training Command, IL,
 
1999
OSHA 30 
EPA RRP 
DOE Weatherization Tactics 
Basic Fire Fighting 
Basic First Aid Certification
High School Diploma
 
1998
 
Edmondson High School
 
ï¼​ 
City
 
, 
State
"
22232367.pdf,"AVIATION RECORDS ANALYST
","
Computers,Â Sql, Customer Support, Database, Net","
Downers Grove South High School
 
1984
 
High School Diploma
 
City
 
, 
State
 
, 
US
Florida State College of Jacksonville
 
Associate of Science
 
: 
Computer Science
 
City
 
, 
State
 
, 
USA
 
Seeking Degree in Computer Science and
Information,Â 2011-2015Â 3.36 GPA; 55Â Semester Hours completed.Â  Courses completed: 
Â  
Computer Concepts, Intro to the Internet,
Hardware Configuration, Software Configuration, Micro-Computer Applications, Database Concepts, Intro to Computer Programing, OracleSQL and PL/SQL, Customer Support Operations, Project Management, Computer Net"
23761385.pdf,"AVIATION ELECTRONICS TECHNICIAN
"," and Areas of Expertise Employee Scheduling, Staff Training and Development, Budget Development, Compliance,
Interpersonal Relation Effective Communications, Strategic Analysis, Expense Reporting, Troubleshooting Techniques, Critical Thinking
AP/AR, Work Flow Planning, Cash Flow Analysis, Revenue Generation, Cost Control, Business Strategies Transitional Core
Competencies Execute management skills, facilitating operations and business development while managing client relations.
Provide organizational direction with exceptional ability to gain and maintain trust, building cohesive relations across multiple organizational
platforms.
Commendable interpersonal, organizational, multitasking and management proficiencies.
Collaborate effectively with support staff to provide effective leadership, delegating important tasks and assignments while providing timely
follow-up to ensure task completion.
Develop departmental budgets and pricing strategies; providing financial management, document control, communications and revenue
projections.
Direct classification studies successfully designed to identify duties and responsibilities assigned to various employee positions.
Ensure effective execution of administrative, HR, accounting, and financial aspects of related operations, while meticulously analyzing and
presenting pertinent information to senior staff, personnel and other ","
Masters of Business Administration (MBA)
 
: 
Business Administration/Management
 
, 
1 2014
 
SAINT LEO UNIVERSITY
 
ï¼​ 
City
 
, 
State
Bachelor of Arts (BA)
 
: 
Accounting
 
, 
2011
 
Saint Leo University
 
ï¼​ 
City
 
, 
State
 
, 
United States
Accounting
Select One
 
City
 
, 
State
Meals on Wheels
Co-Founder of Boys to Men Mentoring Program
"
29167286.pdf,"INSTRUCTOR/WRITER
","
streamline, Army, Hardware, CTC, documentation, Functional, Hydraulics, instruction, Instructor, Logistics, materials, monitors, organizational,
personnel, policies, presentations, processes, Quality, quality assurance, Risk Management, Safety, Supervisor, technical manuals, Troubleshooting
Additional Information
(*) Indicates ","
Technical or Occupational Certificate
 
: 
3 2009
 
North Central Institute
 
ï¼​ 
City
 
, 
State
 
, 
United StatesGA-101 General-Airframe Job Related Training: Instructor Certification for UH-60 A/L Helicopters, 15 May 2013 Cadre Training
Course(CTC), 08 March 2013 UH-60 M Helicopter Course, 21 March 2014 UH-60 A/L Helicopter Repairers Course, 02 October 1998
Fundamentals of Systems Acquisition Management ACQ101 Section 308, 01 November 2007 Risk Management CLM017 21 March 2008
Production, Quality & Manufacturing Fundamentals PQM101 Section 302, 18 March 2008
Personal Information
(*) Indicates "
36727173.pdf,"AVIATION SUPPLY SPECIALIST
",", class and lab on Underwater Problem
Solving Skills, class and lab on Multi-place Aircraft
Underwater Egress skills, class and lab on Extended Sea Survival, and
a written final examination
High School Diploma
 
: 
K1-12
 
2001
 
Monroe Senior High
 
City
 
, 
State
 
, 
USA
Skills
Inventory Specialist
Leader
Communication
Organization
Computer
Additional Information","
Certificate of Completion
 
: 
BASIC LEADERSHIP AND MILITARY STUDIES
 
2013
 
Marine Corps Institute
 
City
 
, 
State
 
, 
USA
Adhering to Marine Corps Orders and Directives, Specific training and
education requirements were assigned and needed to be completed
annually. The Marine Corps Institute had several courses of study to
enroll in. Courses of study varied on Occupational Specialty to Safety
of Weapons and Weapons Handling, Leadership Traits, Leading Marines,
as well as English, Spelling and Mathematics
Certificate of Completion
 
: 
Military Leadership
 
2006
 
Marine Corps Institute
 
City
 
, 
State
 
, 
USA
This was a school house setting split into groups focusing on the
abilities to act as small group leader, Council and administer
personnel. Commute orally and in writing. Understand and communicate
Marine history and traditions and employ small group tactics andweapons. Develop and enhance superior leadership "
17983430.pdf,"CUSTOMER SERVICE REPRESENTATIVE
","
Microsoft Office, Excel, and PowerPoint proficiency
Quick learner
Outstanding interpersonal skills
Issue resolution
Excellent analytical skills
Cooperative team member
Computer proficient
Extremely organized
Energetic and organized
Attention to detail
Education and Course", and Course
12504278.pdf,"CUSTOMER SERVICE REPRESENTATIVE
","
accounting, accounting system, customer service, inventory, listening, managerial, managing, multi-tasking, organizational skills, policies, proposals,
quality, Research, strategy, supervising, phone, troubleshooting, underwriter, underwriting, verbal communication skills, written communication
skills","
Baccalaureate of Science
 
: 
Business Administration/Marketing
 
, 
2008
 
Business Administration/Marketing University of Louisiana at Lafayette"
10945968.pdf,"GLOBAL IT PROJECT MANAGER
","
Windows , Windows Office Suites, Citrix, Active Directory, JIRA and Trello Project Management Applications, Service Now ITSM
Personal Information
Date of Birth: 8th October 1973
Marital Status: Married
Experience
Global IT Project Manager
 
05/2013
 
to 
Current
 
Company Name
 
City
 
, 
State
 
Air Menzies International Limited 
Â  
Global IT Project Manager â€“
May 2013 to Present 
Â  
A wholesale Freight Agent providing Cargo and Express services in Europe, North America, South Africa and Oceania.
My role, based in Wood Dale, IL is primarily to manage the Internal system around our global net"," and Training
Bachelor of Science
 
: 
Mathematics
 
1996
 
University of Glamorgan
 
City
 
, 
State
 
, 
UK
A Levels
 
1992
 
Cardinal Newman R.C. School
 
City
 
, 
State
 
, 
UK
Mathematics & Geography
GSCEs
 
1992
 
Cardinal Newman R.C. School
 
City
 
, 
State
 
, 
UK
Mathematics, Geography, Biology, English, French & Physics"
