FileNumber,Role,Skills,Education
29839396.pdf,"INVESTMENT BANKING SUMMER ANALYST
","
Java, C+, Python, App development
Experience
INVESTMENT BANKING SUMMER ANALYST
 
May 2013
 
to 
August 2013
 
Company Name
 
ï¼​ 
City
 
, 
State
Advised on $1.2B sell-side M&A deal, completed buy-side M&A screen, and contributed to 11 total project teams 
Drove financial
analysis for sell-side M&A deal, built the levered model projecting operations, financing and returns 
Completed 3 subsequent model
iterations and built sensitivities; coded Excel macros to improve client "," and Training
Bachelor of Degree 
MONTH
 
UNDERGRADUATE SCHOOL
 
ï¼​ 
State
 
4.0
Bachelor of Science
 
: 
Aeronautical Engineer 
MAY
 
, 
2015
 
UNITED STATES AIR FORCE ACADEMY 
COLORADO
 
ï¼​ 
City
 
, 
State
Aeronautical Engineer 
MAY 73/4.0 3.67/4.0
Introduction to Finance Theory, Probability & Statistics, Multivariable Calculus, 
Thermodynamics I & II 
Roslyn Schulte Memorial Scholarship:
awarded to rising college junior that demonstrated leadership and social 
responsibility 
London School of Economics Study Abroad Program (
 
:
Spring 2014
 
COLORADO ACADEMY 
DENVER
 
4/4.0 3.8/4.0 SAT: 2350/2400 
Class of 2011 President, National Society of Collegiate
Scholars, Varsity Volleyball Captain
Personal Information
"
19374660.pdf,"PROGRAM ASSISTANT
","
Excellent communication skills
Professional phone etiquette
Customer service-oriented
Microsoft Office/Excel/Powerpoint/Outlook/Word/Publisher
AS400
Daxko Operations","
High School Diploma
 
:
 
1996
 
IOWA PARK HIGH SCHOOL
 
ï¼​ 
City
 
, 
State
Certifications
First Aid-October 2013 (American Safety & Health Institute)
CPR & AED Certification-October 2013 (American Safety & Health Institute)
Emergency Oxygen Certification-October 2013 (American Safety & Health Institute)
"
21856577.pdf,"BRANCH BANKER III
","
Team leadership
Self-motivated
Strong verbal communication
Positive Attitude
Strong "," of SunTrust products, services, and other lines of business.
Additionally, Financial Services Representatives (FSR) in In-Store locations are responsible for service and sales to include in-store
prospecting, and assisting clients on platform and teller transactions Responsible for ensuring that all business transactions and practices in
the individual's span of control comply with all regulations and the SunTrust Code of Conduct.
01/2003
 
to 
10/2004
Floor Supervisor
 
Company Name
 
â€“ 
City
 
, 
State
 
Floor Supervisor is an entry-level management position.
A Floor Supervisor shares in the responsibility for the overall performance the store and assists Store Management with generating sales
potential, recruiting and developing staff, maintaining store appearance, controlling expenses and shortages.
Welcomed customers into the store and helped them locate items.
Handled all customer relations issues in a gracious manner and in accordance with company policies.
Identified potential shoplifters and alerted management.
Cleaned and organized the store, including the checkout desk and displays.
Alerted customers to upcoming sales events and promotions.
Stocked and replenished merchandise according to store merchandising layouts.
Priced merchandise, stocked shelves and took inventory of supplies.
Trained and developed new associates on POS system and key sales tactics.
Instructed staff on appropriately handling difficult and complicated sales.
Counted cash drawers and made bank deposits.
Education
August 1999
High School Diploma
 
: 
Eastgate Christian Academy
 
- 
City
 
"
34185495.pdf,"PLACEMENT AGENT / DORADO BEACH RESORT
"," & Licenses
Proficient in DBC Finance (Municipal Bonds), Argus Real Estate, SNL Financial, Bloomberg, Capital IQ, Thomson One
Banker, Factset and all Microsoft Office products (expert in Excel); FINRA Series 7 License
Athletics & Interests
Marathon Running, Tennis, N.Y. Yankees, N.Y. Giants, Military History, Politics and Traveling
Professional Experience
May 2014
 
to 
Current
 
Company Name
 
ï¼​ 
City
 
, 
State
Organized and structured the Platinum Banking team of FirstBank Puerto Rico (NYSE: FBP). Led the development of a private banking
group dedicated strictly to Act 20 and Act 22 (Tax Exemption Laws of 2012) clients that moved to Puerto Rico.
Led a team of ","
B.A.
 
: 
Economics and Latin American Studies
 
, 
2006
 
Yale University / New Haven
 
ï¼​ 
City
 
, 
State
 
, 
US
 
Yale University / New Haven, CT. B.A.
Double Major - Economics and Latin American Studies (2002 - 2006) GPA: 3.6 / 4.0 - NCAA / ITA Varsity Scholar-Athlete Award Winner
English, Spanish
 
, 
2002
 
Academia del Perpetuo Socorro High School
 
ï¼​ 
City
 
, 
State
 
, 
US
 
Academia del Perpetuo Socorro High School / San
Juan, P.R. (1998 - 2002) Languages: English, Spanish (native) and Intermediate Brazilian Portuguese
Certifications
Banker, Factset and all Microsoft Office products (expert in Excel); FINRA Series 7 License
Languages
Languages: English, Spanish (native) and Intermediate
"
32980197.pdf,"ASSISTANT OPERATIONS MANAGER
","
Account Reconciliation, Automation, Balance, banking, business plans, cashier, Consultant, credit, client, clients, customer service, direction,
FileNet, Financial, Team leader, legal, Management Consultant, Access, money, MIS, NCIS, policies, pricing, recruiting, research, Sales, staffing,
supervision, Technical Assistance, training programs, Treasury, upgrade, Vision","
5/2000
Bachelor of Science
 
Montclair State University
 
ï¼​ 
City
 
, 
State
"
71422121.pdf,"QA TEST ANALYST
","
.Net, Agile, Apple, approach, ask, banking, basic, benefits, book, Browsers, content, credit, clients, Databases, database, debit, documentation,
XML, fast, Finance, financial, Functional, funds, GUI, HP, Internet Explorer, Inventory, Inventory Management, Apple Mac, meetings, Mercury
Interactive, MS Excel, Microsoft Office, Windows 7, Windows, WIN 7, 2000, Windows 95, 98, NT, Windows XP, Operating Systems, OS,
Oracle, PCI, POS, Quality, quality assurance, QA, Requirement, retail, scrum, SDLC, scripts, Specification, SQL, SQL Server, Test Director,
upgrades, Vendor Management","
Jun 1999
 
University of North Alabama
 
Bachelors
 
Marketing
 
Marketing
Graduated
 
Yes
 
Yes
Additional Information
STATUS: Permanent Residence Card (Green Card)
"
27120528.pdf,"MORTGAGE BANKING DEFAULT OPERATIONS SPECIALIST II
","
Adobe, Photoshop, streamline, Attorney, audio, closing, Hardware, Computer Net","
present
University of North Texas
 
City
 
, 
State
 
2008
Remington College
 
City
 
, 
State
 
Special Skill/ Certifications Associate Degree Computer Net"
64589506.pdf,"MANAGING PRINCIPAL
","
Strategic business development
Project management
Procurement agent
Emerging markets
Domestic and international ","
New York University
 
2014
 
Course"
30127072.pdf,"RELATIONSHIP SUPPORT OFFICER
","
Administrative, Banking, closing, commercial loans, commercial lending, conferences, Credit, credit risk, client, customer service, delivery,
documentation, special events, senior management, financial reporting, analysis of financial statements, hiring, human resources, Insurance, letters,
loan origination, notes, managing, meetings, mail, office, organizational, policies, reception, relationship management, reporting, risk analysis,
spreadsheets, UCC, Word Processing, Workflow","
2004
Master of Science
 
: 
Public Administration
 
Metropolitian College of New York
 
ï¼​ 
City
 
, 
State
 
Public Administration
2004
Bachelor of Science
 
: 
Business and Church Management
 
Nyack College
 
ï¼​ 
City
 
, 
State
 
Business and Church Management
1999
Associate of Applied Science
 
: 
Accounting
 
Borough of Manhattan Community College
 
ï¼​ 
City
 
, 
State
 
Accounting
"
35483925.pdf,"PARTNER ACCOUNT MANAGER
","
Premier, banking, benefits, Billing, book, Business Administration, CRM, Clients, customer support, English, financial, focus, functional, funds,
Latin, Managing, marketing, Market, MS Excel, EXCEL, office, PowerPoint, Word, enterprise, Oracle SQL, policies, proposals, Sales, SAP
R/3, Scheduling, servers, Spanish, SPSS, SQL, TOAD, treasury, validation, view, VISIO","
M.S
 
: 
Information System Management
 
Coleman University
 
City
 
, 
State
 
Information System Management
Masterof Business Administration (Marketing)
 
Symbiosis International University
"
17396388.pdf,"REGIONAL BANKING DISTRICT MANAGER VICE PRESIDENT
","
Negotiation
Business planning
Staff Management
Business Development
Strategic planning
Financial Management
Sales and marketing
Leadership
Adaptability
Customer Service
Organization and Time management
Creative
Enthusiastic
Work History
Regional Banking District Manager Vice President
Company Name
City
 
, 
State
June 2011
 
to 
Current
Responsible for leading, growing , and mantaining customer relationships for local branches wih 3.5 billion in customer deposits
Oversaw an average of 125 employees, and diretly managed and led 11 Branch Managers throughout the Westside and Santa Monica area
Revitalized operations and realigned plans to better capture new opportunities and take advantage of changes in customer habits.
Worked diligently to resolve unique and recurring complaints, promoting loyalty, prioritizing customer needs and enhancing operations .
Supervised 11 locations to enforce high-quality standards of operations from loss prevention to operational processes.
Conceptualized and implemented strategies to realign operational strategies and enhance personnel management approaches.
Met deadlines by proactively managing individual and team tasks and streamlining processes throughtout branches and industry.
Spearheaded routine operations and special program initiatives for regional group, including digital implmenation and skill development.
Modeled best practices for sales and customer service.
Located, developed and promoted talented employees to cultivate a collaborative and hard","
Bachelor of Arts
 
- 
Psychology
University of California - Los Angeles
City
 
, 
State
June 2004"
60182829.pdf,,"
accounting, administrative, application development, agency, Automation, benefits, budgets, budget, contracts, credit, documentation, Electronic
Data Interchange, electronic health records, financial, Financial Management, focus, funds, government, information technology, Insurance, IT
strategy, leadership, Office, Management Information Systems, enterprise, policies, profit, quality improvement, risk management, sales","
MBA
 
Fairleigh Dickinson University
 
, 
City
 
, 
State
BS
 
:
 
Finance & Insurance
 
University Of Rhode Island
 
, 
City
 
, 
State
 
Finance & Insurance
"
54421668.pdf,"BRANCH MANAGER
","
Goal-oriented
Self-sufficient
Strong team-builder
Team Player
TRID Expert
Proficient in MS Office and Excel
Flexible
Experience
Branch Manager
 
06/2016
 
to 
Current
 
Company Name
 
City
 
, 
State
Manages the overall operation of the branch to include the Personal Bankers and Teller staff primarily focused on creating a positive "," and Training
Associate of Arts
 
: 
Education
 
2007
 
Mississippi Gulf Coast Community College
 
City
 
, 
State
 
Education
Activities and Honors
Active Member of the Coast Young "
24580361.pdf,"ASSOCIATE, INVESTMENT BANKING OPERATIONS
",,"
2013
 
Bachelor of Science
 
:
 
University of Delaware
 
- 
Operations Management
 
City
 
, 
State
Minor in Economics
GPA: 3.978/4.0
Awards/Distinctions: Distinguished Operations Management Junior, 
Alpha Lambda Delta Honor Society, National Society of Collegiate Scholars,
Dean's List (all semesters)"
98965485.pdf,"RETAIL BANKING DIRECTOR
","
Strategic Planning
Marketing and Communication
Highly Creative
Financial & Analytical Experience
Facilities Management Experience
Leading IT related Projects & Teams
Experience
Retail Banking Director
 
Jan 2007
 
to 
Jan 2017
 
Company Name
Provide leadership to all the NM & CO Branches and Private Banking within the Bank in the areas of loan & deposit growth; risk
management; staff development and community involvement.
Manage the training; facilities and real estate projects for the Company.
Responsible for all the development, planning and execution of a deposit products & services strategy that supports the Bank's strategic
plan in the delivery of all retail and commercial deposit product lines.
Direct "," and Training
Graduate
 
2016
 
Leadership New Mexico
MBA
 
, 
technology
 
The College of Santa Fe Western States School of Banking at University of New Mexico
 
technology
B.S.B.A
 
, 
Business Administration management
 
Northern Arizona University
 
Business Administration management
Interests
Santa Fe Chamber of Commerce board member 2007-2012; treasurer the last 3 years *Partners in Education board member 2004-2006 *Junior
Varsity tennis coach at St. Michael's High School
"
77156708.pdf,"BANKING OFFICER
","
NMLS # 1796859
Business development expertise
Project Management
Confluence, Jira, Salesforce, SQL
Sales ","
Master of Management
 
: 
Business Management
 
, 
05/2017
 
Colorado State University
 
- 
City
 
, 
State
 
Bachelor of Arts
 
: 
Applied Economics
 
, 
05/2013
 
National University of Kaohsiung - Taiwan
 
"
34953092.pdf,"CORPORATE BANKING ASSISTANT, INTERN
","
Programming Language: C/C++, Python, MATLAB, SQL, R, LUA, VBA
Machine Learning: Supervised Learning, Unsupervised Learning, Deep Neural Net","
Master of Science
 
: 
Computer Engineering
 
, 
2016
 
University of Missouri-Columbia
 
ï¼​ 
City
 
, 
State
 
, 
USA
Graduate Research Assistantships
GPA: 3.46/4.0
Bachelor of Science
 
: 
Finance and Banking
 
, 
2013
 
University of Missouri-Columbia
 
ï¼​ 
City
 
, 
State
 
, 
USA
Minor in Mathematics
Vice President of Chinese Business Student Association"
11266906.pdf,"SR. HOME MORTGAGE CONSULTANT - WELLS FARGO ADVISORS
","
Solid communication, interpersonal, time management, organizational, and leadership skills.
Experience
Company Name
 
May 2015
 
Sr. Home Mortgage Consultant - Wells Fargo Advisors
 
City
 
, 
State
â€¢Building solid relationships with referral partners, the Wells Fargo Advisors (team members) by developing and presenting a value proposition,
creating and presenting lead identification strategies. 
Receiving customer referrals/leads from the Financial Advisors and converting those
referrals/leads into mortgage loan applications. 
Remaining accountable to referral partner, customer and others during all aspects of the mortgage
financing process.
Main responsibilities include:
â€¢Relationship management: Instrumental in initiating, developing and managing relationships with Wells Fargo Advisors in an effort to partner
with Financial Advisors for referral/lead generation.
Sales:
â€¢Markets and sells WFHM mortgage products to new or existing WF customers using established inbound, outbound and cold calling
techniques, in partnership with Financial Advisors.
Quality Assurance:
â€¢Ensures loan salability by prospecting customers who meet loan "," borrowers on available mortgage financing products and process Â·
Business via corporate relationships, direct to consumer marketing and other third party Relationships, Wells Fargo Corporate Relocation
Consulting Â· Completing loan structuring, pricing loan, locking loan rates, pipeline review accordance With WFC policies and procedures
Â· In depth knowledge of investor and regulatory guidelines: FHA, VA, FNMA, FMLMC.
Company Name
 
April 2010
 
to 
May 2012
 
Financial Advisor
 
City
 
, 
State
Developing a book of business in order to meet and exceed the required performance hurdles Â· Effectively sourcing prospecting clients,
capitalizing on referrals, assessing customer needs, referring customers to the appropriate service provider, and executing highly customized
solutions to meet the clients needs Â· Recommending investment products and services that are suitable for prospects and clients based on
their objectives, resources, time horizon, risk profile and preferences Â· Balancing investment growth, referral activities, customer follow up,
prospect building, administrative compliance and personal growth and development according to both a day-to- day and longer-term plan
Â· Planning and managing resources (time, people, budget) Â· Seeking the expertise of specialists, where appropriate, to identify planning
and investment strategies for a client Â· Establishing and maintaining relationship with the management team and informing management of
any circumstances that require supervisory attention/approval as per compliance guidelines and polices Â· Completing mandated training,
assessments, performance goals and continuing education requirements.
Company Name
 
August 2008
 
to 
February 2010
 
Vice President, Wealth Advisor II
 
City
 
, 
State
Responsible for identifying prospective clients with a minimum of $1MM investable assets.
Utilize a profiling based approach with a wealth planning orientation to meet clients overall present and future wealth management needs.
Prepare presentations, follow up on client contacts, and refer the sale of products and services including portfolio management, private
banking, trust, estate services, insurance, as well as other services available across the Wells Fargo franchise.Serve as the relationship manager by coordinating Trust Officers, Investment Managers, Private Bankers, Financial Consultants, Wealth
Management Specialists, Insurance Specialists and other contacts across Wells Fargo to deliver full-service wealth management.
Key "
68781345.pdf,"MARKETING AND CORPORATE COMMUNICATIONS MERCHANT SERVICES TRANSITION COMMUNICATIONS PROJECT
MANAGER
","
Vendor and Relationship Management Expertise
Communications and Negotiation Experience
On-Time Goal Achievements of 95% Proficiency Rate
Experience
Marketing and Corporate Communications/Merchant Services Transition - Communications Project Manager - Contractor
 
05/2012
 
to 
Current
Company Name
 
City
 
, 
State
Manage, write, and edit external client communications and content to meet transactional needs of multiple business merchants.
Also manage project risk through comprehensive mitigation assessment and planning techniques.
Initiate, define and manage marketing campaigns across business channels for direct mail programs within a matrixed environment.
Actively manage the ","
Villanova University - Six Sigma Green Belt Certification 
2010 Advanced Project Management Certification and Project Management Essentials
2007 WBT Education Credits - Compliance and Project Management Courses - 7.25 CH 
2012-2013 
Continuing Ed Credits - Various business
and financial service-related courses - 35+ PDUs
 
2013
 
King's College
 
City
 
, 
State
Diploma
 
: 
Secretarial Science
 
1983
 
Secretarial Science
"
34758680.pdf,"FINANCIAL CONSULTANT
","
accounting, Automation, balance sheet, Banking, branding, budgeting, Budget, bi, capacity planning, credit, credit/risk, clients, client relations,
database analysis, database, drivers, Essbase, finance, Financial, financial planning, FP&A, forecasting, forms, Hyperion, insurance, leadership,
long-term care, Macros, management reporting, marketing, Access, MS Access, Excel, Modeling, negotiation, pivot table, presentations, pricing,
processes, Project lead, proposals, quality assurance, real estate, reporting, Research, SQL, trend, variance analysis, vendor management, VBA,
website design, ","
2012
Masters
 
: 
Business Administration
 
St. Mary's College of California
 
Business Administration
2004
B.S
 
: 
Management Science
 
University of California
 
ï¼​ 
City
 
Management Science2004
B.S
 
: 
General Biology
 
University of California
 
ï¼​ 
City
 
General Biology
"
25780596.pdf,"BRANCH MANAGER/OPERATIONS MANAGER
","
accountant, Arbitration, banking, budget, cash receipts, cash registers, coaching, credit, customer
service, excellent customer service, customer service, direction, documentation, filing, financial accounting, financial statements, forms, government,
instruction, insurance, inventory, layout, market, Excel, mail, Word, new business development, payroll, processors, Reading, reporting, retail,
sales reports, settlements, shadow, supervision, taxes"," classes affiliated with Alvernia College and Reading Area
Community College.
I have 15+ years of "
29406313.pdf,"PRINCIPAL CONSULTANT
","
Streamline, Analyst, Agency, banking, budgets, budget, Business Development, capital markets, closing, Commercial Lending, Consulting, clients,
customer service, directing, direction, documentation, Financing, focus, forecasting, Leadership, Regulatory Compliance, Director, managing,
marketing strategies, marketing, Market, Mergers, Mortgage Lending, mortgage loan, mortgage loan origination, net","al Seminars
"
