FileNumber,Role,Skills,Education
23933031.pdf,"SR. WORKFORCE MANAGER
","
account management, b2b, balance, budgets, budget, business development, Business Intelligence, contract negotiations, Clientele, client, clients,
Customer Services, customer service, e-Commerce, executive management, senior management, financial, Gateway, Help Desk, HP, hiring,
Kronos, leadership, Director, marketing, market, materials, meetings, Enterprise, optimization, performance reviews, policies, proposals, speaking,
quality, QA, Quality Assurance, real-time, real time, recruiting, Reporting, Sales, scheduling, specification, staffing, Symantec, technical support,
telecommunications, training materials","
Bachelor of Science
 
: 
Social Science
 
Portland State University
 
ï¼​ 
City
 
, 
State
 
Social Science
"
18589927.pdf,"CUSTOMER SERVICES
","
Attention to detail, Billing, Customer Services, data Analysis, Documentation, e-mail, English, organize files, financial, financial reports, investments,
Leadership, meetings, Microsoft office, office, Portuguese, Risk Management, selling, Spanish, Strategic Planning, phone, web page","
2014
Bachelor of Science
 
: 
Economics
 
City
 
Colombia
 
Economics
YENI MALDONADO
Languages
Spanish - English - Portuguese
"
27710853.pdf,"BUSINESS ACCOUNT LEAD
","
Program Management,Service Management,Client Relationship Management,Sales and Solutioning, Transition Management,Performance
Management,Managing P&L","
MBA
 
: 
Finance
 
, 
2015
 
Mahatma Gandhi University
 
- 
State
 
, 
India
Gold Certification
 
: 
Operations MAnagement
 
, 
2013
 
ISB & Accenture Joint Program
 
- 
City
 
, 
India
Diploma
 
: 
Hotel Management
 
, 
2000
 
Institute of Hotel Management
 
- 
City
 
, 
India
 
High School
 
: 
1997
 
Bharatiya Vidya Mandir
 
- 
City
 
, 
India
Interests
Avid follower of Soccer and Cricket, Love cooking and watch movies
Personal Information
Married
"
57706851.pdf,"NOC ENGINEER
","
a Level 2, analyst, Arts, AS/400, bridges, C, call centre, CCNA, Cisco, closing, coach, Computer Hardware, Hardware, credit, Client,
Desktops, Documentation, Engineer, English, Event Management, filing, GUI, Hindi, ids, maintaining inventory, inventory, ITIL, ITIL v,
Knowledge Management, LAN, Laptops, LEADERSHIP, Logging, Managing, access, Microsoft exchange, mail, MS Office, Office, Windows 7,
Win, Win 7, win 2000, win 95, 98, NT, MSN, Enterprise, Net", and valuable 
41152404.pdf,"TEST ANALYST-INTERN/CONTRACTOR
","
TECHNICAL PROFILE:
Programming Languages: C, C++, C#, Java
Scripting Languages: JavaScript, Windows PowerShell.
Mark Up Language: HTML, XML
Automation tool: Selenium IDE & Web driver, GoogleUIAutomator
Bug Tracking tools: Jira, Buganizer
Office Suite: Microsoft office, Microsoft Project, Open Office
Database: My SQL and SQL server
Operating System: Windows 8,8.1, Linux and OS X
Mobile Operating system: iOS, Android
Professional Experience
August 2014
 
to 
February 2015
Company Name
 
Test Analyst-Intern/Contractor
Responsibilities:
System testing and functional testing on E-commerce websites. This involves testing it against the functional specification and integration
testing the system in case of website is integrated.
Conducting cross browser and cross platform testing on different desktop browsers, Mobile phones and various Tablets.
Analyzing the Requirements provided by client in Functional and Technical requirements specification and Communicating with BA,
Developers and Project coordinators.
Writing functional and non-functional requirement test cases based of functional specification.
Performing integration testing in co-ordination with client for the site, which is integrated with external system.
Experience "," and Training
University of Auckland
 
Software Engineering
 
Master of Engineering
 
University of Auckland Master of Engineering Studies -Software Engineering Key papers include:
High Performance Computing, System Security, Project Management and Risk Management.
Jawaharlal Nehru Technological University
 
Information Technology
 
Bachelor of Engineering
 
Jawaharlal Nehru Technological University Bachelor of Engineering-Information Technology
"
31064969.pdf,"DIVISION OPERATIONS & RISK OVERSIGHT MANAGER
RISK MANGEMENT LEADER
Visionary Operations ","
accruals, budget, call center, change management, Counseling, financial, financial management, forecasting, functional, HR, invoicing, leadership,
Director, Mod, net","
2011
 
Villanova University
 
Certificate
2004
 
Bachelors of Arts and Applied Science (BAAS)
 
:
 
University of North Texas
 
- 
Applied Technology and Performance Improvement
 
City
 
,
State
 
GPA: 
Cum Laude
 
Cum Laude Applied Technology and Performance Improvement
2002
 
Certificate in Computer Net"
15573418.pdf,"GENERAL MANAGER AND BOARD MEMBER
","
account management, a P, B2B, Behavioral Health, business development, business operations, business planning, business process, Call Center,
consulting, Contact Management, customer relationship management, CRM, Client, Clients, customer satisfaction, customer service, customer
care, DELL, direct marketing, entrepreneur, senior management, financial, financial management, FP&A, gross profit, Human Resource
Management, Human Resource, Human Resources, inside sales, insurance, legal, Logic, management consulting, market, net","
Bachelor of Arts
 
: 
Pre-Law
 
University of South Florida
"
24727739.pdf,"QUALITY ASSURANCE LEAD
","
Telecommunication, multi-tasking call center, coaching, contracts, client, customer service, data entry, documentation, financial, insurance, team
building, leadership, Mac, materials, meetings, mentoring, Outlook exchange, newsletter, organizational skills, personnel, policies, presentations,
process improvement, Quality assurance, re-engineering, reporting, spreadsheets, team player, technical support, Training Development &
Delivery, training materials, Troubleshooting,Strong public speaker,Careful and active listener, Professional and friendly, Able to think outside the
box","al Background
High School Diploma
 
: 
General
 
August 2000
 
Newman Smith High School
 
City
 
, 
State
Bachelors of Science and Psychology degree
 
: 
Psychology
 
2016
 
University of Phoenix
 
City
 
, 
State
Course "
30709029.pdf,"REALTOR
","
Asset Management, Administrative, Client Relations, Computer Proficient, Conflict Management, Contract Negotiation, Digital Photography, File
Management, Marketing, Microsoft Office, Organizational Skills, Problem Solving, Property Management, Real Estate and Tax Research, Sales
Software: Sales Force, Social Media","
2003
Escrow License
 
: 
Title and Escrow
 
DW Moore
 
ï¼​ 
City
 
, 
State
1999
Real Estate License
 
: 
Real Estate
 
Stringham Real Estate School
 
ï¼​ 
City
 
, 
State
"
15145575.pdf,"IT SUPPORT OFFICER
","
Active Directory, Backup, CCNA, CISCO, Cisco Certified, Computer Hardware, Hardware, Client, customer satisfaction, Dec, DHCP, DNS,
EIGRP, English, ERP, Firewalls, FTP, GUI, Hindi, IP, LAN, Managing, access, Microsoft Certified Professional, MCP, mail, Microsoft office,
Office, outlook, Windows 8, Windows, Windows7, Windows XP, migration, ESS, Net","
B.A
 
EIILM University
 
ï¼​ 
City
Higher Secondary passed From M.P. Board Bhopal. High School passed From M.P. Board Bhopal. "
