FileNumber,Role,Skills,Education
34046031.pdf,"BUSINESS DEVELOPMENT CONSULTANT
","
Microsoft Office Programs, SharePoint, PeopleSoft, ADP Payroll, and Internet applications and Research.
Accomplishments
Human Resources
Â Â· Reduced employee turnover by 10% in one year.
Sales & Marketing
Â· Increased Accessory World's revenue by 25% in less than 3 months.
Recruiting
Â· Developed recruiting plans, marketed, and hosted job fairs, which filled 120 hard to fill Building Inspector and Plans Examiner vacancies for
The City of Houston's Permitting Center in a period of six months, by sourcing and recruiting nationwide.
Business Development
Â· Promoted to the largest territory for Workforce Solutions, post exceeding market share and customer loyalty annual goals, in just over the first
quarter of the year in the second largest territory for the organization.
Business Management
Â· Implemented an attendance disclaimer, which significantly decreased hiring event cancellations in current Workforce Solutions Center.
Employee Engagement
Â· Earned 2nd highest fill rate in the region for Workforce Solutions, by improving quality of job postings, and actively encouraging Employment
Counselor and Staffing Specialist teams in aggressive recruitment efforts.
Professional Experience
Company Name
 
City
 
, 
State
 
Business Development Consultant
 
01/2015
 
to 
Current
Provide Human Resources, Recruiting, Screening, and staffing services to employers in assigned areas.
Maintain and build relationships with new and existing clients by providing services, maintaining contact, attending net","
MBA
 
:
 
Business Administration Management
 
University of Houston
 
, 
City
 
, 
State
Bachelor of Arts
 
:
 
English Literature/Spanish
 
University of Texas
 
, 
City
 
, 
State
Teaching Certificate with Reading Endorsement
 
City
Languages
Fluent in both English and Spanish.
"
16519708.pdf,"DIRECTOR OF BUSINESS DEVELOPMENT
","
Skills Experience Total Years Last Used
Microsoft Office Suite Expert
Quicken/ Quick Books Expert
Adobe Creative Suite Expert
Microsoft Project Expert
Professional Experience
03/2014
 
to 
Current
Company Name
 
ï¼​ 
City
 
, 
State
Responsibility for growing the Baptist Portfolio of eleven outpatient facilities in the Fort Lauderdale market.
Developed business plans and initiatives to assess new markets, and analyze business opportunities.
Developed programs that are aimed at improving relationships with physicians by understanding practice patterns, promoting ","
August 2003
MBA
 
: 
Business Administration
 
Florida A&M University
 
ï¼​ 
City
 
, 
State
 
Business Administration
August 2003
BS
 
: 
Business Administration
 
Florida A&M University
 
ï¼​ 
City
 
, 
State
 
Business Administration
"
16846478.pdf,BUSINESS DEVELOPMENT ,"
advertising, Application Development, Basic, billing, business development, business plans, cold calling, computer maintenance, hardware,
consulting, clientele, client, clients, Financial, information technology, IT Strategy, employee management, managing, marketing plans, marketing,
market, meetings, Exchange, Office, Windows, Net","
Urbana University
 
Bachelor of Science
 
: 
Business Administration Marketing
 
GPA: 
GPA: 3.6/4.0
 
Business Administration Marketing GPA: 3.6/4.0
"
34797369.pdf,"BUSINESS DEVELOPMENT MANAGER
","
SALES, BUDGET, BUSINESS DEVELOPMENT, CONTRACTS, ADVERTISING, CLIENTS, COACHING, FINANCIAL SERVICES,
FOR SALES, NEW HIRES, OF SALES, PATENT, PROJECT MANAGER, SALES FORCE, SALES STAFF, TRAINING, WITH SALES,
DIGITAL CAMPAIGN, DIGITAL MARKETING, INCREASED SALES, MARKETING, NEW PRODUCTS, ONLINE MARKETING,
RETAIL, RETAIL MARKETING, SATISFACTION, SALES GOALS, SALES TECHNIQUES, SET SALES, CLASS,
COMPREHENSIVE LARGE ARRAY DATA STEWARDSHIP SYSTEM, FORECASTING, OPTIMIZATION, PRICING, SALES TEAM,
TERRITORY, THE SALES, TO SALES, WEB SERVICES, AWARD, COMMUNITY OUTREACH, BPI, EXCEL, MANAGING
PROJECTS, MS OFFICE, OUTLOOK, POWERPOINT, STERLING, TEAM PLAYER, WORD
Additional Information
Teamed with sales force to create and deploy ""Template of Excellence"", a diagnostic sales assessment tool with patent pending
Professional Affiliations
National Golden Key Honor Society","
Bachelor of Science
 
, 
Hotel Management
 
1992
 
University of Maryland
 
ï¼​ 
City
 
, 
State
 
, 
US
"
23568641.pdf,BUSINESS DEVELOPMENT ,"
Customer Relationship Management (CRM) software (Salesforce)
Office 365
Healthcare: GPOs
Government and Education: Consortiums"," and government. Adept at managing intense demands of multiple existing customer accounts and cultivates strong customer
relationships.
Highlights
NegotiationÂ 
Financial Analysis
Detail OrientedÂ 
Strategic account development
Relationship selling
Team"
80275976.pdf,"SE BUSINESS DEVELOPMENT MANAGER
","-Baker Communication Inc.
Print Graphic Support
 Â 
Collaborated with marketing and business development groups for collateral needs by creating page layout designs for flyers, data sheets,
CD covers and other printed materials.
Experience
SE Business Development Manager
 
Jun 2014
 
to 
Mar 2015
 
Company Name
 
ï¼​ 
City
 
, 
State
Responsible for Own Brand business development in the southeast U.S.
including NC, SC, GA, FL, AL,VA, MS, AL, WV, VA, KY and TN.
Supporting Lewis-Goetz, Rawson, and ICD offices and sales reps to pursue opportunities for Own Brand products including ECON,
Diamond Gear, C&C, Force, Smith valves.
SE Technical Outside Sales Representative
 
May 2013
 
to 
Jun 2014
 
Company Name
 
ï¼​ 
City
 
, 
State
Technical support for Outside Sales Representative's in Southeast.
Engineering presentations & specifications for manual and automated valves to engineering firms: Fluor, Mustang, CH2M Hill, D&Z,
Hargrove, CHEMTEX, etc.
Business development for turbine OEM's: General Electric, Siemens, Alstom and Mitsubishi.
Strategic Automation Manager
 
Aug 2012
 
to 
Apr 2013
 
Company Name
 
ï¼​ 
City
 
, 
State
Responsible for automation shop design and setup.
Wrote SOP (standard operating procedures) for automation quotations, manufacturing and testing.
Engineering presentations & specifications for manual and automated valves to engineering firms: Fluor, Mustang, CH2M Hill, D&Z,
Hargrove, CHEMTEX, etc.
Business development for turbine OEM's: General Electric, Siemens, Alstom and Mitsubishi.
Technical Sales Leader
 
Aug 2001
 
to 
Aug 2012
 
Company Name
 
ï¼​ 
City
 
, 
State
Process Control Equipment Business development for strategic manufacturer alliances.
Primary interface with Manufacturers for Gexpro Services.
Responsible for the evaluation of manufacturer's capability and capacity for Gexpro Services.
Member of the GE Energy Capacity Audit Team.
Developed the organizational structure and staffing plan for Production Services.
Developed marketing presentation for GE Energy and other GE Business.
Technical and marketing training for the sales department.
Secured CASE MSD Gas and Steam Valve Contract for GE Power Systems.
25MM Annually.
Developed Gexpro Services MSD packaging procedures to meet/exceed GE Energy P23E-AL-0255.
Developed LMS 100 VBV (variable bleed valve) and anti-icing valve systems.
Sales projections for 2005 through 2010 are 50MM.
CE Compliance Team-Supported GE Energy CE Compliance Team as supplier.
Support Gexpro Services quality organization with technical write up and evaluation for our supplier base.
Completed Global Sourcing Quality Engineer Training-GE Power Systems.Six Sigma Green Belt Certified.
Business Development Manager
 
Jun 2001
 
to 
Aug 2001
 
Company Name
 
ï¼​ 
City
 
, 
State
Business development for strategic manufacturer alliances.
Business development for end users.
Developed marketing presentation for end users (Chemical, Power, Pulp & Paper, etc).
Technical and marketing training for the sales department for Masoneilan & Yokogawa equipment.
Senior Manager
 
Dec 1998
 
to 
Jun 2001
 
Company Name
 
ï¼​ 
City
 
, 
State
Application Engineering Manage Application Engineering Department that is responsible for product evaluation and sales implementation at
customer site.
Business development for strategic manufacturer alliances.
Negotiated contract with EI DuPont that resulted in first year sales of 26MM that provided technical services to three plant locations.
Responsible for the evaluation of manufacturer's capability and capacity.
Developed the organizational structure and staffing plan for the Application Engineering Department.
Technical and marketing training for the application engineering department, field engineering department, strategic sales department and IT
department.
IT development team that assisted with the build-out of the e2bSM (Engineering-2-Business) Platform.
Sales Manager
 
Sep 1995
 
to 
Dec 1998
 
Company Name
 
ï¼​ 
City
 
, 
State
Liaison between multiple valve manufacturers (Flowserve-Valtek & Kammer) and representative firm.
Extensive involvement with control valve manufacturer to develop and trouble-shoot digital products and software.
Manage Strategic Alliance Agreement between Flowserve and EI DuPont.
Took sales from 26MM to 59MM.
Managed five technical sales representatives, four inside sales people in South & North Carolina.
Implemented training course for new sales representatives -- speeding profitability.
Developed and implemented marketing plan for South & North Carolina territory.
Technical Sales Representative
 
Aug 1990
 
to 
Sep 1995
 
Company Name
 
ï¼​ 
City
 
, 
State
Primary responsibilities were large industrial plants and A&E Firms.
Customer base included: EI DuPont, Hoechst Celanese, Fluor Daniels, Day & Zimmerman, Chemtex International, Bechtel Engineering,
CRS-Sirrine, etc Developed anti-surge control valve specification for PET charge vessel that increased production by 40%.
Develop Special Valve (SV) Codes for EI DuPont Dacron Intermediate Plants.
Increased territorial sales for ""Engineered Products Division"" an average of 35% per year.
Increased territorial profits for ""Engineered Products Division"" an average of 45% per year.
Expanded sales to include mass-market accounts through the use of ""Supply Chain"" distribution.
Company top sales and profits for four years.
Technical Sales Representative
 
May 1988
 
to 
Aug 1990
 
Company Name
 
ï¼​ 
City
 
, 
State
Primary responsibilities were large industrial plants and A&E Firms.
Customer base included: EI DuPont, Hoechst Celanese, Fluor Daniels, Day & Zimmerman, Chemtex International, Bechtel Engineering,
CRS-Sirrine, etc.
Increased territorial sales and average of 45% per year.
Completed course ","
Bachelor of Science
 
, 
Economics Marketing
 
05.05.88
 
Clemson University
 
ï¼​ 
City
 
, 
State
Economics-Marketing. 
Concentration in Labor Economics, Finance, Mathematics, Business Management, and Marketing.
Interests
Phi Gamma Nu-Pledge Class President. Fellowship of Christian Athletes. Varsity Football-1983 to 1985.
Additional Information
Phi Gamma Nu-Pledge Class President. Fellowship of Christian Athletes. Varsity Football-1983 to 1985.
"
27004930.pdf,"BUSINESS DEVELOPMENT MANAGER
","
Work History
09/2013
 
to 
08/2014
Business Development Manager
 
Company Name
 
â€“ 
City
 
, 
State
 
Provided leadership and drove sales for organization providing "," & Training 
Marketing & Brand Positioning 
Stakeholder
Engagement
"
11289482.pdf,"BUSINESS DEVELOPMENT MANAGER, VP
","
budget, business development, Call Center, coaching, communication skills, consultant, credit, Customer Service, decision making, direction,
documentation, Equity, senior management, external audits, Financial, funds, Government, hiring, human resource, Leadership, law, Legal,
managing, mediation, meetings, Office, operations management, performance reviews, Pick, policies, Project management, quality, quality control,
recording, Relationship management, securities, scripting, strategy, strategic, phone, Underwriting, Vendor management, website"," seminar for all court systems in NYC area.
"
22423839.pdf,"INTERNATIONAL BUSINESS DEVELOPMENT MANAGER
","
Army, banking, business development, clients, international sales, inventory management, inventory levels, inventory, Latin, logistics, Director,
market analysis, market trends, marketing, Market, Marketing and Sales, materials, net","
1999
BS degree
 
: 
Business Administration, International Business
 
Southern Illinois University of Edwardsville
 
Business Administration, International
Business Studied Abroad - Costa Rica
"
27796199.pdf,"BUSINESS DEVELOPMENT MANAGER
","
assisted living, interpersonal and communication, insurance, internal medicine, managing, marketing, marketing/sales, meetings, mentor, office,
net","al seminars to drive business results.
Company Name
 
January 2007
 
to 
May 2011
 
Marketing/Outside Physician Rep
 
City
 
, 
State
Increase same store growth for three rehabilitation clinics by developing and maintaining referral relationships with physician offices Manage
a territory of 250+ physician referral sources Analyze and track business trends Represent company at "
31638814.pdf,"BUSINESS DEVELOPMENT MANAGER
"," 
Excellent research abilities Customer Retention
Negotiation Skills Tactfulness Â​ to generate positive company image 
Contract review
Experience
Business Development Manager
 
05/2010
 
to 
Current
 
Company Name
 
City
 
, 
State
Responsible of the selling of hydraulic & pneumatic equipment in Mexico and USA to clients in the Energy, Chemical & Mining industries
Meeting quotas of $1.4M USD annually by renewing contracts and opening new accounts within assigned territory Pioneered sales
outreach to potential US clients and developed sales plan to increase client base outside of Mexico Scheduling 2-3 in-person client meetings
with potential US customers on a quarterly basis Managing accounts in the energy industry like PEMEX and in the metallurgical & chemical
industry like MET-MEX PeÃ±oles Developing business plans to identify key opportunities and deliver added value to up-sell products and
services to key accounts Booking customer follow-up calls or in-person meetings with Top 50 accounts bi-monthly to maintain customer
retention Generating sales reports and forecasts for management review Preparing quotations that meet customers specific needs and
support collections efforts.
Sales Representative
 
07/2009
 
to 
04/2010
 
Company Name
 
City
 
, 
State
Obtained new accounts by selling financial products and services to consumers and businesses Consistently achieved sales quota by making
50-60 outbound cold calls per day to potential prospects Maintained relationships to offer the best customer service and provide a
personalized financial advice.
Marketing Intern
 
01/2009
 
to 
06/2009
 
Company Name
 
City
 
, 
State
Designed banners and brochures for annual events Translated documents and promotional material from English to Spanish.
Education
Bachelor of Business Administration
 
: 
International Business
 
2009
 
St. EdwardÂ´s University
 
City
 
, 
State
 
International Business Affiliations Delta
Sigma Pi, Business Fraternity, Chapter Vice-President St. Edward's Univ.
Skills
banners, brochures, Developing business, bi, contracts, client, clients, customer service, English, financial, Managing, meetings, promotional
material, selling, sales, sales plan, sales reports, Scheduling 2, Sigma, Spanish","
Bachelor of Business Administration
 
: 
International Business
 
2009
 
St. EdwardÂ´s University
 
City
 
, 
State
 
International Business Affiliations Delta
Sigma Pi, Business Fraternity, Chapter Vice-President St. Edward's Univ.
"
13574264.pdf,"BUSINESS DEVELOPMENT DIRECTOR
","
Account Management, ads, advertising, automotive, budget, business development, closing, Competitive, CRM, clients, customer service, Driving,finance, financing, focus, hiring, inventory, leadership, Managing, marketing strategies, marketing, Mentoring, Online Marketing, personnel,
positioning, product management, Profit, Sales, Strategy, television, translating, vision, website","
Bachelor of Arts Degree
 
: 
Business Administration and Management
 
EDINBORO UNIVERSITY OF PENNSYLVANIA
 
Business
Administration and Management
"
11088337.pdf,"BUSINESS DEVELOPMENT MANAGER
","
ads, advertising, Avid, budgets, Budget, business strategies, cable, cash flow, coach, client management, content, contracts, SC, client, clients,
customer service, database analysis, email, Financial, Investments, market, meetings, Microsoft Excel, Power Point, Microsoft Word, net","2007
HOBART COLLEGE
 
City
 
, 
State
 
Bachelor of Arts
 
: 
English
 
English
May 2007
Media and Society
 
Media and Society
Interests
Member, Men's Club Ice Hockey (2003 - 2007), devoted 12 hours per week in practice and competition Volunteer, Political Activism House
(2004), organized and conducted voter registration drives for college students 1999-2003 THE DELBARTON SCHOOL Morristown, NJ
Member, Men's Varsity Ice Hockey (NJ State Champions - 2002) New Jersey Hockey Hall of Fame inductee - 2014
Additional Information
Member, Men's Club Ice Hockey (2003 - 2007), devoted 12 hours per week in practice and competition Volunteer, Political Activism
House (2004), organized and conducted voter registration drives for college students 1999-2003 THE DELBARTON SCHOOL
Morristown, NJ Member, Men's Varsity Ice Hockey (NJ State Champions - 2002) New Jersey Hockey Hall of Fame inductee - 2014
"
28916894.pdf,"BUSINESS DEVELOPMENT MANAGER
","
Marketing, Sales, Budgets, Promotional, And Marketing, Sales And, Aviation, Class, Comprehensive Large Array Data Stewardship System,
Excellent Multitasker, Simultaneous, Teaching, Training, Accounts And, Advertising, Branding, Community Outreach, From Sales, Its, Managed
Sales, Of Sales, Public Relations, Increase, Administrative Support, Audit, Budgeting, Cost Control, Executive Assistant, For Selling, Ordering,
Relationship Management, Scheduling, Selling And, Accountable For, Business Development, Clients, Forecasting, Implemented Sales, Key
Accounts, Maintenance, Market Trends, Net","
MSc
 
: 
Trade and Finance
 
CITY UNIVERSITY BUSINESS SCHOOL
 
ï¼​ 
City
 
, 
UK
 
CITY UNIVERSITY BUSINESS SCHOOL LONDON,
UNITED KINGDOM MSc Shipping, Trade and Finance, Dec 1990
BA
 
: 
French and Italian
 
THE UNIVERSITY OF HULL
 
ï¼​ 
City
 
, 
UK
 
THE UNIVERSITY OF HULL HULL, UNITED KINGDOM BA
(Honors) French and Italian, July 1989
"
