FileNumber,Role,Skills,Education
22561438.pdf,"CHEF DE CUISINE
",,"
2/2010
Associate of Occupational Studies Degree
 
: 
Le Cordon Bleu Culinary Arts
 
Le Cordon Bleu College of Culinary Arts Pasadena CA.
 
Le Cordon
Bleu Culinary Arts
References
Mateo Rogers - Executive Chef The Hatch Rotisserie (559) 836-0455
Scott Howard - Executive Chef Citizen Beverly hills (415) 246-8542
Laurie Sisneros - Owner of Spaghettini restaurant group (562) 307-3111
â€‹"
36366044.pdf,"BARTENDER / SERVER TRAINER / BANQUET EVENT CAPTAIN
","
Other Skills Include: Public Speaking, Leadership, Team Building, Establishing Good Rapport, Time Management, Self Motivation,
Problem Solving, Ability To Analyze Sales As Well As Guest Satisfaction, and Ability To Work Well With Others
Additional Information
Attached are two letters of recommendations
Multiple references are available upon request","
Bachelor of Science
 
:
 
Neuroscience
 
Northern Virginia Community College
 
, 
City
 
, 
State
 
, 
USA
 
GPA: 
GPA: 3.9
Transfer Program for George Mason University - Currently Enrolled
GPA: 3.9
40 Credits Completed
Dean's List or President's List every semester
Have taken and passed multiple Computer Competency courses which included learning and mastering the functions of 
Microsoft Word,
PowerPoint, Excel, Access, Publisher and OneNote
Also completed a course on 
Web Design
Bachelor of Science
 
:
 
Biology / Psychology
 
Saint Petersburg College
 
, 
City
 
, 
State
 
, 
USA
 
GPA: 
GPA: 4.0
Transfer Program for University of Florida - 2012
GPA: 4.0
Dean's List every semester
Course"
48580330.pdf,"SOUS CHEF
","
Focused and disciplined
Focused on cost control and ","
Certificate
 
: 
Management Techniques for Senior 
Chefs
 
2011
 
University of Birmingham
 
Barbados
Course was done through the Barbados Hospitality Institute
Certificate
 
: 
Counseling 
"
11444536.pdf,CO-OWNER/,"
Operations Streamlining
Strategic planning
Forecasting
Process developmentÂ 
Product management
Budget ManagementÂ 
Â  Customer Service
Client Relations
Vendor AdministrationÂ 
Vendor Negotiations
Account Management
Creative Problem SolvingÂ 
Accomplishments
Earned â€œTop Performerâ€​ award in 
2016
Professional Experience
Co-owner/Executive Chef
 
03/2010
 
to 
01/2017
 
Company Name
 
City
 
, 
State
Successfully manage a cafÃ© style restaurant, increasing sales through quality food, exceptional service and value.
Plan menus, estimate food and beverage costs, purchase and maintain adequate inventory to meet needs.
Assist in creating innovative marketing campaigns to increase visibility of the restaurant.
Assist in hiring, training, directing and scheduling of employees.
Manage financial areas including budgeting, cost control, payroll and general accounting.
Keep abreast of all state and federal laws and regulations.
Approved externship site to develop students to ","
Bachelor of Arts
 
: 
Culinary Management
 
September, 2012
 
LE CORDON BLEU COLLEGE OF CULINARY ARTS
 
City
 
, 
State
 
Culinary
Management
"
65373280.pdf,,"
Customer service oriented
Banquets and catering
Resource Management
Food preparation techniques
Food and beverage pairing
Budgeting and cost control
Dish preparation
Detail-oriented
Purchasing
Inventory control
Portion and cost control
Food inspection
Time management
Strong communication skills
Inventory monitoring
High-volume dining
Outstanding cleanliness
Organizational skills
Trained in food safety guidelines
Problem solving
Flexible schedule
Education and Training
Bachelor of Arts
 
: 
Culinary arts 
, 
1996
 
ITHQ, Institue d'hotelerie du Quebec
 
- 
City
 
, 
State
 
Skills
Customer service oriented
Banquets and catering
Resource Management
Food preparation techniques
Food and beverage pairing
Budgeting and cost control
Dish preparation
Detail-oriented
Purchasing
Inventory control
Portion and cost control
Food inspection
Time management
Strong communication skills
Inventory monitoring
High-volume dining
Outstanding cleanliness
Organizational skills
Trained in food safety guidelines
Problem solvingFlexible schedule
Work History
Executive Chef
 
, 
12/2003
 
to 
Current
 
Company Name
 
â€“ 
City
 
, 
State
 
Managed kitchen and stewarding staff team of 67 and assigned various stages of food production and event management.
designed, managed and created menus for 3 restaurants (offshore 9, Boardwalk and newly opened Henry's), 2 pool pantries and 1 market
(Riptide and Surf Hero).
Managed, designed menus and cooked for over 51,000 square feet of meeting space.
Maintained labor at under 11% to promote long-term business profitability.
Purchased ingredients and managed inventory from a variety of vendors which allowed for a hotel wide food costs of 26%.
Worked closely on a daily basis with sales and catering to create dynamic cost effective food selections for small banquets and large events
for up to 1000 people.
Experimented new dish creations by incorporating customer recommendations and feedback.
Created recipes, incorporating various techniques, to build flavor and unique visual appeal.
Adjusted seasonal plans to source local ingredients and aligned special dishes to complement area events.
Worked with vendors to locate optimal recipe ingredients at cost-effective rates.
Utilized local, fresh food products to support local economies and showcase community support.
Produced or amended menus and item selections in conjunction with food and beverage team
Performed financial analysis and recommended effective methods to cut costs.
Initiated software based inventory control system to manage inventory and analyze food cost.
Coordinated and executed menu planning, recipe development and daily restaurant operations.
Monitored quality, presentation and proper quantities of plated food across line.
Created new menu items, managed food expenses and supervised quality to ensure adherence to standards.
Oversaw hiring and development of kitchen employees as well as trained numerous kitchen personnel from ground up to take on challenging
stations such as Sous-Chef and Chef de Cuisine.
Continually aware of dramatic changes to kitchens, including Health Department Standards and customer requests for healthier food
options.
Monitored kitchen area and staff to ensure overall safety and proper food handling techniques.
Restaurant Chef / Executive Sous-Chef
 
, 
08/2008
 
to 
08/2013
 
Company Name
 
â€“ 
City
 
, 
State
 
Modified standard recipes to account for ingredient issues or customer requests, including allergen concerns.
Created exceptional menu items executed with precision to regularly garner diner praise.
Supervised staff of 30, providing direction in preparing specialty items, including banquets, restaurant and employee dining room. Â 
Developed innovative California driven Â menus with over 30 offerings.
Followed proper food handling methods and maintained correct temperature of food products resulting in consistently high scores on health
inspections.
Kept stations stocked and ready for use to maximize productivity.
Estimated staffing needs and adjusted hourly schedules to match demand patterns, budget and local labor laws.
Set up and performed initial prep "," and Training
Bachelor of Arts
 
: 
Culinary arts 
, 
1996
 
ITHQ, Institue d'hotelerie du Quebec
 
- 
City
 
, 
State
 
"
28396528.pdf,"KITCHEN UTILITY WORKER/EVENING WEEKEND CHEF
","
Patient-focused care
Compassionate and trustworthy caregiver
Detail-oriented
Effectively interacts with patients and families.
Hospice care provider
Preparation of healthy meals and snacks
Catheter preparation and changeCharting and record keeping"," and Training
2012
Orting High School
 
City
 
, 
State
 
High School Diploma
"
16066857.pdf,SENIOR ,"
Acute Care, Conferences, Leadership, Profit and Loss, Retail Sales, Self-motivated, Staff Development and Motivation, Team Leadership and
Team Building.","
GED
 
John Jay 
- 
City
 
, 
State
 
, 
New York
 
National Guard 1984
Languages
Bilingual Spanish/English
"
13212436.pdf,"PERSONAL/ PRIVATE CHEF
","
Kitchen Design & Workflows
Operations Management
Product Costing / Cost Control
Innovative Menu Development
Team Building & Leadership
Quality & Customer Service
New Restaurant Openings 7
Revenue Growth / P&L
Performance Management
IMenuPro
Aloha
Microsoft Office Suite
Solomon
Quest
ETeac
Eventmaster
Caterease
Food plating and presentation
Forecasting and planning
Kitchen equipment operation and maintenance
Operations management
Business process, Negotiation, Unique
Com, Operations Management
CA, Optimization
Cooking, Performance Management
Cost Control, Personnel
Clients, Processes
Client, Purchasing
Customer Service, Quality
DC, Quality control
Direction, Quality management
English, Quest
Financial management, Reception
Focus, Recruitment
Greek, Research
Italian, Retail
Kronos, Sales
Team Building, Scheduling
Recipes and menu planning
Payroll and scheduling
Menu planning
Work History
Personal/ Private Chef
 
, 
01/2019
 
to 
Current
 
Company Name
 
â€“ 
City
 
, 
State
 
Traveling around the LA and Orange County cooking for parties of 2 to 50.
Plated, buffet, family style or food stations, plus more.
Sourcing wild and sustainable meats, fish, and poultry.
With organic produce, to produce a memorable event.
Executive Chef
 
, 
07/2018
 
to 
01/2019
 
Company Name
 
â€“ 
City
 
, 
State
 
My goals and direction needed for this 5-million-dollar operation was to bring high quality, innovative, whimsical comfort food that's
interactive for the client/guest ","
AOS
 
: 
Culinary Arts & Hospitality Management
 
, 
1997
 California Culinary Academy
 
- 
City
 
, 
State
 
High School Diploma
 
: 
1993
 
Mary Star of the Sea High School
 
- 
City
 
, 
State
 
"
94047639.pdf,"LINE CHEF
","
Cooking, Kitchen, Sanitation, Contamination, Operations, Chef, Executive Chef, Maintenance, Mixing, Associate, Front Desk, Satisfaction,
Coaching, Recruiting, Scheduling, Staffing, Training, Answering, Answering Phones, Sales, Sales Associate, Cashier, Fast Learner, Food Industry,
Leadership Skills, Strong Communication Skills, Cash, Cash Deposits, Closing, Stocking, Paralegal","
Associate of Applied Science
 
: 
business, Hospitality Management
 
Liberty University
 
Associate of Applied Science: business managment Liberty
University - on line Course"
24673903.pdf,"CHEF
",,"al Background
MCLA
 
1984
 
Bachelors
 
: 
Business
 
City
 
, 
State
 
GPA: 
Summa Cum Laude
 
Business Summa Cum Laude
"
