FileNumber,Role,Skills,Education
10100240.pdf,"CARPENTER APPRENTICE
","
Cabinetry
Material prepping
Construction drawing interpretation
Carpentry techniques
Oral and written communication
Materials handling
New construction and renovation
Drywalling
Safety and compliance
Work History
Carpenter Apprentice
 
, 
10/2017
 
to 
09/2019
 
Company Name
 
â€“ 
City
 
, 
State
 
Assisted with movement of materials and equipment to job sites
Worked with master carpenters to install decks for both residential and commercial customers
Installed and repaired wood","
High School Diploma
 
: 
04/2010
 
Buffalo High School
 
- 
City
 
, 
State
 
CSHO (Certified Safety & Health Official)
 
, 
01/2020
 
TEEX
 
- 
City
 
"
39674782.pdf,"CONSTRUCTION DEVELOPMENT CONSULTANT
","
ArcView, AutoCAD, Business Development, Business Management, Consulting, Council, CPR Certified, Employee Relations, Government,
Hiring, Human Resources, International Business, leadership, materials, office, natural, enterprise, net"," and Training
Master's
 
: 
Business Management
 
Colorado Tech University
 
Business Management2002
Bachelor of Science
 
: 
Geography Business Information Systems
 
Utah State University
 
ï¼​ 
City
 
, 
State
 
Geography Business Information Systems
1997
Associate of Science
 
: 
General Studies
 
College of Eastern Utah
 
ï¼​ 
State
 
General Studies
1993
Associate of Applied Science
 
: 
Computer Aided Drafting
 
ITT Technical Institute
 
ï¼​ 
City
 
, 
State
 
Computer Aided Drafting
Certifications
Business Management 
Scheduling Development 
OSHA & CPR Certified 
Tribal Government 
Human Resources 
Native to Native Net"
45475027.pdf,"CONSTRUCTION AND SITE MANAGER / SITE EXECUTION COORDINATOR
","
Project management
Construction Management
Team Building
Cost and Schedule control
Bid & Specification 
Preparation
Contract 
Negotiations
Profit & 
Loss Responsibility
Budget administration/Development
Expense Control 
and management
Engineering, 
Refining, Offshore/Inland Water
Projects
Interpersonal communication skills
Excellent written and verbal skills
Excellent communication skillsÂ 
Leader Worksite 
Safety
Team Building 
& Mentoring
Workflow 
Planning
Facility 
Management & Maintenance
Civil, 
Environmental & Structural Engineering
Refinery, Water 
& Wastewater Pipelines
Management of 
Change (MOC)
Knowledge of 
various codes/standards (API, ASTM, AISC, DOT CFR 192 &
195, PSM
Project Scope development 
and management
Process Hazard 
Analyses (PHA) leader/participant
Pipeline Hot 
Tap & StoppleÂ 
Accomplishments
USPCI/Laidlaw Environmental Services: Cut annual maintenance/repair/replacement costs by $750K+ through process improvements and
contract negotiations.
Phillips Petroleum Company: Saved $2M in landfill engineering and construction (hazardous/non-hazardous); saved $1M in liner
installations; cut annual refinery road paving costs $500K; completed construction of a 199-foot flare tower three months early; managed
five design and three fabrication yards for the jacking of the $500.
Experience
03/2005
 
to 
07/2016
Construction and Site Manager / Site Execution Coordinator
 
Company Name
 
ï¼​ 
City
 
, 
State
Held responsibility for Flare And Relief Modifications (FARM), the largest Brownfield offshore project in company history; the $1B
initiative involved installing ten flare booms and making major platform and piping modifications.
Oversaw design and field "," and Training
Master of Science
 
: 
Civil Engineering
 
University of Missouri
 
Civil Engineering
Bachelor of Science
 
: 
Civil Engineering
 
University of Arkansas
 
Civil Engineering
Transportation "
12890045.pdf,"CONSTRUCTION PROJECT COORDINATOR
","
Microsoft Excel, office, PowerPoint, Word, Goggle Docs
AMP , Jasper Soft,
Sales and Marketing software",
28803888.pdf,"SHORE SENIOR CONSTRUCTION PIPING ENGINEER
","
Key Skills
Experience
Shore Senior Construction Piping Engineer
 
November 2013
 
to 
Current
 
Company Name
Installation Equipment(slug catcher, high-pressure scrubber, Knock out drum , 16"" Metering Gas Skid and oily water treatment unit) with
Tie-in new piping net","
Bachelor of Mechanical Engineering
 
: 
2009
"
10820510.pdf,"QA / QC MANAGER
","
API, Auto-Cad, closing, Inspector, materials, Excel, Microsoft Word, new construction, personnel, procurement, quality control, sales,
scheduling, shell, technical support, Weld, Welder","
AWS Certified CWI (Certificate # 08110741) 
API Certified TES (Certificate # 32697) API Certified 653 (Certificate # 42276) ASNT Level III
(Certificate # 245052)
"
15564893.pdf,"CONSTRUCTION HELPER
"," course, Al-Azhar English Training Center.
Languages
Good command of English, and very little of Spanish.
Interests
2014: presented in Midwest Popular Culture Association Conference about ""Arab American Culture through the Mawlid: Muslim Devotional
Gatherings in the Midwestern United States"" 2015: presented in Global Halal: Muslim and Cultural Politics of the Permissible conference about
""the Permissibility of Maulid celebration among Muslim American in Chicago"" Extracurricular Activities: Doing my masters about Muslims inMidwestern America, Western Michigan University. USA. Giving Friday's Khutbah (in both Arabic and English) in Bilal Islamic center,
Kalamazoo, MI. and Madina Islamic center and masjid, Benton Harbor, MI Holding Arabic and Quranic classes for children and Adult in
Michigan. USA. Administrating a social net","
September 2010
General English course, Leeds University, UK. * December 2009-January 2010: Computer course, Al-Azhar University.
May 2011
Azhar University
 
Religions, Al
 
B.A
 
Religions, Al Dawah and Islamic Culture - Grade: Very Good, the second top student in the section.
December 2013
the American University
 
State
 
General English course, Western Michigan University. USA. August 2013: Academic English course, Colorado State University. USA January
2013: A course in American literature, the American embassy in Cairo. February 2013: Academic Writing course, AMIDEAST in Cairo. June
2012: 
English for Islamic purposes
December 2012
General English course, AMIDEAST in Cairo. 
*October 2009-June 2011: General English Course, Al-Azhar English Training Center. *
September 2011: 
Democracy dialogue course, Al-Azhar English Training Center.
August 2011
Presentation "
19471144.pdf,"CONSTRUCTION SUPPORT COORDINATOR
","
administrative, billings, budget, Case Management, Coaching, construction manager, Contracts, Prepare contracts, CPR, First Aid, home office,
inspection, Inspect, litigation, machinery, Managing, materials, Excel, Windows Operating Systems, Outlook, PowerPoint, Word, Negotiation,
painting, Paralegal, personnel, plumbing, policies, coding, progress, quality, receiving, Record keeping, Safety, safety codes, shipping, Supervisor,
supervisory","
Issuing Institution Location Qualification Course of Study
 
University of Nebraska - Lincoln
 
ï¼​ 
City
 
, 
State
Bachelor's Degree Bachelor of Arts
"
99433371.pdf,"CONSTRUCTION
","
administrative duties, Adobe Photoshop, AutoCAD, Color, data entry, Digital Illustration, Illustrator, Inspection, Insurance, interior design,
materials, Excel, PowerPoint, Microsoft Word, organizing, payroll, researching, Revit","
BFA
 
, 
Product Design
 
Present
 
University of Oregon
 
ï¼​ 
City
 
, 
State
 
Product Design
Bachelor of Interior Architecture
 
, 
Business Administration
 
2005
 
University of Oregon
 
ï¼​ 
City
 
, 
State
 
Business Administration
Undeclared
 
2003 1999
 
University of Washington
 
ï¼​ 
City
 
, 
State
 
Undeclared Objects and Impacts 
Digital Illustration 
Interior Construction
Elements 
Furniture Theory and Analysis 
Color Theory and Application 
Rome Program
"
28942221.pdf,"CONSTRUCTION INSPECTOR
","
approach, Basic, bridges, C, Construction Management, customer service, delivery, Driving, government, home healthcare, inspection, legal
documents, notes, materials, mail, radar, navigation, nursing, personnel, on foot, Police, radio, receiving, record keeping, reporting, safety,
supervisor, supply inventory, telephone, warrants
Education
2000
Basic Course for Police Officers
 
Burlington County Police Academy
 
ï¼​ 
City
 
, 
State
 
Counter-Terrorism Awareness Street Survival Incident
Command System Drunk Driving Prosecution and Enforcement Defensive Tactics Critical Incident Response Procedures for Schools Bomb
Threat Response
1989
Fleet Combat Training Center Atlantic
 
ï¼​ 
City
 
, 
State
Additional Information
Military Awards Good Conduct Medal National Defense Service Medal Navy Expeditionary Medal Navy Expeditionary Medal Sea
Service Deployment Ribbon (Second Award) Navy Unit Commendation Southwest Asia Service Medal with Bronze Star","
2000
Basic Course for Police Officers
 
Burlington County Police Academy
 
ï¼​ 
City
 
, 
State
 
Counter-Terrorism Awareness Street Survival Incident
Command System Drunk Driving Prosecution and Enforcement Defensive Tactics Critical Incident Response Procedures for Schools Bomb
Threat Response
1989
Fleet Combat Training Center Atlantic
 
ï¼​ 
City
 
, 
State
Additional Information
Military Awards Good Conduct Medal National Defense Service Medal Navy Expeditionary Medal Navy Expeditionary Medal Sea
Service Deployment Ribbon (Second Award) Navy Unit Commendation Southwest Asia Service Medal with Bronze Star"
