FileNumber,Role,Skills,Education
57364820.pdf,"SR. CONSULTANT
","
IBM/AIX, Application Development, AS/400, Automate, Automation, backup, CA-1, CA-7, Change Management, CICS, CA, Hardware,
consultant, CPU, client, customer satisfaction, customer service, DASD, database, documentation, senior management, financial, functional, home
office, IBM, DB2, MVS, image, IMS, ISPF, Java Scripts, Java Scripting, JCL, JES2, team lead, letters, librarian, mainframe, managing, meetings,
mentor, Excel, Microsoft Office Suite, Office, Outlook, Powerpoint, Windows 9, NT, Word, Netview, net","
Bachelor of Science
 
: 
Computer Information Systems
 
Wingate University
 
- 
City
 
, 
State
 
Computer Information Systems
Actively pursuing PMP and Scrum Master certifications
"
22351830.pdf,"CONSULTANT
","
ADP, API, Architect 7.5, Automotive, Basic, Business Process, Cisco, coaching, com, CA, Version control, Database, DSL, Eclipse, Fluent in
English, XML, Gateway, German, Hindi, HTML, IBM, IBM MQ Series, IBM MqSeries, innovation, IP, Java, JMS, JSP, JavaScript, JDBC,
JSON, LDAP, Linux, logic, Mac OS, Memory, access, windows7, Windows 2000, MVC, MySql, Enterprise, Operating Systems, Oracle,
Developer, OSS, Product management, QA, Quality Assurance, RAD 6.0, Oracle RDBMS, Servlet, Scripting, SOAP, strategic, Struts, telecom,
telephone, phones, Tomcat, UML, Utilities, Web Servers, Weblogic, Websphere, XSLT","
RGPV University
 
June 2004
 
Masters of Computer Applications
 
India
Vikram University
 
June 2001
 
Bachelor of Commerce
 
India
Languages
Fluent in English and Hindi, Basic German(A1).
"
48533663.pdf,"CONSULTANT
","
Multiple Facility Management and Oversight
ASC Administrator Mentoring, Training and Development
Revenue Cycle Management
Vendor Negotiations
Budget Creation and Analysis
Diverse Market and Industry Knowledge
Process improvement, QAPI Program Support
Accreditation Preparation
Payer Contracting Negotiations
Core Accomplishments
Created employee "," module for ""Customer Service in the ASC Environment""
30 Minute Power Point Presentation for all ASC employee to understand the complexities of the ""Customers"" that are involved in the
running of an ASC.
Well received by the staff and recommended to be adopted enterprise wide.
Board of Managers noted a distinct change in employee's demeanor after training module.
Mentored multiple new and prospective Administrators
Trained prospective Administrator's in different aspects of ASC Operations.
Referred to various organizations and reference materials.
Created Revenue Cycle in ASC program to increase collections
Identified the key ""Roles"" required in a successful revenue cycle strategy
Trained all staff members in proper practices in the Business Office
Created Metrics and Goals for staff members to achieve
Successfully collected 100% of goal, sixteen consecutive quarters.
"
29723311.pdf,"IT CONSULTANT
","
Preventive and reparative maintenance
Troubleshooting
Mechanical systems
Testing
Soldering and wiring
Installation
Hardware diagnostics
Time management
Cost estimation
Operation system software
Microsoft Office
Project Management
Staff management
Advanced critical thinking
Technical support
Work History
IT Consultant
 
, 
04/2016
 
to 
Current
 
Company Name
 
â€“ 
City
 
, 
State
 
Discussed project progress with customers, collected feedback on different stages and directly addressed concerns.
Coordinated with Owner to evaluate and improve software and hardware interfaces.
Documented all software development methodologies in technical manuals to be used by 
c
 ompany employees in future projects.
Inspected equipment and assessed functionality and optimized controls.
Supported Chief Operating Officer with daily operational functions.
Adjusted software parameters to boost performance and incorporate new features for meeting customer needs.
Responded to customer requests via telephone and email and effectively answered questions and inquiries.
Master Technician
 
, 
11/2017
 
to 
03/2019
 
Company Name
 
â€“ 
City
 
, 
State
 
Perform Maintenance and Operating System Checks on Mac and PC Platforms.
Track each repair service performed by maintaining accurate and detailed records using Lightspeed POS System.
Effect repairs to assigned equipment by following established Electrostatic Discharge (ESD) and safety standards and procedures while
conducting quality assurance checks on electronic devices.
Services customer product, including receiving/shipping of devices.
Protect company equipment by utilizing proper testing and repair procedures.
Maintain software by installing, configuring and troubleshooting various applications.
Maintain and Diagnose component level repair of various generations of Cellular Devices, Tablets, Mac Computers, Video Game Consoles,
PC's, Laptops, and other related peripheral equipment.
Tested various types of Cellular Devices, Tablets, Mac Computers, Video Game Consoles, PC's, Laptops and other related peripheral
equipment using microscopes, oscilloscopes, multi-meters, voltage calibrators, spectrum analyzers and other laboratory instruments.
Supported technicians in equipment maintenance and repair.
Requisitioned new supplies and equipment.
Performed acceptance testing and measurements on electronic components and assemblies to verify system compliance.
Reviewed and interpreted technical documents, including service manuals, specifications, wiring diagrams and blueprints.Â 
Used diagnostic and testing processes in collaboration with technicians to identify, define and solve development issues.
Monitored installation and operations to consistently meet rigorous customer requirements.
Coordinated with vendors to identify and procure appropriate equipment necessary for the project.
Monitored the manufacture of electrical devices and operations to ensure compliance with safety protocols.
Initiated a project management knowledge study and subsequently standardized project management practices.
Continually improved methods and procedures for processes, measurement, documenting and ","
Bachelor of Business Administration (B.B.A
 
: 
Business Administration and 
Management, General
 
University of Mary Hardin-Baylor
 
- 
City
 
, 
State
 
Bachelor of Business Administration (B.B.A
 
: 
Business Administration and 
Management
 
University of Houston
 
- 
City
 
, 
State
 
Certifications
Technical Support Fundamentals
"
18227306.pdf,"CONSULTANT
","
accounting, accounts receivable, Agency, bookkeeping, budgeting, budgets, contracts, client, clients, client relations, customer support, English,
Innovation, Languages, Logistics, Director, managing, meetings, MS Office, Enterprise, new product development, personnel, program
management, programming, proposal, Russian, Russian language, Sales, strategy, Summit, tax, Teaching, Ukrainian, vision"," organizations around the nation to discuss value of Russian
language and education; consequently Mayor Katz granted the days of June 5-12 as the ""Days of Russian Culture"" in city of Gaithersburg,
MD.
Advised new business owners and facilitated process of registering their companies with their respective states.
Performed bookkeeping and tax return preparation for domestic and international businesses.
Provided customer support for clients with account issues and resolved discrepancies in their accounting records.
Managed accounts receivable for 1,200 tax clients and collected over $50K in overdue payments.
Collaborated with other administrative team members, human resources and the finance department on special projects and events.Served
as a "
27096471.pdf,"CONSULTANT
","
ADA, Benefits, budget, business process improvement, interpersonal communication, consulting, client, clients, Employee Relations, filing, focus,
Human Resources, HR, image, interpretation, team -building, Legal Compliance, Director, access, Works, net","
Master of Arts
 
: 
Human Resource Development
 
Webster University
 
ï¼​ 
City
 
, 
State
 
Human Resource Development
Bachelor of Arts
 
: 
Mass Communication
 
Xavier University
 
ï¼​ 
City
 
, 
State
 
Mass Communication
2017
MBA
 
: 
Finance
 
University of Missouri Columbia
 
ï¼​ 
City
 
, 
State
Affiliations
Certified Facilitator-Look Good Feel Better-American Cancer Society
SHRM-KC
Alpha Kappa Alpha Sorority Incorporated-Executive Officer-2014-2015
Publicity-Earned National Award for online, and print content of chapter community service events.
Board of Trustee-St. Paul's Episcopal Day School-Current
"
29076405.pdf,"LEASING CONSULTANT
","
Microsoft Word Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â 
Microsoft Power Point
Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â 
Microsoft Excel 
Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â 
Windows Vista 
Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â 
Windows 7 
Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â 
Yardi Voyager 
Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â 
Real Page 
Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â 
On-Site 
Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â 
MRI 
Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â 
Adobe Photoshop"," and Training
Associate of Arts
 
, 
Tourism, Convention, and Event Planner
 
Current
 
College of Southern Nevada
 
ï¼​ 
City
 
, 
State
Languages
English (Read, Write, Speak)
Spanish (Read, Write, Speak)
Computer "
79570655.pdf,"FRAGRANCE CONSULTANT
Licenses
Phlebotomy Certification 2014
Electrocardiogram Certification 2014
Skill ","
administrative support, Clients, Customer Service, Customer Support, Detail oriented, Direct Selling, filing, Hematology, Managing, Medical
coding, Organizing, payroll, Phlebotomy, processing customer requests, quality control, Receiving, sales, specimen collection, Technician, Trouble
Shooting"," and Training
Certification : Phlebotomy Technician
 
2014
 
Arkansas College of Health Careers
 
City
 
, 
State
 
, 
United States
Electrocardiogram Technician
 
2014
Associate of Arts
 
: 
General Studies
 
2010
 
Arkansas College of Health Careers
 
City
 
, 
State
 
, 
United States
 
General Studies
Pulaski Technical College
 
City
 
, 
State
 
, 
United States
"
21512769.pdf,"CONSULTANT
Education and Training
2016
MPH, George Washington University Bangladesh Medical College, University of Dhaka
 
City
 
MBBS
2003
Community Medicine, Microbiology, Pathology, Internal Medicine & Psychiatry
Skill ","
Anatomy, Biochemistry, Oral, delivery, Dermatology, documentation, English, Family Medicine, focus, Genetics, GMP, health "," and Training
2016
MPH, George Washington University Bangladesh Medical College, University of Dhaka
 
City
 
MBBS
2003
Community Medicine, Microbiology, Pathology, Internal Medicine & Psychiatry
Skill Highlights
Microsoft Word, Excel, and Power Point
"
69181350.pdf,"CONSULTANT
","
Familiar with SPSS software. 
Expert at MS Word, Excel and PowerPoint. 
Proficient in databases such as Gartner, Forrester, Datamonitor,
OneSource, Factiva.
Professional Experience
Consultant
 
April 2012
 
to 
April 2014
 
Company Name
 
ï¼​ 
City
Capgemini Consulting is the strategy and transformation consulting brand of Capgemini Group, with over 3000 business consultants serving
clients across 5 continents across verticals) Key Responsibilities: Investigate & understand key business issues across verticals and
providing clear, concise and timely analysis & recommendations.
Capable of designing research methods and turn research findings, market data and industry knowledge into actionable insights, providing
critical thinking, insightful and forward looking statements that impact client's business.
Played a key role in redesigning the company's product offerings in response to a quickly changing market by researching the market
extensively and developing comprehensive product profiles.
Employ a wide range of research tools, including primary and secondary sources alongside quantitative and qualitative consumer and
business research.
Liaison directly with internal clients for project requirements and provide continued assistance through a consulting project.
Interact with personnel of multiple departments and at various levels in the organization.
Projects Executed: Strategic Research: Conducted independent in-depth and insightful research using databases and open source as a part
of consulting engagement teams in developing strategies that affect businesses of global clientele.
Market Study / Competitor Analysis: Analyzing market size and growth, understanding trends and identifying key competitors and study the
dynamic issues and events that affect the industry.
Engagements include leading vendor analysis of the SaaS HCM market, Big Data analytics competitor landscape study for an IT major
client, market analysis for a green technology manufacturer, etc.
Conducted a vendor analysis and benchmarking study on social media monitoring tools to identify the effectiveness of each of the tools.
Best Practices Study / Benchmarking of Best Practices: Preparation of in-depth case studies of best-in-class organizations and
benchmarking of costs, technologies and best practices across multiple verticals.
Projects include strategic, financial and operational benchmarking for a leading mid-stream Oil & Gas Company, social media benchmarking
study for a leading pharma company, identify leading digital practices in wealth management industry etc.
Client Interface: Built client relationships as an advisor in order to solve critical business problems.
Supported client needs in a timely and efficient manner demonstrating a sense of urgency, tenacity, and commitment to quality and excellent
client management.
Intern
 
April 2011
 
to 
June 2011
 
Company Name
 
ï¼​ 
City
Pantaloon Retail is the flagship company of Future Group, India's retail pioneer, serving over 220 million customers across 85 cities and 60
rural locations through retail formats such as Big Bazaar, Central Malls and HomeTown) Customer Experience Management: Designed and
implemented a marketing plan which included market research data from surveys, market analysis and revenue forecasts before and after
implementation of the plan.
Commercial evaluation of Activations: Implemented sales promotion plans & new store concepts to generate sales for achievement of
targets; coordinated the in-store promotional activities for new releases & special products.
Made recommendations on the financial feasibility of these activations and return on investment, based on the findings.
Activations Management: Responsible for planning and managing the activations at Bangalore Central in order to drive sales.
Intern
 
April 2008
 
to 
June 2008
 
Company Name
 
ï¼​ 
City
The Goldman Sachs is leading global investment banking, securities and investment management firm that provides a wide range of financial
services to a substantial and diversified client base that includes corporations, financial institutions, governments and high-net- worth
individuals.) Investment Banking Operations: Worked with the team Treasury of Goldman Sachs to understand the key investment banking
operations and studied the effectiveness of key investment banking operations.
Recommended a revision of the current threshold amount for inbound and outbound claims (interest claims, market fines and use of funds)
resulting in a 58% increase in productivity of treasury team and reducing the total number of claims by 72%.
EducationMaster's
 
: 
Business Administration Marketing Management
 
, 
2012
 
Christ University
 
India
 
Business Administration Marketing Management
Bachelor's
 
: 
Business Management
 
, 
2010
 
Christ University
 
India
 
Business Management
Additional Information
OTHER ACHIEVEMENTS: Received the 'Rewards and Recognition Award' within one year of service at Capgemini Consulting for
outstanding ","Master's
 
: 
Business Administration Marketing Management
 
, 
2012
 
Christ University
 
India
 
Business Administration Marketing Management
Bachelor's
 
: 
Business Management
 
, 
2010
 
Christ University
 
India
 
Business Management
Additional Information
OTHER ACHIEVEMENTS: Received the 'Rewards and Recognition Award' within one year of service at Capgemini Consulting for
outstanding "
