FileNumber,Role,Skills,Education
29524570.pdf,"WEB DESIGNER
","
Work History
Web designer
 
,
and Database designer: One Plus, Glasgow, UK.
Web designer: Nuclear disarmament, Glasgow.
UK.
Office assistant: Iona community.
Glasgow, UK.
Polling Clark in a Scottish parliament election (2004) Care Assistant in BUPA care home, Glasgow.
Specific skills: Langages: C & C# Data base: ORACLE, SQL Web Technologies: 
ASP.NET, HTML5, CSS3, Dream weaver.
Currently Quality specialist
 
, 
07/2015
 
to 
Current
 
City
 
Preparation of the Elemental impurity Risk reports for drug products and API Experienced in developing risk analysis model and conducting
thorough risk assessment starting from the basic till final report Generating regulatory summary for all the approved elemental impurities
reports (US and Canada) Collaborate globally and cross functionally (in CFTs) with in varying sites to complete complex project goals.
Sites: Ludwigshafen, Sligo, Cork, AP16, Puerto Rico, and Campoverde.(e.g.
gluten, elemental impurities, and API metal catalysts) Author, co-author and verify multiple risk control assessments pertaining to elemental
impurities, gluten, and metal catalyst used in AbbVie drug products & API.
In-depth understanding of ICH Q3D, EMA, Pharm Eur, USP, and Gluten-FDA in relation to Abbvie drug products.
Assist compendial services with heavy metal deletion project in relation to Abbvie API's Proficient in MS Word, Excel, Adobe Acrobat,
power point, Visio, and other commonly used software.
Web master
 
,
IBTN research group, UIC- February 2014 to till date Duties: Developed the official website of ""IBTN research group "".
Weekly Updation of the site with all the details of major events.
Uploaded files and photographs of research ","
Masters
 
: 
Computer Application
 
, 
Computer Application
MCA
 
: 
CMR Institute of Management studies, University of Banglore, INDIA. P.G
 
- 
Title :Green House Controller, Platform: Embedded C - CX15, Client: NeSt Cyber Campus, Trivandrum, Kerala, India . Including 6 months
training. Mini projects: Data Base Management Systems: Airline Reservation- Visual Basic6.0 and SQL. Information System Design and
Implementation : Employment Exchange -Visual Basic 6.0 and ORACLE8.0 Simulation and Modelling : Chemical Reactor developed by C.
Interactive computer graphics: Galixean Game using C++ language. System programming : Editor developed in C including all basic requirements
of an editor. Computer Architecture and Parallel Processing : Page Replacement Algorithms developed in language C.
C P U scheduling graph developed in C language.
 
:
Bachelor
 
: 
Electronics (BSc)
 
, 
1999
 
Electronics (BSc)
Digital Video graphy Other courses Data Management for Clinical Research , Vanderbilt University. Oracle 9i SQL/PLSQL training with OracleCertified Associate, at Caledonian University, Glasgow Embedded System with CX15 (Keil Compiler) (6-months training from Nest
Cybercampus 
: 
Mahatma Ghandhi University
 
- 
City
 
, 
State
 
Design of a PLC (Program Logic Controller) based on control system for automatic connector assembling machine .
Database management - Visual basics, Oracle, SQL, Access 2000 ( Pentasoft, India) Web designing- ASP, HTML, Dream Weaver (Pentasoft,
India) ECDL Certification and SQA qualification- Flexicentre Glasgow
 
:"
25422388.pdf,"GRAPHIC DESIGNER
"," and Qualifications
Adobe Creative Suite, Adobe InDesign, Adobe Illustrator, Adobe Photoshop, Adobe Acrobat, QuarkXpress, Dreamweaver, HTML Coding,
CSS, Microsoft Office Suite, Promotional Materials, Extensive Direct-Mail Experience
Relevant Skills
Self-Motivated, Sense-of-Humor, Conceptual Thinker, Attention-to-
Detail, Strong Design Sense, Resourceful Researcher, Advanced
Typography Knowledge
Leadership Skills, Friendly Attitude, Professional Behavior, Expert
Juggling Skills, Creative and Artistic, Resourceful Researcher, Quick
Learner, Time Management
Experience
07/2012
 
to 
10/2015
Graphic Designer
 
Company Name
 
- 
City
 
, 
State
Prepared layouts and drawings in compliance with established templates and design standards. Designed unique print materials, including
advertisements, brochures and logo designs. 
Designed web pages, graphic elements and infographics for email newsletters.
05/2009
 
to 
02/2015
Graphic Designer
 
Company Name
 
- 
City
 
, 
State
Designed unique print materials, including advertisements, brochures and logo designs. Prepared layouts and drawings in compliance with
established templates and design standards. Contributed ideas during strategic and conceptual brainstorming sessions. Recommended techniques,
methods and media best suited to produce desired visual effects. Prioritized graphic ","
2001
Bachelor of Science
 
: 
Journalism - Marketing
 
Texas A&M University
 
- 
City
 
, 
State
 
, 
United States
Computer and art design courses, visual communication courses, and studio art courses."
11722421.pdf,"TECHNICAL DESIGNER
","
photo, Photoshop, CAD, catalog, Color, Designing, Fashion, Drawing, HR, Illustrator, Information Systems, materials, meetings, Organizational,
Design process, quality, research, collecting samples, Trend, type","
Masters
 
: 
Business Administration
 
United States University
 
City
 
, 
State
 
Business Administration
Organizational Behavior, Data & Information Systems Management, and HR Administration.
Masters
 
: 
Fashion Design
 
March 2014
 
FIDM/Fashion Institute of Design & Merchandising
 
City
 
, 
State
 
GPA: 
Cum Laude
 
Fashion Design Cum
Laude
Pattern Making, Garment Construction, Computer Aided Designing, Technical Drawing, and Draping and Sewing.
Bachelors of Engineering
 
: 
Textile Technology
 
June 2010
 
RGPV University
 
City
 
, 
State
 
, 
India
 
GPA: 
Magna Cum Laude
 
Textile Technology
Magna Cum Laude
Knitting and Garment Construction, Fabric Construction (Woven and Knits), Fabric Printing and Finishing, and Textile Testing. Gimatex Industries
Pvt. Ltd., Maharashtra, India Spinning, Weaving and Garment Construction Trained in manufacturing the yarn, utilizing that yarn to fabricate fabric,
lastly utilizes that fabric to design a garment. Paper on Technical Textiles. This paper presents different type of technical textiles, their
manufacturing, finishing, and end uses.
"
19195747.pdf,"KICHEN/BATH DESIGNER & SALES
"," Used Business, design & sales skills
This retail store was a newest branch of an old, well established, family owned chain of stores from the east side of the state.Â  The family had
recently hired a new, young general manager.Â  He was responsible, apparently, for some poor management decisions, resulting in the parent
company going into bankruptcy and all stores being shut down.Â 
06/1991
 
to 
09/1994
Owner/Manager
 
Company Name
 
â€“ 
City
 
, 
State
 
Converted 7500 square feet of commercial space into 24 individual offices of varying sizes, several cubicle spaces, large and small conference
rooms, reception area, secretarial ","
1970
Associate of Arts
 
: 
architectural/interior design
 
New York School of Interior Design
 
- 
City
 
, 
State
 
Architecture and interior design history
Fine arts history
Color theory and application
Light theory and application
Textiles
Upholstery
Window treatments
Paint, surface textures, wallcoverings
Interior building materials
Architectural drawing and perspective rendering
Business and marketing principles for designers
All courses were taught by "
20390397.pdf,"ELECTRICAL CAD DESIGNER
","
MICROSOFT OFFICE (WORD, EXCEL, POWERPOINT, OUTLOOK), AUTOCAD, MICROSTATION, PROJECTWISE EXPLORER,
ADOBE PROFESSIONAL, JD EDWARDS, ERP, HART COMMUNICATION, SHAREPOINT, SOME SAP EXPERIENCE.","INDUSTRIAL ELECTRONICS
 
OWENS COMMUNITY COLLEGE
 
Industrial Electronics Associates Degree Program
Spanish and International Relations
 
STATE UNIVERSITY OF NEW YORK
 
Dual Major of Spanish and International Relations in the Bachelor
of Arts Program
"
38565119.pdf,"INDEPENDENT DESIGNER
","
Space Planning
Workplace Strategy
Project Coordination
FF&E Expertise
Problem Resolution
ADA & Building Codes
Written & Verbal Communication
Product Specification
AutoCAD
MS Office Suite
Salesforce
ADA, Specification
AutoCAD, Strategy
Budgets, Verbal Communication
Change management, Written
COUNCIL
Creativity
Customer satisfaction
Direction
Documentation
Innovation
Interior design
Team lead
Leadership
Materials
Meetings
MS Office Suite
Office
Organizational
Personnel
Presentations
Problem Resolution
Processes
Procurement
Programming
Project Coordination
Real Estate
Retail
Sales
Space Planning
Work History
INDEPENDENT DESIGNER
 
, 
04/2020
 
to 
Current
 
Company Name
 
â€“ 
City
 
, 
State
 
Create Site and Fixture Plans utilizing AutoCAD for Walgreens, Chipotle, and Aspen Dental for use by Real Estate Developers and
Property Investors.
Perform on-site surveys to produce AutoCAD floor plan drawings of existing spaces for electronic documentation, in addition to providing
space improvement solutions and options.
SPECIFICATIONS MANAGER
 
, 
01/2015
 
to 
03/2020
 
Company Name
 
â€“ 
City
 
, 
State
 
Traveled extensively throughout my territory creating and conducting product presentations/meetings for Architects, Designers, Builders,
Furniture Manufacturers, Facility Managers, Retail and Commercial End Users.
Initiated new business and grew existing accounts by 40 percent while maintaining/nurturing relationships.
Identified and targeted high value projects in planning stages to drive specifications, resulting in exceeded sales goals.
WORKPLACE CONSULTANT
 
, 
01/2003
 
to 
01/2015
 
Company Name
 
â€“ 
City
 
, 
State
 
Worked as team lead in creating well-connected ","Bachelor of Arts
 
: 
Interior Design
 
IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY
 
- 
City
 
, 
State
 
NATIONAL COUNCIL FOR INTERIOR DESIGN QUALIFICATION Certificate #009891
"
10751444.pdf,"PRODUCT DESIGNER
","
CAD
Complex problem solving
Stress analysis training
Component functions and
testing requirements
Technical direction and
product strategies
Works well in diverse team
environment
Strong decision maker
Engine components, pumps, and fuel systems knowledgeFEA toolsAutoCAD proficientTeam
leadershipManufacturing systems integrationManufacturing systems integration
Work History
Product designer
 
10/2014
 
to 
Current
 
Company Name
 
â€“ 
City
 
, 
State
 
The team wants to develop a portable, easily shipped, cost effective hardware that can send and receive digital content directly from
satellites.
Personally involve with prototype designing and 3D modeling.
Cooperating with a startup called Outernet (https://www.outernet.is/en/), a for-profit media company that already has two satellites covering
North America, Europe, and the Middle East and has recently started broadcasting free Internet content.
Assisting drafters in developing the structural design of products using drafting tools or computer-assisted design (CAD) or drafting
equipment and software.
Completing project mechanical design while providing technical solutions feedback.
product design
 
09/2014
 
to 
Current
 
Company Name
 
â€“ 
City
 
, 
State
 
Two engineers and designers to collaborate together to create new innovative wearable pieces for a fashion show competition.
Will access new Makerspce, which includes a 3D printer, will be given a $500 budget to create their wearable piece.
RESEARCH 
EcoPRT Research Assistant
 
01/2014
 
to 
05/2014
 
Company Name
 
â€“ 
City
 
, 
State
 
The goal is to develop an economical, automated transit system.
It will focus on the hands on design and development of a small manned autonomous vehicle.
www.ecoprt.com).
The key in the design is to understand the impact weight has on the overall cost and performance, and the incorporation of automated
control.
Aspects of the development will possibly include
product design
 
01/2014
 
to 
05/2014
 
Company Name
 
â€“ 
City
 
, 
State
 
VOLUNTEER 
The purpose of this project is to design and fabricate a cable management system for a public-access electric
EXPERIENCE 
vehicle charging station.
This system will dispense and retract 20 feet of cable for operation and provide secured storage for the cable when not in use.
The prototype will be subjected to the following constraints
Team member 
10/2013
 
to 
04/2014
 
Company Name
 
â€“ 
City
 
, 
State
 
Attending scheduled control and mechanical teams' training classes.
EXPERIENCE 
Â· Learned shop safety, vehicle glider equations, drive cycle modeling, and Simulation.
Learned the powertrain architecture and components of the 
2013 
Chevrolet Malibu.
Learned vehicle dynamics.
And practiced model simulation by using MATLAB Simulink.
Mechanical Engineering Components design project (material design.
material design
 
10/2013
 
to 
04/2014
 Company Name
 
â€“ 
City
 
, 
State
 
Designed fillet welds connections and bolts for the plate girder, which holds the pipe with horizontal and vertical force loads.
Calculated the related shear or bending stresses for the welds and bolts to determine the right materials and sizes of welds (thickness) and
bolts.
Eddy Current DYNO Research Assistant
 
09/2013
 
to 
05/2014
 
Company Name
 
â€“ 
City
 
, 
State
 
Built the engine stander for our engine and Eddy current dynamometer.
Currently installing the Eddy current dynamometer with graduate students.
Future possibility of experimenting with torque, horsepower, RPM, EGR (Exhaust Gas Recirculation) and temperature measurements of the
Kubota Diesel Engine after installation.
Possibility of learning the engine tuning.
Research Assistant
 
06/2013
 
to 
08/2013
 
Company Name
 
â€“ 
City
 
, 
State
 
Graphed sketches and figures for professor's Thermodynamics eBook.
Learned how to use Smartdraw.
Performed literature reviews on ongoing research topics and eBook materials.
Added video links and real-world images to the eBook.
Program Assistant
 
05/2013
 
to 
06/2013
 
Company Name
 
â€“ 
City
 
, 
State
 
Assisting Dr.
Eischen, the director of the Hangzhou Engineering Study Abroad Program at Zhejiang University, during his program this coming summer.
Helping with tasks such as translating, program activities, running errands, classes, transportation, and culture immersion.
2323
 
04/2013
 
to 
10/2013
 
Company Name
 
â€“ 
City
 
, 
State
 
Designed Airplane Landing Gear by modeling with a mass-spring-damper SDOF system and designing the spring k and damper C that
limits the given amplitude.
Part 2
wew
 
10/2012
 
to 
04/2013
 
Company Name
 
â€“ 
City
 
, 
State
 
Utilized MATLAB for statistical analysis of an elastic band rocket.
Learned how to make experimental designs, statistical processes, statistics simulations, and graphical displays of data on computer
","
Master of science
 
: 
Mechanical engineering Robotic & Manufacture
 
Current
 
Columbia University in the City of New York
 
- 
City
 
, 
State
 
Sep -2015 Dec Mechanical engineering Robotic & ManufactureCourse"
11919526.pdf,"E-LEARNING DESIGNER
","
Adobe: Captivate, Media Encoder, Reader
Microsoft:Â Excel, Internet Explorer, Media Player, Outlook, Paint, PowerPoint, SharePoint, Skype, Visio, Word
Google: Chrome, Docs, Drive, Forms, Gmail, SheetsÂ 
IBM: DB2, SQL, Stored Procedures, Kenexa
Other: Apple iMovie,Â Dayana Net"," team for 501(r)Â regulatory compliance curriculum including learning objectives,
content analysis,Â 
 
story boarding, interactive design, test, project 
scheduling,Â 
 
instructional design and d
 
evelopment designÂ 
 
Design, developed and project managed education team for We ID for Patient Safety including learning objectives, content analysis,Â story
boarding, interactive design, problem based scenarios, test, project scheduling,Â instructional design and development designÂ 
 
Analysed, designed, documented and tested e-Learning process for new LMS and authoring tool including pretest, posttest, curriculum,
SCORM and feedback surveysÂ 
 
Designed, tested and implemented technical solution for SharePoint training resource pages, knowledge center, Â navigation and
department sites
 
Researched, designed, tested and implemented a solution for How To videos on SharePoint video channel
 
â€‹
INSTRUCTIONAL DESIGNER 
May 2009
 
to 
June 2015
 
Company Name
 
ï¼​ 
City
 
, 
State
Gathered requirements, allocated and managed budgets, designed and developed curriculum, managed eLearning and ILT delivery, planned
and executed United States and International training, measured training, championed corporate initiatives, supported organizational
requirements, and advised leadership from first line managers to senior executives.
I
 
ntegrated technology in training, designed, developed and delivered eLearning and ILT "
11155153.pdf,"MECHANICAL DESIGNER
","
Extremely computer literate and proficient in the use of Microsoft Suites, Word, Excel, Autodesk Inventor Pro 2012 (Routed Systems - Tube and
Pipe) and Autodesk Vault Professional 2102, certification in Pro/Engineer, Creo, ComputerVision 3-D Personal Designer, CADDS4X-
SUNhardware, AutoCAD-R2002, SolidWorks, FastCAD, ProCAD. 
Â ","
Hydraulics Training
 
2012
 
Certification
Completed 60 hours Industrial Hydraulics Training (Level I, Level II and Hydraulic Trouble Shooting).
Federal Aviation Administration
 
2004
 
License
 
: 
Private Pilot's License
Earned Federal Aviation Administration FAA Private Pilot's License
New Mexico State University
 
2003
 
Pro/Engineer Certification
 
: 
Pro/Engineer
 
City
 
, 
StateCompleted certification program for Pro/Engineer
South Plains College
 
1986
 
Associates Degree
 
: 
Drafting Technology
 
City
 
, 
State
Applied Science & Drafting Technology
Affiliations
Aircraft Owners and Pilots Association (AOPA) Member.
"
42384185.pdf,"LEAD SENIOR GRAPHIC DESIGNER
","
3D, 3D Modeling, 3DS Max, Adobe, Adobe After Effects, Adobe Photoshop, automotive, CMS, SC, client, CVS, direction, Dreamweaver,
Flash, graphic, HTML, http, Adobe Illustrator, image, Lighting, MAC, market, Maya, mechanical, meetings, Microsoft Office, PowerPoint,
Windows platform, modeling, optimization, packaging, painting, Camera, presentations, rendering, selling, Softimage, SolidWorks, Staff
Development, Supervision, Web development and graphic design, website"," and development of designers Set a high standard for all graphic designers Minimize exposure and risk
on project 3D visualization of packaging 3D modeling 3D texturing 3D lighting 3D Animations Web development and graphic design
company website Chaired products for best selling brands and companies like: Dunkin Donuts, Sony, American Eagle, Bulova, True, Burt's
Bees, Loreal, Gatorade, Herbalife, Hitachi, Algida, Dior, Yankee Candle, Nicki Minaj, Bentley.
09/2013
 
- 
01/2014
Company Name
 
ï¼​ 
City
 
, 
State
 
Graphic Designer
 
Designed and printed online interactive sales and marketing collateral. 
Created visuals that
appeal to leaders in the big data and high-tech world.
07/1995
 
- 
06/2013
Company Name
 
ï¼​ 
City
 
, 
State
 
Creative Director
Interacted with Modelers to developcreative concepts and executions of assigned products Possessed solid understanding of the scienceand market dynamics of assigned products "
