FileNumber,Role,Skills,Education
14945250.pdf,"DIGITAL MEDIA CONSULTANT
","
Operations Management
Training/Instruction
Client Relations/Customer Service Development
Adapt at Creating & Executing Strategies
Accomplishments
2004,05, President's Club award recipient.
2013 Top five Digital Solutions Media Consultant while ","
MBA
 
: 
Business Management
 
Present
 
New Jersey Institute of Technology
 
City
 
, 
State
 
, 
United States
"
14556869.pdf,"DIGITAL MARKETING INTERN
Education
2015
Bachelor of Arts
 
: 
Psychology, Corporate Strategy
 
Vanderbilt University
 
ï¼​ 
City
 
, 
State
Cumulative Grade Point Average: 3.4
Major Grade Point Average: 3.6
","
General 
Software Proficiency: Microsoft Office, Microsoft Works, Microsoft Customer Relationship Management System, Microsoft
Publisher
Creative Design and Media Proficiency: Adobe Photoshop, Adobe Illustrator, Pro Tools
Web Proficiency: Wordpress, Sitecore Content Management System, Hootsuite
Certifications: Hootsuite
Accomplishments
1st Place Marketing Campaign ""The Next Chapter"" in Vanderbilt University Managerial Studies Department ""Parnassus Marketing""
Competition
Illinois State Scholar
Prairie State Achievement Award
Won ""Battle of the Bands"" competition for Chicagoland high school musicians 2009, 2010
Hold school record for Northside College Preparatory High School Track & Field events: ""Middle Distance Medley"" 2010, ""Throwers
Relay"" 2010","
2015
Bachelor of Arts
 
: 
Psychology, Corporate Strategy
 
Vanderbilt University
 
ï¼​ 
City
 
, 
State
Cumulative Grade Point Average: 3.4
Major Grade Point Average: 3.6
"
29002596.pdf,"DIRECTOR, GLOBAL DIGITAL MARKETING
",,"
MBA
 
: 
Executive Development
 
University of Rochester - William E. Simon School of BusinessAdministration
 
City
 
, 
State
Bachelor of Science
 
: 
Electrical Engineering
 
Boston University
 
City
 
, 
State
Interests
Recreational sports and fitness
Reading and travel
Fairport Soccer Club - Team Manager
Fairport High School Girls Soccer and Girls Lacrosse - Booster club member
Additional Information
ADDITIONAL INFORMATION Fairport Soccer Club - Team Manager 
Fairport High School Girls Soccer and Girls Lacrosse - Boosterclub member
"
20628003.pdf,"DIGITAL MARKETING SPECIALIST
","
Digital Marketing StrategyÂ 
Search Engine Marketing
Search Engine Optimization
Social Media Marketing
Experience
06/2017
 
to 
Current
Digital Marketing Specialist
 
Company Name
 
ï¼​ 
City
 
, 
State
Maintain clients' online presence, and ensuring that their products and services are effectively communicated to their target audiences.
Optimize advertising spending by implementing proper Adwords account structures, negative keywords, and A/B split testing.
Use Google Analytics data to modify site content, achieve goals, and reach KPI's, including CPC, CTR, quality score, and ROI.
Familiar with SEO strategies like competitive keyword research, domain authority analysis, and link building.
02/2016
 
to 
07/2017
Store Manager
 
Company Name
 
ï¼​ 
City
 
, 
State
Supervises and motivate team members to meet daily high standards of cleanliness, efficiency, and customer service at all times.
Manage "," and Training
2016
Mt. San Antonio College
 
ï¼​ 
City
 
, 
State
2017
Digital Marketing
 
Career Blueprint
 
ï¼​ 
City
 
, 
State"
19444529.pdf,"VIDEOGRAPHER
","
advertisements, ads, audio, broadcast, com, content, clients, customer support, directing, editing skills, editing, editor, email, feature articles,
Explorer, director, marketing plan, marketing strategies, marketing, meetings, newsletters, newsletter, Camera, presentations, press releases, print
media, producing, radio, recording, reporter, scripts, social media platforms, stories, strategy, TV, trade shows, video, video production, website,
articles
Additional Information
ACHIEVEMENTS Graduated Summa Cum Laude Two-time Emmy Nominated Producer for ""Lights, Camera, Akron!,"" 2013 & 2014
Top 10 Honors College Graduating Senior Ohio Association of Broadcasters Scholarship Recipient National Academy of Television Arts
and Sciences Scholarship Recipient John S. Knight Scholarship Recipient Emerging Leaders Program Residence Hall Program Board
Member National Society of Leadership of Success Dean's List (2010-2014) Academic Scholarship Recipient High School Valedictorian","
May 10, 2014
Bachelor of Arts
 
: 
Journalism, Media Production, and Radio/TV
 
THE UNIVERSITY OF AKRON
 
ï¼​ 
City
 
, 
State
 
GPA: 
GPA: 3.988/4
Journalism, Media Production, and Radio/TV GPA: 3.988/4
"
18442517.pdf,"SOFTWARE ENGINEER
","
Architecture, Automotive, Best Practices, Lean Manufacturing, Maintenance, Operations, Premier, Project Manager, Provisioning, Service Level
Agreement, Software Development, Structured Software, Engineer, Testing, Training, Databases, Excel, Mysql, Solutions, Associate, Data
Visualization, Integration, Integrator, Visualization, Budget, Corporate Communications, Streaming, Crm, Customer Relationship Management,
Deployment, Javascript, Sales, Trouble Tickets, Xml, Xsl, Marketing, Image Processing, Optimization, Photoshop, Leads, Market Research, Real
Estate, Sorting, Title Insurance, Visual Basic, Visual Basic For Applications, Data Warehouse, Html, Information Technology Infrastructure
Library, It Procurement, Itil, Metrics, Oracle, Perl, Php, Procurement, Project Management, Technology Infrastructure, Vbscript, Web Based,
Web Services, Web-based, Xslt","
B.A.
 
: 
Economics, American Literature
 
, 
2000
 
University of California
 
ï¼​ 
City
 
, 
State
 
, 
US
 
B.A., Economics, Minor: American Literature, 2000
University of California, Los Angeles (UCLA) GPA: 3.5
"
39166680.pdf,"SR DIGITAL ANALYTICS MANAGER
","
Digital insights and analytics (Adobe Experience Cloud, Google Analytics, and Looker)
Conversion rate optimization; a/b testing (Qubit and Adobe Target)
Email marketing & marketing automation (Responsys and SFMC)
Salesforce Marketing Cloud (Social Studio)
Marketing strategy
Data visualization (Tableau and Chartio)
Tagging & attribution (GTM and DTM)
SQL","
B.S
 
:
 
Business Management
 
Arizona State University
"
25706337.pdf,"DIGITAL MERCHANDISING ANALYST
","
Vendor Relations: Invodo (product videos), BloomReach 
(Merchandising Analytics), LoopCommerce (Gift Now), Olapic (UGC), 
Certona
(Suggested Selling Tool), Amazon (Amazon A+ Pages).
Website Platforms: OCP (Site Manager), ATG (Oracle), Endeca
Professional Skills: Email Marketing, Merchandising, Retail Marketing, Product Analysis, Social Media Marketing, Management, Digital
Marketing, Styling, Excel, Project Management, Campaign Management.
â€‹"," and Training
MBA: Marketing and Management
 
March 2017
 
Indiana Tech
 
City
 
, 
State
 
GPA: 3.8
Bachelor of Science
 
: 
Business Management & Accounting
 
May 2010
 
Huntington University
 
City
 
, 
State
 
GPA: 3.35
"
15353911.pdf,"LEAD ARTIST
","
Animation: Toon Boom Harmony, TV Paint, Adobe Flash
Illustration: Adobe Photoshop, Adobe Illustrator, Aseprite, Paintool SAI, Gimp
Post-Production: Adobe After-Effects, Adobe Premiere, Final Cut Pro
Experience
02/2017
 
- 
Current
Company Name
 
ï¼​ 
City
 
, 
State
 
Lead Artist
Design custom D&D character sprites, ""party"" and menu screens, and backgrounds fitting 8-bit video game aesthetics for an upcoming Dungeons
and Dragons YouTube series.
06/2016
 
- 
08/2016
Company Name
 
ï¼​ 
City
 
, 
State
 
Digital Arts Assistant Instructor
 
Assisted in teaching digital art, film, photography, minecraft-modding, coding, and
animation to kids ages 5-18.
05/2015
 
- 
08/2015
Company Name
 
ï¼​ 
City
 
, 
State
 
Canvassing Manager
 
Gathered donations for the ACLU's proposed Employment Non-Discrimination Act for the
protection of LGBT+ people in the ","
2018
Loyola Marymount University
 
ï¼​ 
City
 
, 
State
 
, 
United States
 
Bachelor of Arts
 
: 
Animation
Created two 5-minute animated short films with peers
Designed and programmed two games
"
58915642.pdf,"DIGITAL M&E RESEARCH INTERN
","
Microsoft Office Suite; Venture Capital Financial Model Interests: Entrepreneurship, Mentoring, Education, Basketball, Strength Training,
Venture Capital
Interests
Penn Summer Abroad, Scholar of Environmental Studies, in Rotterdam & Berlin 
June 2015 - June 2015 Â· Engaged in a lecture series about
water management and the Energiewende which fortified the immersion into the culture of 
environmental sustainability in Rotterdam and Berlin for
two weeks Â· Culminated in a presentation on strategic plan to implement water management and Energiewende tactics to USA National
Dominican Student Conference, Officer of Logistics and Finances 
Sept. 2014 - Mar. 2015 Â· Managed and balanced the conference's $26,000+
budget. Individually raised $3,800+ for the conference from external 
sources and internal sources; like KIPP Through College, Greenfield
Intercultural Center, PennKIPP Â· Coordinated and executed three-day conference for 390 university students throughout the US Â· Designed
and organized a Dominican Linguistics ",", Basketball, Strength Training,
Venture Capital
Interests
Penn Summer Abroad, Scholar of Environmental Studies, in Rotterdam & Berlin 
June 2015 - June 2015 Â· Engaged in a lecture series about
water management and the Energiewende which fortified the immersion into the culture of 
environmental sustainability in Rotterdam and Berlin for
two weeks Â· Culminated in a presentation on strategic plan to implement water management and Energiewende tactics to USA National
Dominican Student Conference, Officer of Logistics and Finances 
Sept. 2014 - Mar. 2015 Â· Managed and balanced the conference's $26,000+
budget. Individually raised $3,800+ for the conference from external 
sources and internal sources; like KIPP Through College, Greenfield
Intercultural Center, PennKIPP Â· Coordinated and executed three-day conference for 390 university students throughout the US Â· Designed
and organized a Dominican Linguistics "
