FileNumber,Role,Skills,Education
30542184.pdf,"CONSTRUCTION ENGINEERING SUPERVISOR
","
Army, basic, bridges, inspection, Inspects, Marconi, Office, Radar, multi-meters, oscilloscopes, personnel, radio, Read, Safety, signal generators,
Telephone, troubleshooting, VHF
Additional Information
SUMMARY Active DOD 
Secret clearance (12 Jan 2011) and current US passport. (20 Jan 2011) US Army 12B (Combat Engineer), US
Army 12H (Construction Engineering Supervisor) 24 years hands-on ","
Diploma
 
: 
2001
 
University of 
*Strong Vincent HS
 
ï¼​ 
City
 
, 
State
Intermediate Electronic Principles, Keesler AFB, MS, 2010 *Telephone Central Office Repair, 1987 *HAZMAT Familiarization/Safety
Transport, 2007 *Forward Area Alerting Radar Repairer, 1990
Personal Information
Performed and supervised maintenance on manual, semiautomatic, and transportable communication systems. Excellent teaming "
38220146.pdf,"ENGINEERING MANAGER/SENIOR MECHANICAL DESIGNER
","
assembly, AutoCAD, automation, budgets, budget, CNC, electronics, layout, machine tools, machinery, market, materials, mathematics,
mechanical, net","
AutoCad
 
: 
2001
 
Penn State
 
ï¼​ 
City
 
, 
State
General Diploma
 
: 
1991
 
Faith Christian Academy
"
37335325.pdf,"ENGINEERING MANAGER
","
audio, automation, C, C++, CD-ROMs, Ceridian, cisco, Hardware, cost reduction, clients, drivers, executive management, Functional, inspection,
Intel, Java, Linux, MAC, Managing, marketing and sales, C#, Windows, Windows XP, multimedia, Objective C, OS, policies, printers,
processes, product development, quality, quality assurance, quest, sales, scanners, Scheduling, scrum, scripts, software development, software
testing, sound cards, sun, test tools, USB, validation, video, Vista"," and Training
Webster University
 
2004
 
Master of Science
 
: 
Computer Resource Information Management
 
City
 
, 
State
Kabul University
 
1992
 
Bachelor of Science
 
: 
Computer Science
"
10624813.pdf,"ENGINEERING OPERATIONS DIRECTOR
","
3D, Agile, AJAX, approach, B2B, budget, C, C++, competitive, CSS, database, delivery, e-commerce, Expert Systems, funds, hiring, HTML,
PHP, image, inspection, Java, JavaScript, Marketing, MongoDB, enterprise, Net","
Postgraduate courses in Cognitive and Neural Systems
 
: 
1991
 
Boston University
 
ï¼​ 
City
 
, 
State
M. S
 
: 
Computer Science
 
, 
1989
 
Union College
 
ï¼​ 
City
 
, 
State
 
Computer Science Masters Project: A Netless Neural Net"
28762662.pdf,"SOFTWARE ENGINEERING MANAGER
","
API, Approach, ATL, Audio, backup, bridges, broadcast, C++, CLI, COM, CA, Hardware, concept, Content, CSS, documentation, editing,
XML, FTP, drawing, GUI, hiring, HTML5, HTTP, HR, IDs, explorer, JavaScript, json, LAN, team building, MB, memory, mentoring, C#,
MFC, office, Windows, Window, 2000, migration, NAS, OOP, page, performance reviews, personnel, Proxy, rendering, SAN, Scrum, servers,
software development, team management, threads, Video, Video Editing, Visual C++, ","
M.S
 
: 
Computer Science
 
Illinois Institute of Technology
 
ï¼​ 
City
 
, 
State
 
GPA: 
GPA: 3.9 / 4.0
 
Computer Science GPA: 3.9 / 4.0
B.E
 
: 
Electronics and Communication Engineering
 
National Institute of Technology
 
ï¼​ 
City
 
, 
India
 
GPA: 
First Class with Distinction
 
Electronics
and Communication Engineering First Class with Distinction
JSON protocol API documents for all 10 JSON services.
"
30097175.pdf,"ENGINEERING TECH
","
basic, C++, CPR certified, Data Acquisition, designing, Digital Design, direction, documentation, Electronics I, engineer, fashion, First Aid, HTML
programming, Intel, LabView, market, materials, MatLab, Excel, MS Office, PowerPoint, Windows 2000, Word, Multimeters, natural,
Oscilloscopes, Physics, Physics I, PSpice, speaking, quality, safety, Supervisory Control and Data Acquisition, schematics, SQL, Statistics,
Systems Design I, Technical Writing, Verilog, VHDL, VI, Web Design","
B.S
 
:
 
Electrical Engineering
 
,
 
June 2009
 
Portland State University
 
ï¼​ 
City
 
, 
State
 
Electrical Engineering
B.S
 
:
 
Biology Chemistry
 
,
 
June 2000
 
Southern Oregon University
 
ï¼​ 
City
 
, 
State
 
Biology Chemistry
Certifications
First Aid Certified, Blood Borne Pathogen Certified, Automated Electric Defibrillator Certified and CPR certified ('08). Courses of Note Applied
Reliability, Thermodynamics, Electromagnetism I-II, Power Systems Design I-II, Micro- Electronics I-VI, Solid State Physics, Calculus I - III,
Vector Calculus, Differential Equations , Statistics, Physics I-III, Computer Science I, Verilog ,Technical Writing, Digital Design, 
SEM ,
General/Organic/ Bio-Chemistry, Anatomy, Immunology , Ecology , Mammalogy, Evolution, Genetics, Plant Physiology and Entomology.
Interests
Intercollegiate Basketball Participant 
Southern Oregon Men's Basketball Team Member ('98 -'00)
Chartered American Cancer Society's Hillsboro Relay for Life ('02)
Arc volunteer of the month (08/02)Family, fishing, basketball, hiking and computers.
"
26834746.pdf,"FACILITIES ENGINEERING MANAGER
","
automation, budget, interpersonal, computer literate, contracts, cost reduction, CPU's, clients, database software, Documentation, Electrical
systems, Energy Manager, Facility management, HVAC, hydraulics, inspection, Inspector, laundry, leadership, team leader, legal, machinery,
mechanical, meetings, MSA, Navy, NEC, optimization, PLC programming, PLC, Plumbing, processes, procurement, project management,
quality, Quality Assurance, radiography, real estate, repairs, repairing, Safety, strategic, strategic plans, supervision, technical support,
troubleshooting, upgrade, weld, welding, written communication skills","
"
38314236.pdf,"ENGINEERING SUPERVISOR
","
academic, Ansys, API, AutoCAD, Balance, drafting, HVAC, ISO 9001, LabView, Manufacturing Processes, materials, Matlab, meetings,
Microsoft Office, multimeters, oil, Process Engineering, processes, product design and development, Project lead, quality, QA, renovation, testing
software, Solid","
University of Texas
 
5/2006
 
BS
 
: 
Mechanical Engineering
 
City
 
, 
State
 
Mechanical Engineering
FE-Texas
 
4/2010
"
54227873.pdf,"ENGINEERING INTERN
","
Proficiency in C++, AutoCAD, AutoCAD Inventor, Python, Linux, Xcode, Visual Basic, MS Word, MS Powerpoint, Programming in MS Excel","
Lynchburg College
 
2017
 
Data Structures & Analysis in C++ and Python 
*Mathematical Theory in Computer Science
 
: 
Computer Science/ Minor
Sports Management Micro and Macro Economics
 
Computer Science/ Minor Sports Management Micro and Macro Economics
Oakton High School
 
2013
 
Diploma
 
: 
Engineering/STEM Award
 
Engineering/STEM Award
Interests
Sports 
2011- Present Lynchburg College Club Lacrosse 3x High School Varsity Lacrosse High School Varsity Football Community Service/
Volunteer Virginia 10 mile Walk/Run 
October 2013 Manned Drink station and cheered on runners at half way point Eagle Scout project
December 2012 This project was what I had planned, managed, and executed to receive my Eagle Scout rank. 
My project was a community food
drive that involved setting up a collection center, sending out flyers, as well as placing them door-to-door. 
The collection of food came to be just
around two tons of food for the Community of Faith United Methodist Church. Stop Hunger Now 
2011 Made packaged meals to send to those in
need, sent to Haiti Assistance League of Northern VirginiaÂ© 
2008-2011 Assisted in volunteer "
20981299.pdf,"ENGINEERING ASSISTANT
","
C, R, Catia, AutoCAD, ANSYS, Microsoft office, Product 
Project Management, GD&T, Minitab, Kanban, Kaizen, FMEA. development.
Toyota production systems, APQP, PPAP, 8D, 5 why, KPI's, Reliability SAE Standards, Vehicle ergonomics, DVP&R, QCC, CNC
engineering. Programming
Experience
07/2017
 
to 
08/2017
Engineering Assistant
 
Company Name
 
ï¼​ 
City
 
, 
State
Developed Delphi's SPQVC (Safety, People, Quality, Volume & Cost) metrics to cut assembly issues by 10%.
Developed APQP, cost estimations and integrated new fuel injectors models in the remanufacturing process line.
Performed PFMEA, root cause analysis and lead cross functional teams to resolve quality downtime issues.
Sustained and monitored lean manufacturing (5S, "," and Training
04/2018Master of Science
 
: 
Manufacturing Systems Engineering
 
University of Michigan Dearborn
 
ï¼​ 
City
 
, 
State
 
Manufacturing Systems Engineering
06/2013
Bachelor of Engineering
 
: 
Mechanical Engineering
 
Visvesvaraya Technological University
 
Mechanical Engineering
"
