FileNumber,Role,Skills,Education
27330027.pdf,"DIRECTOR FINANCE PROJECTS
","
SAP, Business Warehouse, Business Planning and Consolidation, Business Objects, SAS, Crystal Reporting, 
acquisitions, automotive, budgets,
budget, Business Objects, Business Planning, business plans, Cash Flow, content, Controller, draw, cost accounting, Crystal, documentation, Due
Diligence, Economics, Electronic Data Interchange, equity, finance, Financial, Analyze financial information, Financial Forecasting, Financial
Planning and Analysis, forecasting, Modeling, month end close, policies, pricing, reporting, SAP, SAS, Statistics, Tax, Teaching, valuation","
Bachelor of Arts
 
: 
Economics/Geography
 
University Of Cincinnati
 
- 
City
 
, 
State
MBA
 
: 
Finance
 
Bowling Green State University
 
- 
City
 
, 
State
Teaching Assistant Statistics/Economics
"
74849878.pdf,"FINANCE ASSISTANT
","
Work History
Finance Assistant
 
06/2013
 
to 
09/2013
 
Company Name
 
â€“ 
City
 
, 
State
 
Prepare financial statements, maintain accurate records in a database, generate reports and present data.
Enter revenue and expense transactions and prepare expense reports.
Prepare and file financial statements such as balance sheets and income statements.
Complete purchase orders and customer invoices.
Calculate sales taxes and make bank deposits.
Catering Specialist
 
01/2012
 
to 
06/2012
 
Company Name
 
â€“ 
City
 
, 
State
 
McAlister's Deli - Corpus Christi, TX 
5/7/12 - 1/2/13.
Duties included: sandwich making, order organization, order preparation and order delivery.
Maintained food handler certification.
Technician (full-time, spring semester) Managed a 350-client route.
Responsibilities included analyzing lawn, developing treatment programs to address each lawn's specific problems, monitoring lawn status,
evaluating its progress during every visit and adjusting custom treatment program.
Customer service representative/driver/food line
 
02/2009
 
to 
11/2011
 
Company Name
 
â€“ 
City
 
, 
State
 
Entered customer orders, prepared pizza dough and toppings, made pizzas and delivered customer orders safely within company time
requirements.
Education
Bachelor of Arts
 
: 
History
 
8 2014
 
Texas A&M University Corpus Christi
 
- 
GPA: 
Recipient of Rising Star Scholarship Academic Achievement
Award, Texas A&M
 
History Recipient of Rising Star Scholarship Academic Achievement Award, Texas A&M
Lone Star Community College
 
- 
City
 
, 
State
Diploma
 
: 
1 2008
 
Jersey Village High School
 
- 
City
 
, 
State
Skills
balance sheets, client, database, delivery, financial statements, funds, Excel, PowerPoint, Microsoft Word, progress, QuickBooks, sales, taxes,
Technician","
Bachelor of Arts
 
: 
History
 
8 2014
 
Texas A&M University Corpus Christi
 
- 
GPA: 
Recipient of Rising Star Scholarship Academic Achievement
Award, Texas A&M
 
History Recipient of Rising Star Scholarship Academic Achievement Award, Texas A&M
Lone Star Community College
 
- 
City
 
, 
State
Diploma
 
: 
1 2008
 
Jersey Village High School
 
- 
City
 
, 
State
"
59450123.pdf,"CORPORATE DIRECTOR OF FINANCE
"," Budgeting and financial management Superior time management Lean implementation 
Exceptionally
organized Advanced financial analysis 
MS Excel expert
Experience
Corporate Director of Finance
 
April 2014
 
to 
Current
 
Company Name
 
ï¼​ 
City
 
, 
State
Manage yearly budget process for Great Wolf Resorts.
Oversee quarterly production of board book which is distributed to executive committee and owners.
Analyze budgets, financial reports and projections for accurate reporting of financial standing.
Proposed and achieved cost savings by reducing labor and operating expenses.
Train and develop a group of analysts.
Assumed ownership of forecasting and strategic planning.
Developed annual budgets in collaboration with eleven properties and executive teams.
Identified and investigated variances to financial plans and forecasts by interpreting financial results.
Managed an annual budget that grew 22.9% in 2 years.
Forecast operating costs for projects by strategizing with VP of Finance, Regional Vice Presidents and Chief Operating Officer.
Hold two monthly calls with property director teams and Regional Vice President to review 30-60-90 day forecast and review previous
month's P&L.
Managing team implementing a new budget and forecasting system.
Senior Manager of Finance
 
June 2013
 
to 
April 2014
 
Company Name
 
ï¼​ 
City
 
, 
State
Implemented labor management system.
Manage financial analysts.
Created labor metrics to compare lodges and a dashboard to be published weekly to ensure lodges were operating efficiently and in a
profitable manner.
Hold two monthly calls with property director team and Regional Vice President to review 30-60-90 day forecast and review previous
month's P&L.
Senior Manager
 
November 2011
 
to 
June 2013
 
Company Name
 
ï¼​ 
City
 
, 
State
Created a Key-Performance-Indicator Dictionary for expenses.
Wrote and taught 'Business Basics' with Manager of Training in an effort to improve each property's business acumen.
Worked with finance to create new forecast templates.
Hold two monthly calls with each property's director team and Regional Vice President to review 30-60-90 day forecast and previous
month's P&L statements.
Operations Analyst
 
March 2008
 
to 
November 2011
 
Company Name
 
ï¼​ 
City
 
, 
State
Implemented and ran monthly calls to review P&L's of each lodge with Regional VP, Corporate Director of Retail, Corporate Director of
Food and Beverage, General Manager, and Director of Finance for each lodge.
Created pro formas for potential new companies or business ventures and ","
MBA
 
: 
Accounting
 
, 
1 2009
 
Lakeland College
 
ï¼​ 
City
 
, 
State
 
Accounting
Bachelor's Degree
 
: 
Accounting
 
Upper Iowa University
 
ï¼​ 
City
 
, 
State
 
Accounting
"
34250007.pdf,"FINANCE SUPERVISOR
","
Financial Analyst, Budget, Forecasts, Sarbanes Oxley, Sarbanes-oxley (sox), Sox, Testing, Marketing, Budgets, Finance, Financial Reporting,
Month End Close, Therapeutic, Basis, Accounts With, Balance Sheet, Daily Sales, General Ledger, Inventory, Of Sales, Sales, Sales And, State
Tax, Statistics, Filings, Financial Statements, Mentor, Accountant, Mutual Fund, Accounting, Audits, Commercial Loan, Daily Accounting, Lotus
Notes, Microsoft Office, Ms Office, Outlook, Reconcilements, Sap, Subject Matter Expert, Tableau Software, Team Player","
Bachelor of Arts
 
: 
Business Administration, Alliance, OH
 
Mount Union College
 
Bachelor of Arts in Business Administration, FinanceConcentration, Mount Union College, Alliance, OH
"
92524964.pdf,"FINANCE MANAGER
","
ACCOUNTING, Accountancy, computerized accounting, Trial Balance, Balance Sheet, Bank 
reconciliation, Budgets, Budget, Cash Flow,
competitive, Computer training, DBASE, Finance, Financial, financial reports, Foreign Exchange, General Ledger, IDS, INFORMIX 4GL,
insurance, Internal Audit, Ledger, LOTUS, managing, market, Marketing, MS-OFFICE, MIS, MSDOS, Payroll, PERSONNEL, Profit, quality,
Sales, Sun, Tax, TAXES, UNIX, WORDSTAR","
Bachelor of Commerce
 
1980
 
Andhra University
Post Graduate Diploma
 
: 
Financial Management
 
2001
 
Annamalai University
 
Financial Management Major Field of study - Accountancy Computer
Educations Diploma from Data Pro computers, Visakhapatnam. Accounting Package - Comanche, IDS, Tally 4.5, Touch Key, and Sun. MS-
OFFICE from Datapro Computers , Visakhapatnam
Personal Information
Name 
: Y.JOHN DIVAKAR Father's Name & 
: Late Y.KRUPA RAO Date of Birth 
: 09-04-1959. Nationality 
: Indian Marital Status 
: Married
Passport Number 
: J 1995772 Date of Expiry : 03-01-2021. Address for Communication : 87, Soi 12 Siam Mansion 12 D1.
Sukhumvit,Klongtoey Bangkok 10110. Hobbies 
: Reading Books and magazines, listening Music. Strengths 
: i. Good communication "
19147603.pdf,"FINANCE OFFICER
","
Work History
Finance Officer
 
, 
01/1997
 
to 
04/2014
 
Company Name
 
â€“ 
City
 
, 
State
 
Managed ","
Completed US Individual Income Tax Course by H& R Block 
1982 - Passed, Philippine CPA Board Exam
 
: 
1 1994
 
Bachelor of Science
 
: 
Commerce Accounting
 
, 
1 1975
 University of Batangas (formerly Western Philippine Colleges)
 
- 
City
 
Commerce Accounting
1 1
 
Junior Philippine Institute of Accountants
 
- 
Affiliations
Philippine Institute of Certified Public Accountants 
Government Association of Certified Public Accountants 2
"
19243556.pdf,"DIRECTOR OF FINANCE
","
Corporate Accounting, Accounting Operations, Audits, Cash, Filing, Financial Statements, General Ledger Reconciliations, 
Payroll and 
PR
Reconciliations, Accounts Payable, 
Bank Reconciliations, 
Asset Mgmt, Fixed Assets, Inventory Reconcilations, Journal Entry Maintenance,
Financial Reporting, 
Sarbanes-oxley, 
Adp Payroll System, Asset Management, Excel, Finance, Financial Analysis, Financial Operations, Kronos,
Oracle, Oracle Financials, Peoplesoft, Process Improvement, Quickbooks, Regulatory Compliance, Sales analysis, Sales Tax, , Staff Training,
Testing, Training, Treasury Management","
2000
Colorado State University
 
City
 
, 
State
 
, 
US
 
Bachelor of Arts
2002, Colorado State University Fort Collins, CO, USA
Bachelor of Arts
1995, Front Range Community College, Fort Collins, CO
Associates in Accounting
"
66741193.pdf,"DIRECTOR OF FINANCE
","
Excel, Access, PowerPoint, SAP,Â Oracle, MFG Pro, Hyperion, Khalix, TRAHQ","
Masters of Accountancy
 
:
 
Accounting
 
2005
 
UNC-Charlotte
 
, 
City
 
, 
State
 
, 
USA
Bachelor of Science
 
:
 
Psychology and Statistics
 
1999
 
James Madison University
 
, 
City
 
, 
State
 
, 
USA
Certified Public Accountant
"
24854026.pdf,"FINANCE CONSULTANT
","
Ad, B2B, budget, Business Intelligence, charts, credit, Data analysis, data warehouses, databases, decision-making, executive management, senior
management, external audits, Finance, FP&A, financial reporting, macros, Marketing, Access, Excel, month end close, negotiations, Enterprise,
optimization, Oracle, payment processing, pivot tables, processes, processors, reporting, retail, risk management, Sales, Sarbanes Oxley, SQL,
strategy, System administrator, Teradata, VBA","
STEVENS INSTITUTE OF TECHNOLOGY
 
2014
 
Master of Technology Management
 
: 
Management of Technology
 
City
 
, 
State
 
Management
of Technology
SETON HALL UNIVERSITY
 
2005
 
Bachelor of Science
 
: 
Business Administration Finance
 
City
 
, 
State
 
Business Administration Finance
"
59777056.pdf,"FINANCE PROJECT COORDINATOR
","
Proficient in Microsoft Office Suite Applications [Windows,Word,Excel,PowerPoint,Outlook]
MS Office Cloud ","
Liberty University
 
2014
 
Bachelor of Science
 
: 
Business Administration
 
City
 
, 
State
 
, 
US
Minor in Biblical Studies
Deans List 
Academic Achievement Award (2013)
Course"
