FileNumber,Role,Skills,Education
30990885.pdf,"SERVICE REPRESENTATIVE
","
banking, CPR, Fluent in English, financial, inventory, Excel, Microsoft Office, PowerPoint, Word, Microsoft Word, Works, POS, retail, Spanish,
phone","
Bachelor of Business Administration
 
: 
Accounting
 
, 
Summer 2016
 
University of Houston, C.T. Bauer College of Business
 
ï¼​ 
City
 
, 
State
 
GPA:
GPA: 3.52
 
Accounting GPA: 3.52
CPR Certification
 
: 
January 2015
 
GPA: 
Dean's List at the University of Houston 
Spring 2014 *Honor's List at HCC 
Spring 2013 *Dean's List at
HCC 
Spring 2012, Fall
 
Dean's List at the University of Houston 
Spring 2014 *Honor's List at HCC 
Spring 2013 *Dean's List at HCC 
Spring
2012, Fall
Microsoft Office Word 2007 Certification 
Spring 2012 *Microsoft Office Excel 2007 Certification 
Spring 2012
Languages
Fluent in English and Spanish
Interests
Volunteer Activities 2009-Present Volunteers at Alief Early College High School Participates as motivational speaker for younger students Assists
in students' extracurricular activities 2009-2013 Volunteered at the church of St. Cyril of Alexandria Waited tables during Thanksgiving Organized
and set up decorations for annual dance Assisted with fundraisers by selling seasonal items 2009-2013 Volunteered at Alief parks Cleaned Alief
Cemetery Improved Alief community by planting trees Beautified parks by cleaning garbage off grass Educational Projects Fall 2015 J-Vibe
Online Magazine Developed 
a successful marketing plan for a new business Spring 2014 DePelchin Children's Center Supported the spread child
abuse awareness by interacting with hundreds of people and informing them about various facts
Additional Information
ACTIVITIES Volunteer Activities 2009-Present Volunteers at Alief Early College High School Participates as motivational speaker for
younger students Assists in students' extracurricular activities 2009-2013 Volunteered at the church of St. Cyril of Alexandria Waited tables
during Thanksgiving Organized and set up decorations for annual dance Assisted with fundraisers by selling seasonal items 2009-2013
Volunteered at Alief parks Cleaned Alief Cemetery Improved Alief community by planting trees Beautified parks by cleaning garbage off
grass Educational Projects Fall 2015 J-Vibe Online Magazine Developed 
a successful marketing plan for a new business Spring 2014
DePelchin Children's Center Supported the spread child abuse awareness by interacting with hundreds of people and informing them about
various facts
"
13367322.pdf,"BARTENDER (ON CALL)
","
Phone call answering
Physically strong
Communication and presentation
Observation
Answering inbound calls
HIPAA and confidentiality
Client coordination
Personalized service
Monitoring progress
Patient relationships
Current fitness trends
Designing exercise programs
Fitness assessments
Exercise equipment operation
Safety-conscious
Planning and coordination
Organization
Relationship development
Customer service
First Aid/CPR
Team building
Problem resolution
Project organization
Experience
Bartender (On Call)
 
/ 
Company Name
 
- 
City
 
, 
State
 
08/2019
 
- 
Current
Checked identification of customers to verify age requirements needed for purchase of alcohol.
Confirmed customers' ages for alcohol service and discontinued service to intoxicated guests.
Operated cash register and Point of Sale (POS) system for transactions and made proper change for cash transactions.
Prepared over numerous mixed drinks and poured wine, beer and nonalcoholic beverages for average of two per patron per shift.
Managed bar area, including cocktail design and menu, inventory, regulation compliance and customer relationships.
Engaged in small talk with patrons to build rapport and earn repeat business.
Kept close track of bar tabs and transferred open tabs to dining area seamlessly, smoothing process for wait staff.
Restocked beer and liquor on regular schedule and after special events to prepare for forecasted needs.
Stayed up-to-date on latest in mixology trends, bar equipment and sanitation standards.
Stocked bar with beer, wine, liquor and related supplies.
Promoted customer safety by maintaining current list of available ride services for inebriated customers.
Monitored patrons to keep alcohol consumption in designated areas.
Advertised, marketed and recommended drink options to guests to increase guest satisfaction.
Upsold customers from shelf to premium brands to help boost sales.
Fitness Specialist
 
/ 
Company Name
 
- 
City
 
, 
State
 
01/2016
 
- 
Current
Communicated with patrons in fitness floor area to build positive atmosphere and offer exercise and equipment instructions.
Greeted and assisted guests entering facility to provide general information and answer questions.
Monitored fitness floor and observed equipment use to address safety concerns.
Promoted business and physical fitness by attending off-site promotional and community events.
Attended staff meetings and training sessions to maintain updated knowledge of policies and procedures.
Inspected equipment daily to identify and report wear, damage or malfunctions.
Led tours of fitness facility by guiding interested individuals, providing information and highlighting benefits of amenities.
Devised new programs and monitored client progress.
Developed and delivered at three weekly fitness classes.
Encouraged clients to engage in group fitness classes and other gym activities to meet fitness goals.
Administered various fitness assessments to measure client progress.
Re-racked weights and maintained neat, organized and clean club.
Guided clients in safe exercise, taking into account individualized physical limitations.
Watched clients during exercises and assisted with exercises.
Developed routines to avoid injuries, maximize effort and facilitate client attainment of personal fitness goals.
Server/Bartender
 
/ 
Company Name
 
- 
City
 
, 
State
 
06/2011
 
- 
07/2015
Operated POS terminals to input orders, split bills and calculate totals.
Educated guests on daily specials and menu offerings such as appetizers, entrees and desserts.
Satisfied customers by keeping drinks topped off and anticipating needs such as condiments and extra napkins.
Restocked nonperishables and other items, including condiments and napkins from inventory to keep pantry well-supplied.Checked patrons' identification to monitor minimum age requirements for consumption of alcoholic beverages.
Greeted customers, assisted with questions and made recommendations concerning daily specials, wine selections and desserts to guide
patrons toward more profitable items.
Promoted desserts, appetizers and specialty drinks.
Assisted individuals in selecting meal options, including entrees and desserts and recommended alternative items for those with food allergies
and gluten intolerances.
Completed opening and closing checklists by emptying trash, safeguarding alcohol and polishing silverware.
Cleaned dining area between guests with efficient sweeping, glass washing and spill removal.
Partnered with team members to efficiently serve food and beverages.
Managed closing duties, including restocking items and reconciling cash drawer.
Addressed concerns or complaints quickly to improve service and escalated more advanced issues to management for resolution.
Reviewed identification for patrons before serving alcoholic drinks.
Checked on guests to verify satisfaction with meals and suggested additional items to increase restaurant sales.
Minimized customer wait times by efficiently taking and filling large volume of orders each day.
Calculated charges, issued table checks and collected payments from customers.
Requested photo identification from patrons ordering alcoholic beverages to verify legal age of consumption.
Attended to new customers quickly to inquire about drinks and start off dining "," and Training
Parker High School 
- 
City
 
05/2005
 
High School Diploma
Arizona Western College
 
- 
City
 
, 
State
 
Some College (No Degree)
"
34792238.pdf,"WELLNESS DIRECTOR
","
SKILLS
Body composition evaluations
Telehealth ","
Data management
Supervision
Planning and Coordination
Training & Development
Leadership
Compassion
Conflict resolution
CERTIFICATIONS
Group Fitness Instructor, NIFS Certified
Certified Therapeutic Exercise Specialist, ACE Certified
Yoga, Tai Chi, Spin, TRX, Behavior Modification, Parkinson's, Health and
Wellness, Aquatics NETA, Aquatic Exercise and Science and ACE
Certified,
Mixed Martial Arts and Boxing certified Inspector, Association of Boxing
Commissioners.
Accounting, HR, Promotion
Administrative, Instructor, Public relations
Arts, Instruction, Quality
Budgets, Leadership, Quality control
Business operations, Managing, Relationship-building
Coaching, Marketing, Safety
Chi, Market, Sales
Interpersonal, Access, Statistics
Excellent, NETA, Supervision
Communication, Organizational, Team player
Conflict resolution, Personnel, Trainer
Clients, Camera, Video
Data management, Policies, Composition
Delivery, Presentations
Educator, Pricing
Finance, Processes
Financial, Profit
Forms, Program development
Functional, Progress
"
23477199.pdf,"R&D NEW PRODUCT DEVELOPMENT TECHNICIAN
","
Organizing and recording data into Microsoft Word and Excel
Detail Oriented
Blueprints
Equipment operation
GMP
GLP
ISO
Lean Manufacturing
Mechanical Assembly
Testing products
Quality Inspection
SOP
Troubleshooting
Validation
Leadership ability
Development and training
Strong communicator
Ability to ","
High School Diploma
 
: 
2012
 
Lowell High School
 
- 
City
 
, 
State
 
Bachelors degree
 
: 
Science, Quality Engineering
 
Southern New Hampshire University
 
- 
City
 
, 
State
 
"
17576030.pdf,"FITNESS CONSULTANT
"," 
CPR/AED Certified
CPI Certified (Crisis Prevention Intervention) 
THSCA Member (Texas High School Coaches Association)","/Coach
 
Company Name
 
ï¼​ 
City
 
, 
State
Taught in the DAEP (Disciplinary Alternative Educational Program) Also "
32517106.pdf,"CASHIER
","
Cash handling
Able to lift 100 pounds
Professional and friendly
Careful and active listener
Additional Information
Extra-Curricular Activities Anything involving physical fitness, such as : Jogging, Playing football and basketball, weight lifting and cycling.
Additional Information Volunteer History: Sea Born Lee Elementary Prodigy Project Reading Program ( A nonprofit reading program
geared toward innercity boys ages 59 years of age), Westlake High School Contributed to HOSA blood drive Assisted with 89 year old
football team in South Fulton County (responsible for running passing drills, running "," and Training
Fitness Nutrition Certification , Personal Training Certification
 
: 
Nutrition Science, Human Anatomy and Physiology Weight Loss Management
2013
 
National Academy Of Sports Medicine
 
City
 
, 
State
Course"
21178545.pdf,"EMERGENCY DEPARTMENT PHYSICIAN
",," and Training
Endocrinology Clinical and Research Fellowship
 
2016
 
Duke University Medical Center
 
ï¼​ 
City
 
, 
State
 
, 
US
Endocrinology Clinical and Research Fellowship at Duke University Medical Center.
Anticipated completion June 2016.
Master of Science
 
, 
Clinical Research
 
2016
 
Duke University
 
ï¼​ 
City
 
, 
State
 
, 
US
Anticipated graduation May 2016.
Internal Medicine Residency
 
2013
 
Virginia Commonwealth University
 
ï¼​ 
City
 
, 
State
 
, 
US
Medical Doctorate
 
2010
 
Medical College of Georgia
 
ï¼​ 
City
 
, 
State
 
, 
US
Bachelor of Science
 
, 
Biology
 
2006
 
University of Georgia
 
ï¼​ 
City
 
, 
State
 
, 
US
Magna Cum Laude with High Honors
Bachelor of Science
 
, 
Family and Consumer Sciences, Nutrition Science
 
2006
 
University of Georgia
 
ï¼​ 
City
 
, 
State
 
, 
US
Magna Cum Laude with High Honors
"
22855060.pdf,"PERSONAL TRAINER
","
Clients, Training, Customer Service, Operations, Receptionist, Retail Sales, Sales, Account Management, And Sales, Bookkeeping, Cash, Cash
Register, Closing, Correspondence, Credit, Credit Card, Customer Relations, Database, Databases, Documentation, Increase, Instructor,
Inventory, Maintenance, Merchandising, New Sales, Of Sale, Payroll, Point Of Sale, Promote Sales, Recruiting, Sales And, Sales Associates,
Sales Events, Sales Team, Satisfaction, Scheduling, Telephone, With Sales, Associate, CPR, Front Desk, Training Programs",", and accountability. * Assisted clients in determining their overall
health, nutrition, and fitness goals, then determined tailored "
39805617.pdf,"EQUIPMENT OPERATOR AND FITNESS LEADER
"," Course 
Completed
2013 Center For Security Forces - Gulfport, MS U.S. Navy Certified Equipment Operator 
: 
Home Health Aide 
Completed
 
, 
2014
 
Ventura
Training Institute
 
ï¼​ 
City
 
, 
State
 
Home Health Aide 
Completed
Equipment Operator School
 
ï¼​ 
City
 
, 
State
Skills
attention to detail, backhoe, customer service, directing, forklift, 97, Navy, Naval, organizing, personnel, problem solving skills, repairs, sales,
utilities
Additional Information
Awards and honors Navy and Marine Corps Achievement Medal 
2013 Good Conduct Medal 
2013 National Defense Medal 
2010 North
Atlantic Treaty Organization Medal - ""Unified Protector"" 
2012 Global War on Terrorism Medal 
2012 Meritorious Unit Commendation
2012 Blue Jacket of the Quarter 
2012 Letter of Commendation from Commanding Officer 
2012 Letter of Appreciation from Commanding
Officer 
2012 Letter of Appreciation from Security Officer 
2011"," and community involvement.
Completed Associate Degree in General studies, Certified Nurse Assistant, and Home Health Aide in between training and competing in 2
half marathons.
In addition, volunteered for Special Olympics relay, Breast Cancer Awareness 5K, Walk for Alzheimer's, Sexual Assault Awareness relay,
and helped raise $2400.00 in carwash donations on behalf of the Navy.
Equipment Operator, Fitness Leader
 
January 2010
 
to 
January 2013
 
Company Name
Administration and Management Lead operator for utilities branch water distribution system repairs.
"
18767449.pdf,"GROUP EXERCISE FITNESS INSTRUCTOR
Background, ","
Accountability
Team Building
Staff Motivation
Staff Training
Employee Scheduling
Experience
Group Exercise Fitness Instructor
 
03/2009
 
to 
Current
 
Company Name
 
City
 
, 
State
Instruct group exercise classes to help strengthen and tone body
Demonstrate the correct way to use exercise equipment
Administrator Support Assistant II
 
09/2005
 
to 
03/2006
 
Company Name
 
City
 
, 
State
Verified that Information reported on tax returns adheres to applicable tax laws and regulations
Maintained accurate filing system of tax related documents
Updated tax returns made during audit process
Transferred important documents to the appropriate department when requested.
Administrator Support Assistant II
 
11/2003
 
to 
04/2004
 
Company Name
 
City
 
, 
State
Planned and scheduled meetings, conferences, teleconferences, and travel
Answered or directed inquiries
Maintained taxpayer confidentiality
Completed projects assigned by staff
Nursery Director
 
04/2001
 
to 
12/2008
 
Company Name
 
City
 
, 
State
Supervised all nursery ministry staff
Developed reports for Ministry Coordinator and Senior Pastor
Recruited qualified and ","
Computer Information System Business Management
 
Alabama State University
 
City
 
, 
State
 
â€‹â€‹
 â€‹
Bachelor of Science
 
: 
Business Management
 
Huntingdon College
 
City
 
, 
State
Computer "
