FileNumber,Role,Skills,Education
17864043.pdf,"CORPORATE REGIONAL RECRUITER
","
premier, advertisements, Agency, basic, business development, Closing, Corporate Communications, client, clients, databases, database,
designing, documentation, hiring, HRIS, Human Resources, HR, letters, Director, market analysis, Marketing Strategies, marketing, Market,
marketing materials, Media Relations, meetings, Works, net","
B.A
 
: 
Sociology
 
08/1998
 
Portland State University
 
City
 
, 
State
 
Sociology
Languages
Bilingual in Spanish
"
49325370.pdf,"HEALTHCARE EFFECTIVENESS DATA AND INFORMATION SET COORDINATOR (HEDIS)
"," / Master New Concepts Quickly / Initiate Document Control and Processing Information / High
Level Customer Service and Detail Oriented / Report Composing and Document Presentation / Thorough Investigation and Monitoring / Patrol
and Crowd Control Access
Core Qualifications
Microsoft Office Suite expert
People-oriented
Organized
Exceptional communicator
Deadline-oriented
Schedule management
Report analysis
Medical terminology
Experience
Healthcare Effectiveness Data and Information Set Coordinator (HEDIS)
 
08/2013
 
to 
Current
 
Company Name
 
City
 
, 
State
Healthcare Effectiveness Data and Information Set Coordinator (HEDIS). Educate and inform members about past due clinical services that
improve member health outcomes and increase Health Plan HEDIS rates. Make outbound calls to members; providing assistance with
obtaining services by assisting with appointment scheduling, arranging transportation, and conducting reminder calls and/or emails. Conduct
HEDIS provider chart request calls and faxes to support medical record capture for HEDIS supplemental data review and abstraction.
Record and document all member and provider outreach activity using Microsoft Office Suite applications and web-based technology.
Review member Health Plan eligibility using Georgia's Medical Management Information System (MMIS). Review member claims data to
determine need for services using the Health Plan proprietary information system. Identify and refer members to internal programs and
services like Case Management and Disease Management. Maintain strict confidentially and ensure compliance with Health Insurance
Portability and Accountability ACT (HIPAA) during all outreach activities.
Managed incoming and outgoing calls for busy medical office.
Successfully established effective systems for record retention by creating database for daily correspondence tracking.
Scheduled and confirmed appointments for entire management team.
Loss Prevention/Security Officer
 
12/2011
 
to 
02/2013
 
Company Name
 
City
 
, 
State
Partnered with local store management to meet strategic loss prevention objectives.
Executed internal and external surveillances using state-of-the-art detection and investigation systems.
Prepared data for property and damage reports, recording malfunctioning of facility equipment, and attended weekly staff meetings to
discuss the damage reports.
Detected and apprehend shoplifters, processing and recovering of merchandise, prepared case reports on theft details and maintained an
effective relationship with local law enforcement agencies.
Represented Macy's in court proceeding related to apprehensions and ensured high execution of company security measures designed to
control store and shrink.
Developed staff training for designated stores.
Security Officer
 
07/2010
 
to 
10/2011
 
Company Name
 
City
 
, 
State
Patrolled designated areas watching for unusual conditions that create security concerns or safety hazards.
Monitored and authorized entrance and departure of employees, visitors, and other persons to guard against theft and maintain premise
security.
Investigated, prepared reports, and maintained written logs on accidents, incidents, and suspicious activities.
Answered telephone calls, taking messages, and answered questions providing information during business and non-business hours.
Observed departing personnel to protect against theft of company property and ensured authorized removal of property was conducted
within appropriate client requirements.
Account Receivables/Administrative Assistant
 
07/2007
 
to 
10/2008
 
Company Name
 
City
 
, 
State
Investigated discrepancies, issued debit memos, reviewed aging balance reports to identify past due accounts, collection calls, and month-
end close activities.Accounts receivable reconciliations; utilized collection screens to quickly analyze account and met department goals by reducing delinquency
and controlling losses at a considerably high margin.
Fielded all calls on 12- line multi phone system, responded to email and fax inquiries, managed mail and client trafficfor the body shop,
upgraded office filing system for improved efficiency in locating customer files, handled all official company correspondence, analyzed and
reconciled all final billing statements to ensure the correct amount of funds were collected and applied before file closeout.
Displayed excellent interpersonal skills and phone manner during interaction with insurance agents, co-","
Certified Medical Office Assistant
 
: 
Medical Administration
 
2009
 
Kennesaw State Continuing Education
 
City
 
, 
State
 
, 
USA
â€¢Medical Office Receptionist/Support Specialist, Patient Scheduling, Medical Records/Documents, CMS 1500 Medical Billing, Medical
Terminology/Basic Anatomy and Physiology, Specialized Billing/Reimbursement, Business Skill and Management, 80 hour Medical Externship at
WellStar Medical Center, Certified CPR w/AED
"
32219038.pdf,"ENUMERATOR
","
administrative, administrative support, attention to detail, benefits, Cash handling, com, Critical Care, customer satisfaction, Customer Service,
Data Entry, databases, documentation, Filing, financial, forms, interpretation, managing, Medical Billing, Excel, mail, Microsoft Office, Outlook,
PowerPoint, Word, Nursing, pivot tables, Coding, progress, quality, reading, real time, reporting, Research, SAP, Scheduling, Fluent 
in Spanish,
surveys, telephone, phone, Time Management, type, websites"," and status on previously
submitted pre-authorizations or pre-determination requests Meet the performance goals established for the position in the areas of:
efficiency, call quality, customer satisfaction, first call resolution and attendance.
02/2013
 
to 
10/2015
Receptionist II
 
Company Name
 
- 
City
 
, 
State
Performed varies administrative tasks requiring the exercise of discretion and judgment and provided administrative support to faculty and
staff in the Critical Care Department.
Greets visitors and directs them to the appropriate staff.
Initiates purchase orders, and travel reimbursements in SAP.
Answered the telephone and assists callers; reads and routes incoming mail.
Overseen the filing and maintenance of correspondence and other records, and entered, tracked and maintained timesheets for division
employees and faculty.
Strong proficiency in Excel (pivot tables/data creating and formatting) for reports.
Maintained and provided assistance with the interpretation of various reports and forms.
Developed and maintained databases, data forms, and progress reports.
Flexible, highly organized, productive, & possess exceptional time management "
25834360.pdf,"FIELD NURSE
","
clarify, CA, focus, law, Nursing, processes, scheduling, statistics, teaching"," Body mechanics knowledgeMedical clinical 
Specimen
collection/processing proficiency procedures comprehension
"
32563518.pdf,"SR. PROJECT MANAGER
","
Skills
Experience
Total Years
Last Used
Windows, VMWare, SQL, Mobile Development
Professional Experience
Sr. Project Manager
 
08/2012
 
to 
Current
 
Company Name
 
City
 
, 
State
Responsible for software lifecycle in the Cloud Realization group Manages multiple projects that involve planning, development of business
and technical requirements, testing, deployment, and operational support of new products and features for AT&T's Cloud Services Leads
cross-functional project team meetings, coordinates resources, facilitates communication with stakeholders, and drives project tasks, issues,
and action items to completion or resolution Develops and manages detailed project documentation including project timelines, leadership
status reports and presentations, issues logs, and meeting minutes Consults directly with clients on business goals, tools, strategy and best
practices for software development Participate in consulting engagements with vendors (SOW, RFPs).
Responsible for project discovery and planning all aspects of AT&T Cloud environment project budgets and financials Responsible for all
aspects of pre-production lab planning, testing, deployment, and scheduling for AT&T Cloud Services projects.
Manage all internal and external communications to project team members on project scope.
Improved efficiency and process with change management, reducing net","
Master of Business Administration
 
2017
 
WALDEN UNIVERSITY
 
City
 
, 
State
Project Management Certificate Course
 
2011
 
Clayton State University
 
City
 
, 
State
Bachelor of Business Administration
 
: 
International Business Marketing
 
2004
 
American American Intercontinental University
 
City
 
, 
State
International Business Marketing
"
25328428.pdf,"HOME HEALTHCARE TECHNICIAN
","
Clinical training
Strong medical ethic
Enthusiastic caregiver
Extensive medical terminology knowledge
Practiced inpatient and outpatient caregiver
Patient/familyfocused
Blood Withdrawal certification
Abides by infection control standards
Flow sheet charting skillfulness
CPR/BLS certified
Talent in obtaining/charting vital signs
Patient positioning understanding
Qualified in specimen collection/processing
Abides by infection control standards
AED certification
Problem resolution ability
Medical Assisting specialist
Quality control procedures
Strong organizational skills
Active listening skills
Courteous demeanorâ€‹
Energetic "," and Training
2015
Jeremiah's Hope Academy
 
City
 
, 
State
 
, 
United States
 
Patient care tech./ EKG Tech., Phlebotomy Tech.
 
This program taught me Patient care
technician with Phlebotomy, EKG and BLS CPR. I did very well inall my classes and in my clinicals I also was taught extensive medical
Technology. Also teaching me that heathcare is very inportant in everyones daily lives.
Wallace State Community Ccllege
 
City
 
, 
State
 
, 
United States
 
Paralegalisum
 
I did not graduate because my husband and I had parents that got
very sick, so I had to stop school and take care of our parents. Â While doing this I realized I wasnted to go back into the medical field so I could
make a difference.
1993
Dora High 
School/ Wallace Community College
 
City
 
, 
State
 
, 
United States
 
GED
 
: 
General Studies
 
General Studies. I went to Dora High School
in 1978 but did not return. I then took my GED and achieved that in 1993.
"
34594746.pdf,"AUDIT AND RECOVERY SPECIALIST
"," and Accomplishments
Trained in HIPPA, FDCPA, and Medical Terminolgy.
Call Center Service Operations, Multi phone/Multi Monitor Use, Complaint Handling/Dispute Resolution, Records Management, 10-Key,
Account Management, Active Learning, Calendaring, Client Relations, Computer Proficiency, Coordination, Creative Problem Solving, Critical
Thinking, Customer Needs Assessment, Customer Service, Sales, Insurance,Collections, Data Collection, Data Entry, Documentation, Email,
Executive Management Support, Filing, Grammar, Internet Research, Report Transcription, Research, Scheduling, Service Orientation, Speaking,
Spreadsheets, Telephone Skills, Time Management, Typing, Vendor Management, Writing, Letters and Memos, Lotus Notes, Minute Taking,
Multi-Task Management, Organizational Skills, Prioritization, Proofreading, Reading Comprehension.
Computer Skills
Microsoft Office Suite, Microsoft Excel, Microsoft Word, Microsoft Outlook,Microsoft PowerPoint, Windows, PeopleSoft, Visual/Content
Manager, Mainframe, Clarify, AS400, Epic, SAP, Type 45 WPM.
Education and Training
Business Management
 
2018
 
Prairie State College
 
, 
City
 
, 
State
High School Diploma
 
:
 
General Studies
 
2012
 
Harlan Community Academy Highschool
 
, 
City
 
, 
State"," and Training
Business Management
 
2018
 
Prairie State College
 
, 
City
 
, 
State
High School Diploma
 
:
 
General Studies
 
2012
 
Harlan Community Academy Highschool
 
, 
City
 
, 
State"
91478356.pdf,"PATIENT CARE TECHNICIAN
","
Patient services
Feeding assistance
Qualified in patient transport
Adaptable
Professional bedside manner
Culturally-competent care
Mobility assistance aptitude
Infection control and aseptic procedures
Documenting behaviors
Patient assessments
Conducting intakes
Data entry
Measuring bodily fluids
Direct patient care
Inpatient care
Patient privacy
Charting and clinical documentation
Recording vital signs
Work History
Patient Care Technician
 
, 
03/2015
 
to 
Current
 
Company Name
 
â€“ 
City
 
, 
State
 
Under the direction of the Nurse Manager, or designee, the Patient Care Technician assists the ","
High School Diploma
 
Armijo High School
 
- 
City
 
, 
State
 
Some College (No Degree)
 
: 
Criminal Justice And Nursing
 
Solano Community College
 
- 
City
 
, 
State
 
Certifcate 
: 
Medical Assisting
 
, 
2011
 
Boston Reed
 
- 
City
 
"
20748468.pdf,"HEALTHCARE ADMINISTRATOR/OPERATIONAL AND STAFF REORG
","
Reorganization Procedural Evaluations
Ability to collect/analyze/report data
Can easily ","
Bachelor of Arts
 
, 
Psychology
 
University of Southern California
 
ï¼​ 
City
 
, 
State
Graduated Magna Cum LaudeAssociate of Arts
 
, 
Social Sciences
 
Long Beach City College
 
ï¼​ 
City
 
, 
State
Graduated With Honours
"
93988900.pdf,"HEALTHCARE CONSULTANT
"," Used
Microsoft Office, Smarttech SMART Board, Public Speaking, Public Relations, Marketing, Sales
Instructor/Writer - Combat Medic Advanced Individual Training
1st Detachment, 108th Training Command - Augusta, GA - November 2014 to October 2015
Train, lead, and mentor upcoming healthcare specialists.
Be the example of ""what right looks like"" for new healthcare practitioners to follow.
Read, revise/edit, publish and teach course material for a healthcare program that graduates over 30,000
individuals annually.
Project management regarding training program tasks.
Supervise the logistics of monthly synchronization meetings from catering and event planning to security and
logistics for monthly gatherings of key leaders in public venues.
Teach NREMT curriculum to students attempting EMT certification.
Evaluate NREMT practical skills for EMT certifications.
Teach CPR/BLS.
Teach TCCC core curriculum and advanced skills.
Teach additional skills such as mass casualty management, patient administration, disaster management,
critical thinking, leadership development, convoy operations, logistics, supply chain management, and other
necessary skills to be a Healthcare Specialist in the US Army.
Instructor/Writer - Infantry Battlefield First Aid
Alpha Company, 2nd Infantry Battallion, 29th Infantry Regiment - Fort Benning, GA - November 2012 to
November 2014
Responsibilities
Teach TCCC core curriculum and First Aid to classes of up to 220 Infantryman.
Teach additional skills such as mass casualty management, critical thinking, leadership development, medical
evacuation logistics, and other necessary skills to save lives.
Supervise records management of instructor credentials, supply orders, equipment maintenance, and
building/site maintenance.
Emergency Care Sergeant, Squad Leader
Echo Company, 2nd Infantry Battallion, 29th Infantry Regiment - Fort Benning, GA - April 2011 to
November 2012
Hospital, Pre-Hospital, Long-term Geriatric Population, VA Home/Clinic, Acute Care, Phlebotomy/Lab,
Immunization Clinic, Medical/Surgical Ward, PACU, ICU, Pediatric Emergency Department, Telemetry,
Behavioral Health Ward*
Supervised 2 noncommisioned officers and 10 soldiers. Assigned them to 5 ambulance teams. Managed their
duties and helped resolve their personal issues in order to make them effective leaders and efficient medics.
Responsible for medical equipment sets valued at over $100,000.00 each including vehicles and HAZMAT.
Designated as the primary Information Technology point of contact within the section, implemented and
oversaw the transition to paperless office management and streamlined previously cumbersome and outdated
communications methods.
Emergency Care Specialist
Headquarters and Headquarters Company/Bravo Company, 1-41 Infantry Batallion, 3rd Brigade, 1st Armor
Division - Fort Bliss, TX - June 2009 to June 2011
Responsibilities
Clinical patient care, austere/remote medical care.
Live Fire training exercises and medical support.
Individual and crew served weapons training.
Infantry tactics and SOP's
Microsoft Office 2013, Word, Excel, Powerpoint, Adobe Acrobat Professional, Adobe Photoshop,
Solid","
High School Diploma
 
2004
 
Winter Park High School
 
City
 
, 
State
Personal Information
Service Country: United States Branch: Army Rank: Sergeant 2004 to October 2015 Honorable Discharge
Willing to relocate: AnywhereInterests
Highly "
