FileNumber,Role,Skills,Education
30563572.pdf,"HR MANAGER/BUSINESS PARTNER
","
Self-motivated, detail oriented, organized, customer focused
Maintains high level of confidentiality
Proficient with MS Word, Excel, PowerPoint, Outlook
Performance management strategies
Employment law knowledge
Employee relations
Manager coaching and training
HRIS applications proficient
Talent management
Employee Relations
Coaching
Talent Acquisition
Workforce planning
Experience
HR Manager/Business Partner
 
January 2000
 
to 
January 2014
 
Company Name
 
ï¼​ 
City
 
, 
State
Point of contact for multiple business groups of 400+ employees including various support groups Finance, Legal, IT, etc.) and other
business units such as Manufacturing, Marketing, and Service.
Strategic Business Partner â€“ Partnered with Vice Presidents, Directors, and other management on ","
B.S
 
: 
Business Administration
 
California State University
 
ï¼​ 
City
 
Business Administration
SPHR Certification â€“ (2010-present) HR Certification Institute
"
39970711.pdf,"HR & SAFETY MANAGER
"," HR Strategic Planning Training & Development Performance
Management Organizational Development Mediation & Advocacy Staff Recruitment & Retention Employee Relations Alternative Dispute
Resolution (ADR) Benefits Administration Project Management Orientation & On-Boarding HR Policies & Procedures Employment Law
FMLA/ADA/EEO/WC HRIS Technologies
Experience
HR & Safety Manager
 
January 2013
 
to 
January 2014
 
Company Name
 
ï¼​ 
City
 
, 
State
Rapidly growing transportation, distribution, and warehousing company Serving the HR and safety needs of the organizations' various
operations, while leading the change management and cultural transformation efforts to support continued growth and expansion.
Key Results: Consolidated two small group medical plans with different plan years into a large group plan to maintain the same quality of
health plan while saving the organization 75% on the year-over-year premium increase.
Improved the benefit offerings by adding never before offered dental insurance, voluntary term-life insurance, a vision discount program,
employee assistance program (EAP); while expanding the available short-term disability and accident insurance to all of the organizations'
associates.
Streamlined the unemployment and Ohio Bureau of Worker's Compensation (BWC) systems to create consistency and reduce costs.
Site Supervisor (HR Generalist)
 
January 2011
 
to 
January 2013
 
Company Name
 
ï¼​ 
City
 
, 
State
Providing HR support for the operations management team of the company's second largest revenue producing account, while also assisting
the organization's staffing firm, and championing special projects for the HR department.
Key Results:.
Collaborated with the operations management team to recruit, train, and develop a high-performance ",", managing staff scheduling, and coordinating and documenting treatment.
Within scope of this responsibility, also directed the personnel operations of 1,000-person medical company, including file documentation,
plan monitoring, and processing and training and development documentation.
Progressively assumed increasing levels of responsibilities, positions, and earned promotions ahead of peers.
Key Results: Utilized Microsoft Access to automate previously manual documentation processing system for 1,000-person company,
resulting in elimination of lost documents, communication breakdown and improved tracking of personnel activity.
Served as unit Joint Commission and Accreditation of Healthcare Organization inspector and committee representative for an organization
earning difficult-to-achieve 100% score on accreditation and maintaining it under 2-year tenure.
Adapted formal standard operating procedures (SOP) through use of job and task analysis techniques; implemented resulting changes to
enable flexibility within diverse environment, resulting in a 30-40% improvement rate and increased operational productivity.
Received multiple medals of recognition from U.S.
Army including: 3 Commendation Medals, 2 Army Achievement Medals, 1 Good Conduct Medal and various other decorations.
Awarded Noncommissioned Officer of the Quarter, 109th Medical Battalion, Third Quarter 2003.
Education
Master of Science (MS)
 
: 
Human Resource Management
 
, 
2016
 
Keller Graduate school of Management, Devry University
 
ï¼​ 
City
 
, 
State
 
Human
Resource Management
Bachelor of Science (BS)
 
: 
Human Resource Management
 
Franklin University
 
ï¼​ 
City
 
, 
State
 
Human Resource Management "
44476983.pdf,"HR BUSINESS PARTNER
","
Leadership development
Collaborative
Organization and efficiency
Exemplary verbal and written communication
Time management
Conflict mediation
Self-starter
HR "," and Training
Alaska Pacific University
 
|
 
City
 
, 
State
 
|
 
05/2004
 
Bachelor of Arts
 
: 
Organizational Management, Human Resources
Additional Information
Organized, strong attention to detail, dedicated and committed to excellence
Computer Literacy
Proficient in Microsoft Suite - Word, Excel, Powerpoint, Outlook
Various Oracle based HRIS, Budget and Accounting Software and Databases"
18155310.pdf,"HR COORDINATOR
","
Customer Service, Receptionist, Retail Sales, Advertising, Budget, Corrective Action, Cost Reduction, Forecasting, Maintenance, Office
Manager, Paying, Scheduling, Surveying, Accounting, Administrative/financial, Buying/procurement, Financial/accounting, Inventory, Inventory
Control, Purchasing, Affirmative Action, Bi, Business Intelligence, Claims, Clients, Coaching, Compensation, Contracts, Disciplinary Procedures,
Employee Engagement, Fmla, Hr, Interviewing, Managerial, New Hire Paper",al opportunities; reading 
23155093.pdf,"HR MANAGER
","
Management, Administrative Support,Â Coach,Â Excellent communication skills, Customer service,Â French,Â Human resources,
Leadership,Â Team Lead,Â Mentor,Â Effective communicator, Project Management, Project Lead,Â Researching,Â Spanish, Supervision.","
BAS
 
:
 
Management & Organizational Leadership
 
2012
 
St. Petersburg College
 
Management & Organizational Leadership
Associate of Arts
 
2010
 
St. Petersburg College
Associate of Arts
 
1996
 
Arthur Community College
Languages
"
30646367.pdf,"HR ASSISTANT/PAYROLL
","
ABRA, academic, Benefits, benefits administration, billing, bi, Ceridian, conflict resolution, Crystal Reports, HRIS, Human Resources, HR,
insurance, Process invoices, local government, materials, meetings, Excel, PowerPoint, Microsoft Word, Payroll, PeopleSoft, performance
reviews, personnel, policies, QuickBooks, reporting, safety, sales, SAP, spreadsheets, tax, tax returns, written","
B.B.A
 
: 
Human Resources
 
Human Resources
MIOSHA Level One Certification 
Baker College 
General Industry Certification
 
Macomb Community College
 
ï¼​ 
City
 
, 
State
"
16877897.pdf,"ASSISTANT MANAGER - HR
www.linkedin.com/in/sumankumari725b9236
","
SAP R/3 4.7, MS Office (Word, Excel, Power Point, Outlook, Internet Applications). *Have good understanding of SQL, HTML, CSS and
JavaScript. *Operating Systems: Windows 95/98/2000/XP *Functional Knowledge: Recruitment, Organization Management, Time
Management, Payroll, Benefits, Personal Administration, Training and Development, ESS, Performance Appraisal.
Work History
Assistant Manager - HR
 
, 
09/2012
 
to 
08/2013
 
Company Name
 
Generalist profile - Recruitment, Training & Development, Performance Appraisal, Employee Engagement, Audit, SAP-HR PA -Personnel
Administration Defined the Enterprise Structure, Personnel Structure and Pay Scale Structure for the enterprise and linked the Pay Scale
and Enterprise Structures.
Configured user parameters and the number range intervals for personnel numbers.
Configured personal data.
Customized the basic settings for Personnel Administration.
Customized personnel actions and the reason for change in personnel action Configured Personnel Area Groupings and Employee
Groupings.
Assigned Personnel Area to Company Code.
Performed various personnel actions, specifically, hiring employees, performing organizational reassignment, change in pay, termination.
PA30, PA40, PA10, PA20 Recruitment & Selection Involved in the full life cycle of the Recruitment Process.
Induction of New joiners.
Preparation of Job Description and Roles & Responsibilities of department.
Training & Development Responsible for Establishment, Implementation & Maintaining effective Training & Development system in the
organization.
Deployment of Competency Model (Competency Mapping /Skill Mapping).
Training Need Identification of employees through PMS & IDP and Workmen through Skill Matrix.
Preparation & circulation of Annual as well as Monthly Training Calendar as per QMS (ISO/TS 16949:2009 & OHSAS).
Designing & developing Training procedures, Modules, Training syllabus & activities in consonance with training requirement with faculties.
Organizing internal & external training programs, OBT's, Events & Workshop.
Creating Pre & Post-Training Assessment Tools (Evaluation/Effectiveness) - Written Test & Feedback Form to gauge the present skill &
gap.
Preparation of training budget with cost reduction initiatives.
Employee Engagement Build connect with employees and their families as per part of engagement initiative by conducting welfare and sports
events, new initiatives, medical support and benefits.
Cascaded business plan and goal at unit level through formal and informal communication set up.
Organized various activities like Get-together, Birthday, Painting competition, Safety day celeb, Kaizen competition, sports activity, Auto
related games etc.
Performance Management Co-ordination with Functional Heads in setting up of KRA's of employees.
Timely distribution of Performance Appraisal Form to all the departments.
Involved in Mid - review and yearly appraisal and delivery of appraisal/promotion letters on time.
Also used to take care of performance review of trainees and probationers.
Statutory Compliance & Grievance Handling Involved in Provident Fund, Gratuity, Labour Welfare Fund, Factory License renewal,
Contract Labour Management, Labour welfare, Standing Order & resolving IR issues in the plant.
TPM Was appointed as TPM ET-Pillar Head in the plant and was responsible for Education & Training of staff and ", & Training of staff and 
13879043.pdf,"HR CONSULTING
","
benefits, budget, client, delivery, hiring, Human Resource, HR, Insurance, Leadership, People Management, Managerial, Managing, market,
Mentor, MIS, negotiations, net","
2007MBA
 
: 
Human Resource Management
 
KIMS University Karnataka University
 
Human Resource Management
2005
Bachelors of Commerce
 
BNDC University : Karnataka University
Masters of Business Administration
Interests
ACADEMIC CREDENTIALS COMPUTERS CORE COMPETENCIES AND AWARDS
"
26671167.pdf,"DIRECTV HR RECRUITER/ ADMINISTRATION
","
Professional and friendly
Careful and active listenerExceptional 
multi-tasker
Delivers exceptional customer service
Computer knowledge and skillsâ€‹
Neat, clean and ", and 
29149998.pdf,"HR ASSISTANT
","
Accounting, ADP, analytical skills, AP, AR, Benefits, billing, Call center, Great communication skills, Interpersonal skills, credit, clients, Customer
Service, customer service skills, database, Detail-oriented, Employee Relations, expense reports, Filling, Filing, hiring, Human Resource
Management, Human Resources, Human resources 1, processing of invoices, leadership, ledger, logistics, mentor, MS Office Suite, Office
Management, Oracle, Organizational Development, payroll processing, Peachtree, personnel, promotion, QuickBooks, Recruitment, Scheduling,
Spreadsheets, spreadsheet, telephone, phone, website","
Associates of Science
 
: 
Human resources and Organizational Leadership
 
RASMUSSEN COLLEGE
 
ï¼​ 
City
 
, 
State
 
Human resources and
Organizational Leadership
06/2016
Administration leadership, Communications in your profession, Accounting, Employment Laws, Human resources 1 and Organizational
Development. Member of Society for Human Resource Management (SHRM) PHR certificate after graduation Volunteer "
