FileNumber,Role,Skills,Education
18176523.pdf,"SENIOR INFORMATION TECHNOLOGY MANAGER
","
3Com, A+, Active Directory, Backup, Bay net","
Bachelor of Science
 
, 
Industrial Technology
 
East Carolina University
 
ï¼​ 
City
 
, 
State
 
, 
USA
Industrial TechnologyCourse"
25857360.pdf,"STAFF ASSISTANT
","
75
 
WPM typing speed
Excellent communication skills
Articulate and well-spoken
Accurate and detailed
Advanced clerical knowledge
HIPAA compliance
Advanced clerical knowledge
Works well under pressure
Work History
STAFF ASSISTANT
 
08/2007
 
to 
Current
 
Company Name
 
â€“ 
City
 
, 
State
 
Currently ","
Associate of Arts
 
: 
General Studies
 
1 2000
 
Southwest Virginia Community College
 
- 
City
 
, 
State
 
General Studies
Course "
39718499.pdf,"ASSISTANT FOOTBALL COACH
","
Audio Visual, Games, Coaching, Customer Service, Fast Learner, Receptionist, Retail Sales, Landscaping, Maintenance, Marketing","
Bachelor of Science
 
: 
Management
 
Utica College
 
ï¼​ 
City
 
, 
State
 
, 
US
 
Utica College Utica, NY Bachelor of Science May 2014 Major:
Management Concentration: Marketing GPA: 3.37/4.00
Military "
40018190.pdf,"IT SUPPORT TECHNICIAN
Education
Bachelor of Science
 
May 2014
 
William Woods University
 
City
 
, 
State
 
GPA: 
GPA: 3.4
Management Information Systems GPA: 3.4
","
Sharepoint
Cisco Telephony tools
Bomgar
Visio
Que Monitoring
SAP
Active Directory
Mobileiron
HPSM
IOS
Activites
Captain- 4-years of collegiate basketball
Active member of S.W.A.T. (Student Website Advancement Team)
Active member of the IT Student Academic Advisory Council
Over 100 hours of community service - Secret Santa - Reading books at over 5 grade schools - Volunteered in over 5
 Â 
summer camps - Participated in Salvation Army food drive -Yearly donator Good Will/ homeless shelters
 Â 
Honors and AccomplishmentsTrio Scholarship (1 of 2 awarded of over 500 students)
LEAD Scholarship (Leading, Educating, Achieving, Developing)
Potential Award (Belief in continued growth, dedication, and 
potential for future success)
JUCO All-American
Male Athlete of the Year
Academic All-Conference
IC3 Internet and Computing Core Certification","
Bachelor of Science
 
May 2014
 
William Woods University
 
City
 
, 
State
 
GPA: 
GPA: 3.4
Management Information Systems GPA: 3.4
"
31243710.pdf,"IT MANAGER
","
A+, Active Directory, Adobe, Apache, Backup Exec, budget, business process, C, CCNA, Cisco IOS, Cisco, Citrix, Hardware, CRM, Client,
Databases, DHCP, disaster recovery, DNS, ERP, firewalls, firewall, ftp, help desk support, help desk, HP, HP servers, IIS, Information Systems,
Intel, IP, IT project management, laptops, Linux, Mac OS, Macola, MAS 90, McAfee, Medical Manager, Access, MCP, Microsoft Dynamics,
Excel, Exchange Server, Microsoft Exchange Server, SharePoint, Windows 7, Windows 8, 2000, Windows XP, Word, migration, MySQL,
Enterprise, NAS, Net",", medical and manufacturing environments. Recently, I have been "
25990239.pdf,"INFORMATION TECHNOLOGY INSTRUCTOR
","
Photoshop, Premier, art, Cable, Hardware, computer repair, curriculum development, client, Customer service training, Database, Department of
Health, documentation, Dreamweaver, Fire"," center.
Technical Support Specialist ............................................................................................................................
 
Jan 2002
 
to 
Jan 2009
 
Company Name
 
ï¼​ 
City
 
, 
State
Provided advanced level technical support for department staff in computer repair and service.
Inventory control for department of health hardware.
Created Technology standards for division of Health systems improvement.
Served on advisory committee for mobile device policy creation.Updated department travel system from paper to online.
Education
Masters of Education
 
, 
Learning & Technology
 
2012
 
Doctorate of Education; Higher Education, Ed.d ...........................Concordia University
M.Ed. ............................. Western Governor's University
 
Learning & Technology
Bachelor of Science
 
, 
Information Technology Management
 
Information Technology Management
B.S. .........
 
2010
 
Western Governor's University
Associate of Applied Science
 
, 
Multimedia Technologies
 
Multimedia Technologies
A.A.S .........................
 
2003
 
Utah Valley University
"
52246737.pdf,"INFORMATION TECHNOLOGY PROVISIONING TECHNICIAN
","
A 
Certification, Active Directory, AD, Anti-Virus, BUSINESS PROCESS, coaching, Compliance Manager, CA, hardware, Concept,
CONTRACT NEGOTIATIONS, contracts, conversion, encryption, clients, designing, desktops, Disaster Recovery, DNS, Firewall, functional,
Gateway, IDS, imaging, Information Security, laptops, Legal, Linux, Mac, director, McAfee, mediator, mentoring, Exchange, Microsoft Exchange,
Mail, Windows (XP, negotiation, Enterprise, net"," and Training
Associates of Arts and Sciences (AAS)
 
:
 
Business Administration Software Technology
 
Business Administration Software Technology
Associates of Arts (AA)
 
:
 
Information Technology
 
Heald College
 
Information Technology
Associate of Applied Sciences (AAS)
 
:
 
Net"
19201175.pdf,"INFORMATION TECHNOLOGY SPECIALIST
","
Hardware updates
Process improvement implementation
Permissions management
Software licenses and patches
Excellent problem solving skills
Operating systems
Task estimation
GUI and tools
Knowledge of streaming video platforms
Timeline management
Operational support
Windows operating systems
Experience
Information Technology Specialist
 
, 
02/2019
 
to 
Current
 
Company Name
 
â€“ 
City
 
, 
State
 
Coordinated installation of Microsoft software systems and collaborated with user "," and training in
supporting computer issues.
Systematic IT "
36434348.pdf,"INFORMATION TECHNOLOGY MANAGER
Qualifications
Strong communication ","
ASP.net, Active Directory, Adobe Acrobat, Adobe Dreamweaver, Adobe Photoshop, application design, arts, billing systems, Business Objects,
business operations, C++, client server, Strong communication skills, hardware, Crystal Reports 9, databases, database development, database
development, Database Design, disaster recovery, forms, frame, functional, government, grants, help desk support, Help desk, HTML, computer
support, Leadership, marketing materials, Microsoft Access, Microsoft Office, Microsoft SharePoint, Windows, migration, Oracle database,
PL/SQL, personnel, personnel management, police, profit, Project Management, purchasing, report writing, reporting, Requirements gathering,
SAP, SDLC, servers, Software Development, Microsoft SQL Server, SQL, strategy, strategic planning, System administration, user manuals,
training materials, troubleshooting, upgrade, Visual Basic, Web Intelligence, web development, Windows Server, ","
Master of Science
 
: 
Management Information Systems
 
, 
May 2003
 
University of Illinois
 
- 
City
 
, 
State
 
Management Information Systems
Bachelor of Science
 
: 
Information and Decision Sciences
 
, 
May 1995
 
University of Illinois
 
- 
City
 
, 
State
 
Information and Decision Sciences
"
25207620.pdf,"INFORMATION TECHNOLOGY CERTIFIED TECHNICIAN
","
years' "," and Training
2017
 
Computer Career College - 
MCSE,CNA, A+,CNA, Information Technology
 
:
 
City University of New York - CIS
 
- 
Computer and
Information Systems Security / Information Assurance
 
Computer and Information Systems Security / Information Assurance
1987
 
Rollins College
 
- 
Finance
 
Finance
1962
 
Certifications MCSE, MCP, CNA, Comptia A+, A+Net"
