FileNumber,Role,Skills,Education
21669215.pdf,"MARKETING COORDINATOR
","
advertisements, approach, content, Customer Service, databases, direct mail, direction, editing, email, graphic, managing, marketing strategies,
marketing, marketing collateral, materials, newsletter, online marketing, press releases, production manager, Research, sales, script, stories, video,
website, articles
Experience
01/2016
 
to 
Current
Marketing Coordinator
 
Company Name
 
ï¼​ 
City
 
, 
State
Campaigns.
Created the hashtag #CPRstrong used on social media to promote awareness of HealthStream's 3 millionth HeartCode BLS completion.
Designed script and production direction for Talent Management's video, Accelerate Development.
Formed copy for direct mail pieces and email campaigns for HealthStream's first account-based marketing campaign.
Proficient at developing and delivering external communications, promoting awareness to customers about new products and upcoming
events.
Increase product visibility to new and existing markets by authoring copy and providing design direction for digital marketing strategies.
Manage the creation of print and online marketing and sales collateral, overseeing the approval process and ensuring content meets brand
standards.
Generated a record high of 340+ registrants for a 15-minute product demo by modifying tone of voice and visuals used in online
advertisements.
Efficient with Pardot and Salesforce for managing account databases.
Oversee website updates by editing and ensuring clarity and visual appeal.
Collaborate with production manager, graphic designers, and vendors to ensure deadlines are met.
Oversaw rebranding process for Franklin Covey, a new HealthStream partner, by ensuring materials met company standards and checking
for grammar and visual appeal.
01/2014
 
to 
01/2016
Customer Support Specialist
 
Company Name
 
ï¼​ 
City
 
, 
State
Consistently ranked in the top five for case closures).
Received recognition in the Customer Service Spotlight.
Helped develop a best practice document used by over 4 million subscribers.
Provided solutions and step-by-step support to healthcare administrators, educators, and clinical staff.
01/2013
Public Relations and Marketing Intern
 
Company Name
 
ï¼​ 
City
 
, 
State
Interviewed hospital "," and Training
2013
BA
 
: 
Communication-Public Relations Marketing
 
Mississippi State University
 
Communication-Public Relations Marketing Magna Cum Laude
3.8/4.00 3.66/4.00"
11902276.pdf,"PUBLIC RELATIONS MANAGER
","
approach, C, concept, Credit, Client, clients, customer service, English, senior management, Financial, Leadership, marketing, market, meetings,
Money, enterprise, oil, policies, processes, quality, quick, relationship management, repairs, research, Selling, sales, Spanish, strategic, technical
training","
BABSON COLLEGE, F.W. OLIN GRADUATE SCHOOL OF BUSINESS
 
May 2016
 
Master of Business Administration
 
City
 
, 
State
UNIVERSIDAD METROPOLITANA
 
October 2010
 
Bachelor of Science
 
: 
Business Administration Management
 
City
 
, 
Venezuela
 
Business
Administration Management
Financial Engineering Certificate
Languages
Spanish, English
"
32441790.pdf,"EDITOR
","
Editing and Proofreading Microsoft Office Products
Pleasant demeanor
Filing and data archiving
Customer service-oriented
Experience
Editor
 
Sep 2002
 
to 
Current
 
Company Name
 
ï¼​ 
City
 
, 
State
Oversee layout, design and content of featured publications.
Select "," institutions to recruit and attract skilled job seekers for the grant
program.
Assist clients in communication with government agencies regarding Immigration/Refugee paper"
30642458.pdf,"DIRECTOR OF PUBLIC RELATIONS / ASSOCIATE ARTIST
","
Accounts payable
Copywriting
Crisis management
Editing and proofreading
Research
Filing
Inventory
Mac, PC, Excel, Microsoft Office programs, Office, Outlook, Windows, Word
Organizing
Promotional materials
Additional Information
Interested in all aspects of theatre, especially performance and playwriting, volleyball, kayaking, music, reading, hiking, swimming, blogging","
Master of Arts
 
2008
 
The Royal Central School of Speech and Drama
Writing for Stage and Broadcast Media London, United Kingdom
"
23673025.pdf,"PUBLIC RELATIONS SPECIALIST
","
Deadline-oriented
Strong creative vision
Event planning
Strong communication skills
Media relations
Communications management
Natural leader
Creative writing
Diversity trainer
Strategy development
Public Relations
Information gathering
Work History
Public Relations Specialist
 
, 
09/2019
 
to 
Current
 
Company Name
 
â€“ 
City
 
, 
State
 
Generated and implemented media pitches for clients in Entertainment, Medical, Fitness, and Tech Industry
Communicated with media weekly to build relationships and optimize press coverage
Developed campaigns to increase public awareness of company and engage customers
Coordinated press releases and handled press inquiries for the company
Forged strong media relationships to further public relations goals
Wrote press releases for routine use and crisis management
Contributing Writer and On Camera Host
 
, 
08/2011
 
to 
Current
 
Company Name
 
â€“ 
City
 
, 
State
 
Conducted extensive research on Entertainment and wrote several long-form pieces
Net","
Bachelor of Arts
 
: 
Communications
 
Fayetteville State University
 
- 
City
 
, 
State
 
Graduated with a 3.8 GPAMember of Alpha Kappa Alpha Sorority
Graduated summa cum laude
Member of Alpha Psi Omega Honor Fraternity
Majored in Speech/Communications And Theater
Minored in Biology
"
14128006.pdf,"ABOUT
Creative communications ","
Web design and branding
PR writing: media alerts, event wrap-reports, product dossiers, launch plans, press releases
PR and marketing software proficiency and ","
May 2015
Bachelor of Science
 
: 
Public Relations
 
The University of Texas at Austin
 
ï¼​ 
City
 
, 
State
Student in The Stan Richards School of Advertising and Public Relations
VP, UT Austin Public Relations Student Society of America
Texas Creative Advertising SequenceÂ 
Completed Business Foundations Certificate in Marketing and Management â€” The McCombs School of Business (UT Austin)Â 
"
51415089.pdf,"OWNER/CONSULTANT
","
ad, artist, benefits, branding, Cable, CD, com, client, Clients, special events, Fast, Film, marketing plans, marketing strategies, marketing, market,
materials, messaging, Access, 98, Works, newsletter, newspapers, press kits, Press, press releases, PR, profit, Public Relations, publication,
publicity, Express, Radio, San, FM, stories, strategic, TV, television, Video, articles","al Tour Bus
to expand music-making messaging to millions of consumers.
These partnerships resulted in hundreds of millions of media impressions worth an ad rate value of over $50 million dollars.
Oversaw public relations strategies and activities for all NAMM messaging to the general public.
Directed the national press launch of Sesame Street Music "
93828034.pdf,"WEB DEVELOPMENT COORDINATOR
","
Acrobat, Dreamweaver, Adobe Photoshop, ad, advertising, Agile, agency, brochures, Budget management, budgets, CMS, content, Content
Management, copywriting, creative direction, clients, data analysis, Detail-oriented, E-business, ","al materials and conduct software training for staff Manage,
inspire and motivate web department staff on ongoing enhancements to our digital footprint.
01/2000
 
to 
01/2012
Web Marketing Specialist
 
Company Name
 
ï¼​ 
City
 
, 
State
Directed and implemented health system web initiatives Built and maintained close relationships with health system leaders/stakeholders on
web-related projects Evaluated and recommended content and features for health system web site Measured and increased web site traffic
Successfully managed development and guided the launch of key consumer-focused web features, including online appointment requests,
prescription refills and bill payment Acted on executive leadership's goal to be transparent with our quality and pricing data, and became the
first in Minnesota to publish this data on our web site.
01/1997
 
to 
01/2000
Marketing Specialist
 
Company Name
 
ï¼​ 
City
 
, 
State
Developed, implemented and evaluated integrated marketing and advertising strategies for the hospital and key departments/product lines.
Managed and directed marketing efforts, special events, educational programs and other promotional activities.
01/1996
 
to 
01/1997
Special Events & Promotions Coordinator
 
Company Name
 
ï¼​ 
City
 
, 
State
Developed and coordinated special events and promotions for agency clients.
Prepared marketing proposals and budgets.
Managed and coordinated creative department projects and production efforts.
01/1994
 
to 
01/1996
Associate Creative Director
 
Company Name
 
ï¼​ 
City
 
, 
State
Developed targeted marketing strategies and creative direction for agency clients.
Managed and coordinated production efforts.
Provided award-winning copywriting for ad campaigns, articles, promotional brochures, newsletters and targeted campaign materials for
agency clients.
01/1993
Sales Consultant
 
Company Name
 
ï¼​ 
City
 
, 
State
Promoted, sold and increased market share of national product lines distributed by the company.
Coordinated educational and trade show events.
Served as a liaison between product manufacturers and customers.
Education
1997
Master of Arts degree
 
: 
Communicating Arts mass communications
 
University of Wisconsin-Superior
 
ï¼​ 
State
 
GPA: 
GPA: 3.9
 
Communicating
Arts mass communications GPA: 3.9
1992Bachelor of Science
 
: 
Mass Communications broadcast and international studies
 
Bemidji State University
 
ï¼​ 
City
 
, 
State
 
GPA: 
Dean's list, NCAA
Division III hockey cheerleader GPA: 3.4
 
Mass Communications broadcast and international studies Dean's list, NCAA Division III hockey
cheerleader GPA: 3.4
"
12191094.pdf,"DIRECTOR OF PUBLIC RELATIONS
",", Confidentiality and HIPPA
Emergency Preparedness, Crisis Management, Maximize Customer Service and
Initiate Quality Improvements
Professional Experience
01/2003
 
- 
01/2008
Company Name
 
ï¼​ 
City
 
, 
State
 
Director of Public Relations
 
""Success Stories"" about individuals benefiting from LifeShare programs â”€ used in
business development and posted on social media; collaborate with each LifeShare office and key partners to meet marketing needs; oversight of
marketing department and conference budgets; promote exchange of information across states; prepare, coordinate, and schedule tasks and
deadlines to accomplish long and short-term strategic objectives. DANIEL WEBSTER COLLEGE, Nashua, NH Director of Public Relations,
2003âˆ’2008 College spokesperson and liaison to media; ensured major publications and communications properly supported strategic efforts
essential to augmenting college's competitive position and long-term strength.
01/2000
 
- 
01/2003
Company Name
 
ï¼​ 
City
 
, 
State
 
Director of Communications
 
Partnered with internal clients to implement solutions to significantly improve
communication strategies and messages; planned and managed communication vehicles to promote and drive organization's priorities.
01/1996
 
- 
01/2000
Company Name
 
ï¼​ 
City
 
, 
State
 
Director of Public Relations and Publications
 
Directed and developed alumni magazine, annual report, newsletters,
invitations, fund raising, marketing materials, course descriptions, and other print collateral; creatively and pro-actively sought ways to celebrate
school programs and achievements of community members using all communication channels; developed successful relationships with and provided
related content for external media/press.
01/1990
 
- 
01/1997
Company Name
 
ï¼​ 
City
 
, 
State
 
Journalist
 
Reported on the political and community news for four towns and two school boards; developed and
wrote own stories for ""Lifestyle"" section; wrote more than 1,200 by-lined articles to thoroughly cover issues, events, and activities of towns;
recognized by NH Press Association for writing.
01/2008
 
- 
01/2010
Company Name
 
ï¼​ 
City
 
, 
State
 
Administrator
 
PROFESSIONAL Managed and oversaw 24-hour operations; conducted program under
regulatory
01/2011
 
- 
01/2014
Company Name
 
ï¼​ 
City
 
, 
State
 
Registered Nurse
 
Provided marketing solutions for B2B sales organization, including sales management,
marketing, presentations, and social media. Worked with individuals from all levels of organizations in developing their brand and offering solutions
to their challenges through promotional products campaigns. 2006-2008 Oversaw day-to-day operations, including staff supervision,
communication with referral sources, intakes, and required documentation; health assessments, medication administration, and continuous health
and wellness observations. OTHER Volunteer: American Red Cross, Easter Seals NH
Education
TEMPLE UNIVERSITY
 
ï¼​ 
City
 
, 
State
 
, 
US
 
BA
 
: 
Journalism
 
BA TEMPLE UNIVERSITY Journalism Philadelphia, PA
FITCHBURG STATE COLLEGE
 
ï¼​ 
City
 
, 
State
 
, 
US
 
BS
 
: 
Nursing
 
BS FITCHBURG STATE COLLEGE Nursing Fitchburg, MA
Accreditation in Public Relations MARKETING AND LIFESHARE/CENTENE, Manchester, NH Marketing, 2014 âˆ’present
COMMUNICATIONS Provide communications and marketing solutions to meet annual and strategic goals.
Certifications
RN Registered Nurse American Red Cross 2006-2008
Affiliations
Press Association for writing
Presentations
marketing, presentations, and social media
Skills
Marketing, Public Relations, Business Development, Solutions, Budgets, Exchange, Liaison, Marketing Department, Operations, B2b, B2b Sales,
Including Sales, Promotional, Sales, Sales Management, Sales Organization, Securities, Clients, American Red Cross, Documentation, Health AndWellness, Red Cross, Registered Nurse, And Marketing, Budget, Business Plan, Community Relations, Conflict Management, Crisis
Management, Customer Relations, Customer Service, Educational Programs, Emergency Preparedness, Fact, Fact Erp, Graphic Design,
Healthcare, Hippa, Marcom, Mba, Media Planning, Net"," programming and ensure
appropriateness of content, implementation for various organizations readability and translation Represented organizations to the public Art"
22455205.pdf,"MANAGER
","
Work History
Manager
 
, 
04/2012
 
to 
03/2014
 
Company Name
 
â€“ 
City
 
, 
State
 
l Trained staff and administered performance evaluations to track employee development.
l Analyzed budgets, financial reports and projections for accurate reporting of financial standing.
l Implemented innovative programs to increase employee loyalty and reduce turnover.
l Prepared payroll.
l Oversaw inventory and office supply purchases.
l Screened applicant resumes and coordinated both phone and in-person interviews.
l Provided an elevated customer ","al background in Economics from the University of California Irvine, seeks a career in the financial sector.
Extensive knowledge in management, Microsoft applications, and economic theory. Always committed to approach tasks with tenacity and
attention to detail. Very dependable and willing to take on added responsibility to learn and grow with every employment opportunity. "
