FileNumber,Role,Skills,Education
23032182.pdf,"SALES ASSOCIATE
ABIGAIL
 
FULTON
","
Relationship selling Quick learner Resolution-oriented Reliable and dependable Cheerful and energetic Dedicated
team player Hard ","
GED
 
: 
San Francisco State
 
- 
City
 
, 
State
 
BUSINESS MARKETING Business, Communications and Organizational Psychology
BACHELORS DEGREE
 
: 
BUSINESS MARKETING Business, Communications and Organizational Psychology
 
San Francisco State
 
- 
City
 
,
State
 
BUSINESS MARKETING Business, Communications and Organizational Psychology
Course"
24610685.pdf,"SALES ENGINEER
","
Strong analytical skills
Excellent communication skills
Strong interpersonal skills
Critical thinker
Data mining
Data quality
Data warehousing
Database management
Experience
Sales Engineer
 
November 2016
 
to 
May 2017
 
Company Name
 
ï¼​ 
City
 
, 
State
Deliver insight to clients via Webex about Mirth Solutions, primarily Mirth Connect, appliances and other NextGen Product solutions.
Prepare a sales reports via salesforce by collecting, analyzing, and summarizing sales information and R&D and application trends.
Provide expert level product consultation to align implementation deliverables with client expectations and sales objectives.
Perform current state reviews and future state recommendations to enhance productivity and increase ROI.
Achieved organizational objectives for the development and delivery of complex, multi-product proposals such as quotes, RFP's, and
SOW's; to be delivered within timely and accurate manner.
Review all proposals, whether by writing new content, editing technical content, and coaching other team members while ensuring that the
proposal was compliant, compelling and aligned to client requirements and business drivers.
EHR Application Specialist
 
April 2014
 
to 
March 2016
 
Company Name
 
ï¼​ 
City
 
, 
State
Reviewed and analyzed pre-existing artifacts and associated applications to understand as-is process.
Troubleshoot EHR/EMR case for Hosted clients by locating, reproducing issue, and using SQL Server Management Studio, SQL
Statements, SQL Profiler, SQL Tracing.
Communicate with development team regarding the application Defects and Enhancement Request while ",al background and the 
17781039.pdf,"SALES
","
Event Management and Promotion
Leader
Strong Negotiation Skills
Team Building and Team Leadership", and 
31454430.pdf,"SALES REPRESENTATIVE
","
billing, credit, English, forms, insurance, prepare invoices, Issue receipts, Listening, money, Persuasion, policies, Reading, recording, sales,
telephone","
Jun 2013
 
High School Diploma
 
:
 
Quest Academy
 
City
 
, 
State
2018
 
Associate of Arts
 
:
 
Chabot College
 
- 
Political Science
 
City
 
, 
State
Lan gu ages
"
25839123.pdf,"SALES ASSOCIATE
","
Great communication skills, excellent customer service, customer service ","
2016
High School Diploma
 
Manchester Central High School
 
ï¼​ 
City
 
, 
State
Sociology and Justice Studies
 
University of New Hampshire
 
ï¼​ 
City
 
, 
State
 
Sociology and Justice Studies
"
17378327.pdf,"SALES ADVISOR
","
communication skills, Creative problem solver, publisher, MS Windows, Quick learner, sales, phone","al Background
1974
Bachelors Degree
 
: 
Biology
 
Dillard University
 
ï¼​ 
City
 
, 
State
 
Biology
Personal Information
From 1986 to present I am engaged in a volunteer "
29399491.pdf,"SALES
","
Trusted key holder
Creative problem solver
Exceptional communication skills
MS Windows proficient
Quick learner
Strong client relations
Proficient in cash management
Strategic sales knowledge
Cash flow management
Multi-line phone talent
Team player
Reliable
Goal-oriented
Decisive
Fluent in English
Fluent in Spanish
Calm under pressure
Analytical thinker
PowerPoint presentations
Excellent interpersonal skills
Natural leader
Composed
Crisis communication
Superior verbal and written communication skills
Flexible schedule
Computer-savvy
Organized
Work History
Sales
 
08/2014
 
to 
Current
 
Company Name
 
â€“ 
City
 
Described product to customers and accurately explained details and care of merchandise.
Earned management trust by serving as key holder, responsibly opening and closing store.
Politely assisted customers in person and via telephone.
Communicated with vendors regarding back order availability, future inventory and special orders.
Effectively communicated with and supported sales, marketing and administrative teams on a daily basis.
Answered product questions with up-to-date knowledge of sales and store promotions.
Scheduled weekly inventory pickups and deliveries with vendors.
Set up and explained new membership contracts.
Overnight Cashier
 
02/2014
 
to 
09/2014
 
Company Name
 
â€“ 
City
 
, 
State
 
Maintained cleanliness and presentation of stock room and production floor.
Managed wide variety of customer service and administrative tasks to resolve customer issues quickly and efficiently.
Investigated and resolved customer inquiries and complaints in a timely and empathetic manner.
Scored in top 10% of employees in successful resolution of issues
Restocked inventory ever month and reviewed cash operation data to verify proper replenishment.
Folded and arranged garments in attractive displays.
Learned, referenced and applied product knowledge information.
Seasonal Overnight Stocking
 
10/2013
 
to 
01/2014
 
Company Name
 
â€“ 
City
 
, 
State
 
Loaded truck and properly secured items to prevent damage during transportation.
Demonstrated use and care of merchandise.
Helped customers with questions, problems and complaints in person and via telephone.
Stocked shelves and supplies and organized displays.
Organized store merchandise racks by size, style and color.
Led merchandise selection, pricing, planning and marketing.
Rotated manufacturer products as needed.
Removed damaged, out-of-code, not-in-set and discontinued items from displays.
Loaded and unloaded merchandise using a ladder and pallet jack.
Partnered with sales representatives and managers to coordinate delivery and merchandising schedule.
Customer Service Representative
 
06/2013
 
to 
06/2014
 
Company Name
 
â€“ 
City
 
, 
State
 
Answered an average of 
200
 Â calls per day by addressing customer inquiries, solving problems and providing new information.Earned management trust by serving as key holder, responsibly opening and closing theater.
Politely assisted customers in person and via telephone.
Assisted customers with food selection, inquiries and order customization requests.
Developed reputation as an efficient service provider with high levels of accuracy.
Designed displays to make the theater ","
Associate of Arts
 
: 
Current
 
Miami Dade College
 
- 
City
 
, 
State
3.0
 
GPA
Member of the Supernatural MovementÂ Club
Course"
18368613.pdf,"Z
SALES CONSULTANT
"," 
*Account Penetration 
*Adaptability *Identify and create new business opportunities
*Brain lab navigation ","
B.B.A
 
: 
Business Management Management Information Systems, Business Intelligence
 
Florida Atlantic University
 
May 2014
 
City
 
, 
State
Business Management Management Information Systems, Business Intelligence
"
26994282.pdf,"SALES
","
blueprints, Read blueprints, interpersonal & communication, conferences, customer relations, excellent customer service, direction, Hiring, Layout,
materials, meetings, net"," for all onsite crew members.
01/1985
 
to 
01/1992
Plumber
 
Company Name
 
ï¼​ 
City
 
, 
State
Full time service and repair plumber for residential and commercial sites Developed and implemented a successful contract platform
Research and implemented their leak detection unit Built and fostered a strong relationship with the Sacramento area restaurant community
Safety Officer for THE Plumbing Company, conducting weekly safety meetings and review Developed and taught plumbing code classes to
new and seasoned employees Specialized in replacing restaurant waste-drain vent systems while keeping business open Eliminated risks by
correctly identifying potential safety hazards.
Interpreted blueprints to determine locations, quantities and sizes of materials required.
Expanded trade knowledge by net"
19473948.pdf,"SALES
"," Organized Summary Of
Qualifications Dedicated and self-motivated individual offering a great background in office environment, with hands-on ","
High School Diploma
 
2014
 
Gateway High School
 
ï¼​ 
City
 
, 
State
Languages
Fluent in Spanish
"
