FileNumber,Role,Skills,Education
70892619.pdf,"TEACHER ASSISTANT
Work History
Company Name
 
","
Conducted Peer Council with Youth 
Assigned Books based on Reading level 
Supported Students with Special Needs 
Engaged Student with
Positive Language 
Instructed Personalized Lesson Plans 
Critiqued student Project rather than correcting it 
Addressed Challenging Student
Behavior 
Developed Strong Problem-Solving Skills
Conducted Peer Council with Youth to nature problem solving skills
Â Assigned Books based on Reading levelÂ 
Supported Students with Special Needs by developing Behavioral
and Academic plans
Engaged Student with Positive verbal and body language
Instructed Personalized Lesson Plans based on classroom
nature and interest
Critiqued student Project rather than correcting it
Conducted Peer Council with Youth to nature problem solving skills
Â Assigned Books based on Reading levelÂ 
Supported Students with Special Needs by developing Behavioral
and Academic plans
Engaged Student with Positive verbal and body language
Instructed Personalized Lesson Plans based on classroom
nature and interest
Critiqued student Project rather than correcting it
Conducted Peer Council with Youth to nature problem solving skills
Â Assigned Books based on Reading levelÂ 
Supported Students with Special Needs by developing Behavioral
and Academic plans
Engaged Student with Positive verbal and body language
Instructed Personalized Lesson Plans based on classroom
nature and interest
Critiqued student Project rather than correcting it
Work History
Teacher Assistant
 
, 
01/2013
 
to 
06/2016
 
Company Name
 
â€“ 
City
 
, 
State
 
Worked in cohorts with a team of T.A to provide classroom support with Tier I and Tier II who were not at 
reading and writing criteria
according to common core standards, to help them undergo reclassification.
Executive Director Assistant
 
, 
Company Name
 
â€“ 
City
 
, 
State
 
Managed entire private school database and met weekly with administrators to obtain updated requirements for testing new potential EL Learner.
Provided logistical support for Department Director on every day to day office operations
Executive Director Assistant
 
, 
07/2013
 
to 
07/2016
 
Company Name
 
â€“ 
City
 
, 
State
 
Managed entire private school database and met weekly with administrators to obtain updated requirements.
for testing new potential EL Learner.
Attended classroom audits in classroom observations performed by EL.
Specialist.
As well as logistical support for our Department Director on every day to day operations.
EXL Tutor & ELA Academic Tutor
 
, 
08/2017
 
to 
Current
 
Company Name
 
â€“ 
City
 
, 
State
 
Provided an enriched classroom environment to a class of 20 1st grade students during afterschool.
Supported students through home",/Career goals of obtaining my BA in Psychology in order to demonstrate my passion 
37660306.pdf,"GUEST TEACHER
Floral Designerwrite your own title
I am a certified "," Used
Acquired fresh flowers from growers in both National and International regions
Chose containers, vases, baskets, props etc. from Trade Markets in Dallas, Atlanta, Los Angeles, and Las Vegas
Educated myself by studying the Market for current and future trends
Acquired the skills necessary to compete on both a National and International Auction by the internet which
required in depth knowledge of flowers
Prepared employees by giving instruction and expectations of what was necessary to learn during their probationary
period and later guided them to utilize their own skills in order for each to improve method of design
Instructed employees in all areas necessary to ","
Mixology
 
, 
2012
 
National Bartender's School
 
ï¼​ 
City
 
, 
State
 
, 
USA
After my husband's death, I wished to participate in some creative "
21773106.pdf,"TEACHER
","
Leadership, Motivation, Management, Speaking, Listening, Counseling, Teaching, Computer Literacy, Training, Editing, Organizing, Development,
Implementing, Typing:
Additional Information
Community Involvement Intramural Organizer for After school youth basketball and flag football. Affiliations Chi Sigma Iota - Honor
Society for Counseling. Lincoln Challenge Academy Mentor 
member. McKendree University Alumni Member
Professional Affiliations
Member of Chi Sigma Iota - a counseling fraternity for honors students. Lindenwood University 2012 St. Charles/Belleville, MO - IL, U.S.
School Counseling M.A. School Counseling Member of Chi Sigma Iota - a counseling fraternity for honors students. Certifications CPR Certified
Standard Teaching Certificate K-9 Self- Contained Middle School Lincoln Challenge Academy Mentor Member."," Program goals.
Chaperoned the 7th grade trip to Six Flags with 120 students.
Served as Performing Arts Department Chair for 3 years.
Served as supervisor of a day care that grew 45 percent under my supervision.
Scott Main Exchange supervisor of the month 5 times.
"
99244405.pdf,"Kpandipou Koffi
","
Superb communication both verbal and written.
Reliability and self sufficiency.
Strong "," and Training
MBA
 
: 
Marketing
 
IGlobal University
 
Jun 2015
 
City
 
, 
State
Major in Marketing
Completed course"
33704389.pdf,"TEACHER
","
academic, charts, delivery, equity, instruction, Lesson Planning, Math, Microsoft Office, progress, Reporting","al needs of culturally, racially, and socio-
economically diverse students in Title I schools. 
Flexible and creative educational "
76196367.pdf,"CLASSROOM TEACHER
","
arts, content, Content Development & Management, content creation, Curriculum Development, databases, Dimensions, Event Planning &
Coordination, Grants, instruction, logic, materials, math, mathematics, organizational, policies, Program Evaluation, programming, proposals,
Proposal Writing, proposal, reading, Maintain files, reporting, Research, Strategic Planning, supervision, teacher, Trend, type, unique, Usability
Testing, website, websites, Workshops", 
19556300.pdf,"TEACHER AND READING TEACHER
","
bookkeeping, conferences, email, English 3, English 4, instruction, lesson plans, materials, meetings, mail, money, office, notary public, payroll,
policies, reading, Secretarial, tax, teacher, telephone, phones, phone"," Summer School; James Irvin Education Center; Housed at Wesley Chapel High School.
English 3 and English 4 Responsibilities: Follow the district's curriculum for 11th and 12th grade and implement daily lesson plans for 11th
and 12th grade, administer tests and analyze student performance.
Foster a classroom environment conducive to learning and promoting excellent student/teacher interaction.
Contact parents by phone and email to discuss student issues and or concerns.
Follow district policies and procedures for teachers.
Document student performance/concerns for student records.
Remain "
27126818.pdf,"HISTORY TEACHER
",,"al
background.
Maintained ethical standards and status as role model to students by adhering to "
22408666.pdf,"TEACHER
","
Increase, Training, Coaching, Teaching, Clerical, Filing, Class, Comprehensive Large Array Data Stewardship System, Liaison, Translate,
Mathematics, Writing Test, 42 Wpm, Cpr, Cpr And First Aid, Typing","al Outcomes:
Consistently praised (by management and staff) for dedication, reliability, organization and effectiveness as one of school district's most in-
demand substitutes. Filled in for permanent teachers at a moment's notice; closely adhered to lesson plans; and kept students motivated,
engaged and focused.
Showed resourcefulness and teaching effectiveness in meeting the needs of students with limited English language proficiency as well as
learning disabilities.
Voluntarily stepped in to run several after-school programs (e.g., girls' volleyball coaching, cheerleading coaching and after-school tutoring)
when permanent teachers were unable to fill these roles.
Repeatedly asked to sub at the same schools due to effectiveness and classroom management "
66906212.pdf,"TEACHER
","
Bi-lingual Farsi and English
Coaching ",".
Highlights
Valid and Current Teaching Certification in California as well as Florida.
Urban public schools background. One of the schools I have "
